ID	TurnToFight_Text_1	TurnToFight_Text_2	TurnToFight_Text_3	Death_Text_1	Death_Text_2	Death_Text_3	TeammateDeath_Text_1	TeammateDeath_Text_2	TeammateDeath_Text_3	Idle_Text_1	Idle_Text_2	Idle_Text_3	Custom_Text_1	Custom_Text_2	Custom_Text_3	TurnToIdle_Text_1	TurnToIdle_Text_2	TurnToIdle_Text_3	KillEnemy_Text_1	KillEnemy_Text_2	KillEnemy_Text_3	Escape_Text_1	Escape_Text_2	Escape_Text_3
173	别搅了爷们儿的好事！看刀！	不好，被发现了，看样子不能留你做活口了。		哎呦……好疼啊……	今天栽在你手里，活该是我倒霉。		竟敢偷袭我们！			0						好家伙，跑的比我还快！			哈哈哈哈哈！			风紧，扯乎！		
174	好小子，敢惹咱们先锋卫，看我不打死你！	乖乖给我站住！	来呀！领教领教爷的神威！	我……我可是神策的……你竟敢……	你胆子不小，等人来收拾你吧！		竟敢偷袭我们！			0						好家伙，给我等着！			哈哈哈哈哈！			风紧，扯乎！		
175		看爷的利斧把你剁成八块！	有消遣的玩意来了，哈哈！	啊！想我一世英名！	算你狠……哎呦……		竟敢偷袭我们！			0						胆小鬼！			来啊，再来打爷啊！			风紧，扯乎！		
176	呵呵，正愁闷的慌呢，来，陪老娘玩玩。	让老娘的刀在你的细皮嫩肉上比划比划。	想死？容易，老娘成全你！	果然有两下子……	可怜老娘如花似玉的美貌……		竟敢偷袭我们！			0						老娘跑不过你，滚吧！			啧啧啧，真可怜啊！			风紧，扯乎！		
177	小兔崽子，看你往哪跑！	让大爷我赏你一刀！		啊！我堂堂骠骑卫居然死在你个小犊子手里。			竟敢偷袭我们！			0						小犊子，下次碰见爷可饶不了你！			哈哈哈哈，小犊子，谁让你顶撞爷！			风紧，扯乎！		
178										只要一息尚存，我便不会放弃。作为天策军人，战场就是我的归宿。														
179										这几天风和日丽，真想出去散散心。														
180										想当好兵，光凭气力是不够的。战场瞬息万变，不长脑子的迟早没命。														
181										无忌营的兴衰，全在那些新兵身上了。														
182										咱们河间营连胜三年，今年也要赢，弟兄们要再接再厉！														
183																								
184										每年围猎上陵苑都热闹无比，听说今年新丁不少，看样子更热闹了。														
185										无忌营的弟兄们加油！让河间营的弟兄们看看咱们的厉害。														
186										无忌营的弟兄们，你们可要发威呀，不然老虎病三年就真成猫了！														
187	哈哈！我来了！	我是猪！																						
188	你知道的太多了！	你得死在这里！																						
189																								
190																								
191																								
192																								
193																								
194																								
195																								
196	什么人如此大胆？！敢来卢老爷府上撒野！！	哈哈，又来了个不要命的！																						
197	多管闲事的东西！让老子来调教调教你！																							
198	爷教教你什么是听话！	误了爷爷挣钱的大事！		你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！			哈哈哈哈哈！			风紧，扯乎！		
199										......	原本无一物，何处染尘埃。													
200	爷玩的正开心呢！																							
201	爷刚当兵的时候，你还不知道在哪儿呢！！	惹了我家爷还想活的安稳吗？！																						
202	111																							
203	是时候显显我的身手了！																							
204	正好拿你试试手！	我最近武艺可是大长！																						
205	你可知道我是神策军的人！									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
206	老子杀人比杀猪还熟！																							
207	耽误老子赢钱！老子爹娘都砍了还怕你不成！									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
208	胡仁之子体弱不济而死，与我何干？									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
209	是谁胆大包天来打扰我们君子？																							
210	少废话，蒋幼男在哪？！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
211																								
212	那蒋幼男不是什么好货色，公子我也是代民教训教训他。									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
213	那个弱书生嘴巴还挺硬的，敢出言奚落我等，不打他打谁？！	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！																						
214	好，你若想代谷家那丫头受死，我成全你！																							
215	我周鹤飞今日若是死于此也无恨，毕竟我背叛师门，当诛！			只求阁下帮我救出小女……																				
216	为我大明教重振江湖而战！																							
217	休想拿到解药！																							
218	何必为了自己本素不相识的人卖命呢？									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
219	谷家给你的好处，我明教同样给得，放弃吧！																							
220	一起上一起上！快呀！																							
221	宝物给了我们，我们自然会撤走！不然就等死吧！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
222	看箭吧！	用箭雨！我就不信射不死这不要命的！！																						
223	别杀我别杀我！大侠饶命啊！																							
224	哈哈，你运气不好！这可是刚磨好的刀！																							
225	我可是前朝皇亲！！尔等胆敢冒犯！！																							
226	想来救那废物的女儿？门儿都没有！																							
227	大胆贼人，敢来劫本教罪人！！																							
228	让你见识下蝙蝠帮副坛主的厉害！！	闹事闹到本副坛主的头上了！让你知道什么是厉害！																						
229	蝙蝠帮！蝙蝠帮！	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！																						
230	蝙蝠帮！蝙蝠帮！	在白天，我们眼神不太好，在夜晚才是我们发威的时侯！																						
231	什么人？！	来人啊！有人闯营！！																						
232	这里都是皇上钦点的钦犯，何人敢放肆！！																							
233	使不得使不得！他可是钦犯啊！！	钦犯跑了，我等也不能活啊！																						
234	是想再送几个竹蜻蜓来么？！啊哈哈哈！	大爷玩会儿，如此小气！我代你爹娘教教你！		你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
235	我也就是看下，又没怎么。	没钱连看都看不得吗？																						
236	好大的胆子！敢来凤翔捣乱！	这地头就是凤翔的！你这小泼皮不要命了吧！																						
237	干什么，干什么？老子正赢钱呐！！																							
238	竟敢来行刺！不要命了么？我干爹可是高公公！！																							
239	我们公子打个喷嚏，整个皇城都会抖三抖！	你这傻子当真是活腻味了！																						
240	何监军说了不放过任何一人！！																							
241	誓死效忠大明教！！																							
242	呵呸！我一个人宰了这厮足矣！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
243	呵呸！我一个人宰了这厮足矣！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
244	一个破镯子，我看上是赏他的脸！																							
245	哈哈，又来了个多管闲事儿的！！	大黑！狠狠咬！！																						
246	天堂有路你不走，地狱无门你闯进来！	来的正好，好久没拿活人练过手了！																						
247	好大的胆子！宋府也是你这种低等人来的地方？！	没看见爷正玩儿呐！真扫爷的兴！！																						
248	打得过贫道再拿剑回去！																							
249	啊哈哈！热乎的血啊！！																							
250	夺你性命！	你没有机会！																						
251	胆敢劫狱！！	不想活了！																						
252	什么人！！	坏俺们的好事！！																						
253	没听过强龙不压地头蛇吗？！																							
254	自己寻死！！	见一个杀一个！																						
255	什么人擅闯山字营重地！																							
256	知道有巡逻兵还敢硬闯？！																							
257	有人擅闯军营！！																							
258	来人速速受死！！																							
259	封某就和你比划比划！！																							
260	试试我刚磨的刀！																							
261	你们这些饭桶！有人闯营！																							
262	让我看看你的能耐！																							
263	哈哈，别徒劳了。																							
264	你是何人！																							
265	白蓬他们越来越不中用了！																							
266	能入大营？好身手，过来比划比划！																							
267	看是我的刀快还是你的手快！																							
268	都让开！让本小姐出马！																							
269	来靶场？！找死吗？！																							
270	莫非你是孙无骨派来的？！																							
271	自寻死路！																							
272	你想干什么！																							
273	莫杀我！莫杀我！袈裟给你就是！！																							
274	多管闲事者死！																							
275																								
276	竟然被发现了！																							
277	别靠近烽火台重地！																							
278	让我先来！																							
279	还不束手就擒！																							
280	你想和货物一起被烧吗？																							
281	少跟老子捣乱！！																							
282	敢在我地盘上撒野？！																							
283	你是如何进来的！																							
284	牙刀，你的食物送上门了，哈哈哈！	你们想怎么个死法？		转瞬即逝的...快乐...						不要放松警惕！						折磨人总是这么令人兴奋！			不，还不够残忍！					
285	别想抢走我的货物！																							
286										口好渴！给我水......	好难受...													
287	我还不想死...																							
288										求求你，放了我！	呜呜呜......													
289																								
290	可疑的家伙！	什么人？！																						
291	啊，我已经厌倦了这种苦差事。																							
292	这些人是怎么进来的？	别让他们活着出去！		谁来阻止这些家伙...						活还没有干完...你们这群懒猪！	别想偷懒！													
293	我只是个做饭的...			为什么要杀死我...						我可没有那么多闲功夫...	唉，我也没办法啊...	常万山把你送给我...我倒想放了你..可是....				这是你们逼我的...	我们厨师也是拿刀混饭吃的！							
294				不可能！我怎么...怎么可能会被打败...												哈哈！你们不过是些毛毛虫！	看到了吗？我的美人儿，他们根本不是我的对手！		再练个几百年才来找大爷吧！	哈哈哈，不过如此！				
295				啊~！废物……我早就知道你靠不住，我好恨哪……哈哈哈哈……												……镜桓，我又胜了，你会开心么？			你们都得去死！					
296	正好陪我玩玩！	嘿嘿...有姑娘送上门来了吗？		奶奶的！我不想死...我还没玩够...						过来给大爷摸一下...嘿嘿...	哇哈哈哈...这个好...	哟，这个的皮肤水嫩得大爷流口水啊。							真是好听的惨叫声啊！	本大爷的功夫可是很棒的，嘿嘿...				
297	嗝...什么...人？	...来了几个下酒菜。	杏花村的好酒...嗝。																					
298	哪里来的小兔崽子，快来受死！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
299																								
300	桃花村是我的地盘！																							
301	站住，让爷看看你是什么东西！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
302	好大的胆子！宋府也是你这种低等人来的地方？！	没看见爷正玩儿呐！真扫爷的兴！！																						
303	这地方是你来的么？																							
304	我姚大爷可不是好惹的！			厉害！			竟敢偷袭我们！			0						好家伙，给我等着！								
305	何人竟敢擅闯卢府！	什么人如此大胆？！敢来卢老爷府上撒野！！	哈哈，又来了个不要命的！																					
306										小鱼真可怜啊！														
307	有钱拿钱来，没钱拿命来！																							
308	呵呸！我一个人宰了这厮足矣！			你……够狠！			竟敢偷袭我们！			0						好家伙，给我等着！								
309	有人跑掉了？			啊...																				
310	什么人？	你不是神策的人！		任务...失败...	啊...眼前的光明燃尽了...											任务完成!			应有的制裁！	可笑!				
311	有人逃出来了吗？	又一个不知死活的反贼！ 		呃啊！怎么...会这样...																				
312	嗯?铜钱会的蠢货都死了吗?	哼,很久没活动下筋骨了!		厉害...	难以相信...											加强戒备!			再回去练个几十年吧!					
313	闯入的人全部抓起来!	来人啊!		把囚犯...全部杀掉...												神策勇猛!			就这两下子?					
314	呸,又有活干了!			混蛋...下手...真狠啊~												嘿嘿,比想象的轻松...								
315	糟糕,没想到有人会来...	别让他们进去...		亏大了...可恶...	刚刚到手的钱...该死					小心点,别东张西望的...	这个地方真冷啊...													
316																								
317	阻挡神策军执行任务的人都要死！	别来烦我,你们这些杂碎！		冷血十三鹰不会放过你们的！												没有意义的死亡对我来说没有意义。	哼！和神策对抗就是这个下场！		死吧！通通都给我去死！哈哈哈...	来吧，我的枪还需要更多的祭品！				
318	我就知道，钱不是这么好赚的！	不如你们给我钱，我放你们过去吧！		我的钱...我还没赚够啊...												又可以捞一笔了，嘿嘿......			又一个和神策讨价的机会！					
319	就让我见识一下中原武艺的厉害吧！			难道...这才是老师所说的...真正的剑道？	ごめん、師匠、僕は負けました......											中原武艺，不过如此！	私は先生の剣のある私の手の中を感じることができます。		憎しみは夢想を断ち切ります！	来ましょう，私にあなたの剣を感じさせます！				
320										荷塘晓月夜生风，花池风影荷成蓬，风非风、荷非荷，奈何风去花已落，人已去、月犹残，空留月影……人难全……														
321	小兔崽子！不想死的话滚远点！	乖乖给我站住！	来呀！领教领教爷的神威！	我……我可是神策的……你竟敢……	你胆子不小，等人来收拾你吧！		竟敢偷袭我们！			0						好家伙，给我等着！			哈哈哈哈哈！			风紧，扯乎！		
322	好小子，军爷们在这可不是来好玩的！									都给我精神点！杨将军有令，只要能抓住谢云流的徒子徒孙，他会重重有赏！														
323	小的们，给我上！			好不容易知道钦犯谢云流的行踪……却死在你手里……																				
324	佛祖保佑！ 算命的说我是‘一将功臣万古枯’，不过我不同意。我认为出来混的，是生是死，要由自已决定。									佛祖保佑！ 算命的说我是‘一将功臣万古枯’，不过我不同意。我认为出来混的，是生是死，要由自已决定。														
325										三圣在此清修，请勿高声喧哗。														
326										哇！收获这么大，咱们太厉害了！	大伙都辛苦了，这次上陵围猎咱们赢定了！	无忌营看来是赶不上咱们啦！												
327																								
328	有人闯阵，放箭！放箭！																							
329	兔崽子们，给我放马过来。									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
330	大家小心，有人偷袭。									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
331	敢来爷爷这里叫嚣，活腻了！																							
332	犯我天一者，亡！																							
333	来送死的人真多！																							
334	新鲜的味道！	嗷嗷嗷嗷！																						
335	来者何人？																							
336	嘿嘿，正闷得慌！来个人给爷练练手！																							
337	看来你是不见棺材不掉泪啊！			你……真狠！																				
338	奶都没喝饱就敢来送死？	看我怎么收拾你！																						
339	打狗也要看主子！也不看看我主子是谁？			饶……命……啊！																				
340	不想死的话，离我远点！																							
341	哈哈！想找死？我成全你！																							
342	敢暗算老子？																							
343	又来个送死的！																							
344	别想抢走我的蛇。			我……的蛇……																				
345	这儿有活人！			这……有……活人……																				
346	奶奶个熊！																							
347	太岁爷头上动土，好你个小崽子！																							
348	来得正好，爷我正好几天没肉下肚了！																							
349	我他爷爷的这么斯文，你他爷爷的非逼我动手！																							
350	看我把你的打成我这样！																							
351	恩？你……已经死了……			收回刚才那句话																				
352	僵尸看多了，看了活人就不爽。																							
353	嘿嘿，来左丘园闹事来了？																							
354																								
355																								
356	你就只能活那么大了！	碍着爷爷发财！																						
357																								
358																								
359																								
360	千军万马在前，千军万马不倒！																							
361																								
362	哈哈，大爷今天就跟你玩玩！																							
363	就你这扭扭咧咧的身体，还想与我挑战？																							
364	明人不做暗事，你给我过来！																							
365	死！																							
366	看爷爷的神通！																							
367	看你鬼鬼祟祟就不是好人！																							
368	嗷嗷嗷嗷！																							
369	呃……嗷……																							
370	打死你也不告诉你我是送信的！																							
371	又来了一个材料！																							
372	你这材料不错，看来又有赏钱了。																							
373	杀我便可……莫殃及我那些兄弟……																							
374	敢来打扰大爷我清闲！																							
375	我杀人不用半招！																							
376	急着来送死？																							
377	大爷我送你上路！																							
378	哼……																							
379	兄弟们，上咯！																							
380	看我一刀拍死你！																							
381	啧……啧……																							
382	去死吧！																							
383	唉，想死也不用这么急！																							
384	左丘大侠宴客，你来撒什么野！																							
385	让你知道什么才是真正的江湖侠客！																							
386	哼哼！一点点大就帮别人强出头，信不信我把你也炼了！																							
387	这种斯文的地方怎轮得到你来撒野？																							
388	上啊！一起上啊！打死这找死的！																							
389	怎么样？先试试身手？																							
390	……轰轰……隆隆……																							
391	……轰轰……隆隆……																							
392	什么人！	有奸细！	你知道的太多了！	这……不……可能……															如此笨挫的小贼都敢闯进来，找死。	细作死了，哈哈！				
393	发现奸细！																							
394																						哇！好痛	算你狠！	
