QuestID	QuestName	Objective	Description	DunningDialogue	UnfinishedDialogue	FinishedDialogue	Difficulty	StartGossipType	StartGossip1	StartGossip2	StartGossip3	StartGossip4	EndGossipType	EndGossip1	EndGossip2	EndGossip3	EndGossip4	QuestValueStr1	QuestValueStr2	QuestValueStr3	QuestValueStr4	QuestValueStr5	QuestValueStr6	QuestValueStr7	QuestValueStr8	IsUseScriptedItem	QuestFinishedObjective	QuestFailedObjective
49	珍兽珍禽	<G>帮醉红院的驴肉和尚从东边弄来金钱豹后腿。	<G><F174 这个和尚摸着肚子。>\n<H28><G><C>，帮小僧个忙！\n<H28><G>小僧我乃是大光明僧的手下，牛、马、驴三僧中的驴肉和尚便是，这次我来到这酒池峡中，乃是为了珍兽林中的那些禽兽……\n<H28><G>相必你也是知道的，我们小少林的大光明僧每日都要新鲜的烤肉，今日他点了豹掌，从前我都是从兽王那里取得肉材，不过不知为何，今天我去兽王殿，却被智叟那老家伙赶了出来……\n<H28><G>这……你也知道，大光明僧若是生气了，有多吓人，小僧无奈，只好来这珍兽林碰运气，果然，这一批<F172 珍兽林豹子>已然能用了，只是我未曾吃喝，肚中空空，你帮我去<F173 东边>取来<F171 豹子后腿>如何，那豹子可是很厉害的，不过林子里放置了很多陷阱，好好利用吧，<C>放心，小僧自有回报。	<G>去吧，错过光明僧的饭时可有大大的麻烦。	<G>去吧，错过光明僧的饭时可有大大的麻烦。	<G><F174 驴肉和尚眉开眼笑道：>\n<H28><G>这番援手情分，小僧定当铭记，若日后在谷中碰到麻烦，只管叫我，小僧别的都懒得动手，只是杀起人来最为勤快！	2人精英	0					0													0	将金钱豹的后腿交给驴肉和尚。	
50	月子的求助	<G>帮酒池温泉口的武藤月子杀掉酒池温泉最西边的藏宝室色鬼。	<G><F174 这个少女看来气质奇特，不似中原人士，她赤足裸肩，看来很冷。>\n<H28><G>我……月子刚刚在酒池温泉附近碰到一些很猥琐的少年，他们本来是在<F173 酒池温泉的最西边>替柳公子看守谷内藏宝的，却把没有留意的我强行拖到藏宝室里……\n<H28><G>不过还好月子眼快手快，没让他们得逞，而且月子趁那些恶人分心，还偷了件宝贝逃了出来。\n<H28><G>不过爹爹告诉过月子，对待敌人就要有仇报仇，你若是帮月子杀了那些<F172 藏宝室色鬼>，月子愿意以身相报。	<G>感谢您的相助！在我的故乡，像您这样见义勇为之人极为罕见。	<G>感谢您的相助！在我的故乡，像您这样见义勇为之人极为罕见。	<G><F174 武藤月子柔声道：>\n<H28><G>多谢您了，但他们之中最大的恶徒还没有死去，月子仍然难以安心呢……		0					0													0	回复武藤月子。	
51	最色的那个	<G>去酒池温泉最西边，帮酒池温泉入口的武藤月子夺回被菊池香松夺走的下裳。	<G><F174 月子陷入了回忆之中。>\n<H28><G>唉！藏宝室色鬼中最猥琐的那个叫<F172 菊池香松>，香松他家本来是和月子家一起逃难来到恶人谷的，说起来很难为情，月子小时候还暗恋过香松呢！\n<H28><G>不过后来这个人越来越猥琐了，而且施了手段成为了藏宝室色鬼们的老大。香松他趁刚刚在藏宝室内的时候把<F171 月子的下裳>抢走了。\n<H28><G>本来身外之物，不穿也罢，不过那是爹爹他送的，所以，还是请您帮我夺回它吧！	<G>就请您看在我过人的美貌上，全力以赴吧！	<G>就请您看在我过人的美貌上，全力以赴吧！	<G><F174 武藤月子哈哈大笑：>\n<H28><G>哈哈，想要报酬么？你这个笨蛋，上了月子的当了！\n<H28><G>聪明的恶人都该在接受任务之前先索要报酬的，看来你不是个合格的恶人呢。	3人精英	0					0													0	把武藤月子的下裳交还给她。	
52	破碎的和服	<G>把破碎的和服还给酒池温泉东边入口附近的武藤月子。	<G><F174 这件奇特的衣服是一个藏宝室色鬼身上找到的，衣色深蓝，交领宽袖，留身八口，衣料分布着兽目图案，胸前还印有武藤家族的徽记。>\n<H28><G><F174 这便是东瀛服饰中的和服吧，不过这件和服上不知为何被利器穿出了许多窟窿，看来已经完全不能穿了。>\n<H28><G><F174 凭着这衣服散发的浓郁脂粉味来判断，这或许是名为武藤月子的女子之物，还是还给她吧……>	<G><F174 这件和服上布满孔洞，迎光摇晃，日影斑驳。>	<G><F174 武藤月子轻搓衣角。>	<G><F174 武藤月子手捧破碎的和服，良久，无语……>\n<H28><G>这样看来，您真是个好人呢……若是在故乡遇到这般少年，月子我一定会考虑以身相许吧。\n<H28><G>不过想到在恶人谷里这样的地方，您这样好心的人恐怕很快就会死去了，月子可不能冒险……		0					0													0	把破碎的和服还给武藤月子。	
54	任务完成	<G>将酒池峡中的情况回报给恶人谷内谷南门西侧的陶寒亭。	<G><F174 古寒大手轻轻按压太阳穴，回味道：>\n<H28><G>你的任务已经完成了！\n<H28><G>我有多久未曾碰到你这般能干的新进恶人了？我执法堂又得一员大将，堂主大人定然甚为高兴！\n<H28><G>你这就去<F173 内谷南门西侧>，将这酒池峡中的情况汇报给<F173 陶寒亭>大人吧！若是柳公子回来问罪，还须堂主大人亲自出马才行！	<G><F174 古寒摆了摆手。>\n<H28><G>去吧！	<G><F174 古寒摆了摆手。>\n<H28><G>去吧！	<G><F174 陶寒亭听你说完酒池峡中执行任务的经过，极为满意。>\n<H28><G>甚好！这雪魔袋，是奖赏你的。本谷如今与昆仑派、浩气盟正面对敌，正需要你这般兼备才智与武力的豪杰！\n<H28><G>此地虽然仍少人手，但你也应该知晓，前线胜负对本谷更为重要啊……		0					0													0		
55	风云再起	<G>奉恶人谷陶寒亭之命，前往昆仑的冰血崖，找到马翼。	<G>自从浩气盟这个联盟兴起，恶人谷与浩气盟的战斗便从未停止过，江湖的每个角落之中，都曾经有过一盟一谷对敌的影子……\n<H28><G><F174 陶寒亭淡淡道：>\n<H28><G>世间皆以我等为恶人，称浩气盟为正道，但便如王谷主所言，善恶分野，是是非非，又岂有这般黑白分明？\n<H28><G>世人不明本谷之人为何行事乖张，只因我恶人谷中人行事，不问正邪，但问本心！跳出俗世拘束，方能无怨无悔，江湖多风雨，天涯路自遥，若不能快意恩仇，只怕要糟蹋了这贼老天让我等在世间走上的一遭！\n<H28><G>自从枫华谷之变后，本谷多年未做大事，莫非天下人都已淡忘了恶人谷的名字？便连昆仑这等隐居门派也敢招惹我等。王谷主已下严令，昆仑山之战，即便昆仑与浩气盟共同进退，本谷亦寸步不让，沉寂多年的江湖，风云已到再起之际，<N>，或许将来谷内的恶人榜上也会有你的名字呢……\n<H28><G><F174 陶寒亭大笑道：>\n<H28><G>你可这便前往<F173 昆仑山>，找到在那里负责总领此次战斗的冰血战团头领<F173 马翼>，希望不久之后，我能在此地听到有关你的捷报……	<G>天地悠悠，我等皆是人间过客……陶某不求平安一世，惟愿无悔此生……	<G>天地悠悠，我等皆是人间过客……陶某不求平安一世，惟愿无悔此生……	<G>陶堂主派来的人，自是本谷的好汉！我自是信得过的，不过此次前来的浩气盟高手甚重，多年来本谷养精蓄锐，他们可也没闲着。\n<H28><G>嘿嘿，不过既然王谷主下令了，即便浩气盟有昆仑的支援，咱们也要让他们有来无回！		0					0													0		
56	给大哥的口信	<G>鬼脚七让你帮忙送口信给昆仑前线的大哥鬼头一。	<G><F174 鬼脚七拉住你，笑道：>\n<H28><G>嘿！<N>，我听陶堂主提到，你就要去昆仑山了，好运气！我手上许久没沾浩气盟那些狗腿子的血了，真他娘的难熬！\n<H28><G>这次你过去<F173 昆仑>，七哥我有件事拜托你帮忙，咱家大哥<F173 鬼头一>也在前线。这两天那边想来很不太平，时常有阵亡的弟兄们被送回来，都埋到尸葬园里了。\n<H28><G>我家留在谷中的老娘出来遛腿时撞见了，不免担心，我劝了几次都不成，非要让我将口信带去给大哥。\n<H28><G>你过去若是见到我那大哥，就说老娘在家中惦记他，让他小心些，顺便也叫他帮七弟我多砍几个狗腿子的脑袋！	<G><N>，把七哥我要的那份脑袋也砍了！\n<H28><G><F174 鬼脚七高声吼道：>\n<H28><G>男儿当横行，横行当杀人……	<G>无效未完成对话（交任务处）	<G><F174 鬼头一听你说完，翻起白眼。>\n<H28><G>我那老娘就是整日里瞎操心，像一哥我这般身手，哪有那般轻易便死？还是我那七弟最了解我呀！\n<H28><G>哥哥教你个保命之法，在昆仑山这等所在，若想自身不死，便要你的敌人全都死掉便是了，若是贪生怕死，临阵手软，反要危险十倍！		0					0													0		
57	战火南引	<G>恶人谷陶寒亭让你前往南屏山的陶塘岭，与当地主攻之人谷风三联络。	<G>浩气盟此次大举北上，欲突袭本谷，定是以为得了昆仑派之助，大增胜算，本谷岂能让他们如意算盘得逞？\n<H28><G>王谷主因此定计，欲取此次大战之胜，本谷须得将战火南引，令浩气盟分身难顾，首尾不得相应，斩断其源源不断的支援。\n<H28><G>是以王谷主早已委任<F173 谷风三>为统领，率大批本谷精锐杀往浩气盟，迫得浩气盟分兵，如今，谷统领所属被阻于<F173 南屏山>，亦需大量好手支援，南屏与昆仑二山如今皆为四战之地，前往何处支援，都可对谷盟之战大有助益，你若愿远去南屏山，便去找寻谷风三统领，他自会妥当安排！	<G>南屏路远，自己小心。	<G>南屏路远，自己小心。	<G>本谷能在这般紧急之时抽调高手前来，老谷我定然不负谷主所托！		0					0													0		
58	傅铁匠	<G>陶寒亭让你进入西北的炎狱山，在第一个岔路口处找到傅铁匠。	<G><F174 陶寒亭语气爽朗。>\n<H28><G><N>，你在抵挡浩气盟时为本谷做出的贡献，已然经过各种渠道传到了谷中，<N>这个名字也已慢慢为谷中豪杰熟稔，你的声望已然超过了多数同时入谷之人了！已是时候接触谷内更多的秘密了。\n<H28><G>本谷西北有座地热聚集之山，名为炎狱山，等闲之人不可入内，乃是本谷监禁惩治越界恶人之地，那里也归属本堂监控，不过由于本堂许多高手都出谷作战，炎狱山中的囚徒缺乏管束，如今正酝酿着一些令人不安的风暴。\n<H28><G>而那里的监管者虽然都曾经是陶某派遣，但随着他们权力增大，这些监管者之中也时常有不可预料之事发生。\n<H28><G>在<F173 西北方通往炎狱山和小少林的岔路口北边>有个<F173 姓傅的铁匠>，那是本堂主的亲信眼线，就是从他那里传来的消息，你去和他碰头，询问老傅可有需要援手之事。	<G>或许不该将小妹带来恶人谷……	<G>或许不该将小妹带来恶人谷……	<G><F174 这个老铁匠瞧见你，突然咧嘴一笑。>\n<H28><G>嘿嘿，没想到陶堂主派来的人竟然是你啊……\n<H28><G><N>这个名字这些天我已经听谷中许多人说过了，听说你在前线杀死了不少浩气盟的狗腿子，连陶堂主都对你极为看好？让老夫看看你的本事吧！		0					0													0		
60	赤练蛇液	<G>前往北边的火潭，帮雷克明取来些赤练蛇毒液。	<G>既然陶堂主已然知晓，雷某无话可说，只有一事在死前想求！\n<H28><G>雷某并非不顾谷内规矩，只是我那婆娘阿香犯了重症，唯有<F171 赤练蛇液>才能缓解，那<F172 蛇>生在<F173 北边的火潭附近>，剧毒难挡，需有人冒死前去挑战。雷某无法之下，只好以协助犯人逃走为引，引诱囚犯助我取得蛇液。\n<H28><G>只是如今药材还远远不够，若谁能出手弄来八滴赤练蛇液，我定然亲手把那些逃走的奴隶捉回来。\n<H28><G><F174 雷克明难过道：>\n<H28><G>当年逃难前来恶人谷之时，阿香曾帮我挡了数刀，这才留下了这病根，我又怎能弃她于不顾……	<G><F174 雷克明仿佛失魂一般。>	<G><F174 雷克明仿佛失魂一般。>	<G><F174 雷克明见你取来足够的赤练蛇液，欢喜难禁。>\n<H28><G>多谢恩公！克明无以为报，不过这里有前些日子堂主赏的兵器，恩公权且挑一件吧。\n<H28><G>堂主与恩公皆对雷某甚厚，这番我医好婆娘的顽疾，只待追回逃走囚犯之后，定然前往执法堂向陶堂主请罪！\n<H28><G><F174 雷克明感动莫名。>		0					0													0	把赤练蛇毒液交给雷克明。	
61	哨塔监守：雷克明	<G>铁匠铺的傅铁匠让你去西北边的麾风哨塔，盘问哨塔监守：雷克明。	<G><F174 傅铁匠皱眉道：>\n<H28><G>说起来，这炎狱山里有从前王谷主亲手塞进来的老顽固，也有后来陶堂主压进来的囚徒，执法堂的监守自然半点不敢松动，不过最近还是出了大事！炎狱山中竟然有囚徒逃掉了！\n<H28><G>这里防卫森严，若非有高级监守做内应，那些武功已然半废的囚徒如何能逃出，老夫细细琢磨，有这等本事私放犯人的只有二人。\n<H28><G>这二人中，赎罪石场的监管乃是我的侄子傅斩风，斩风对堂主大人忠心不二，应该没有问题。\n<H28><G>不过另外一人，乃是<F173 西北边麾风哨塔>的哨塔监管<F173 雷克明>。最近他接连出了几次错，石场内的奴隶逃掉，他竟然没有拦住。我有潜伏之人，不可暴露，就由你来盘问此人吧。	<G>这人就在路边哨塔之下。	<G>这人就在路边哨塔之下。	<G>雷克明，竟然是为她那婆娘阿香么，他那婆娘我也见过，却是一个病怏子，姿色平平……难得，我从前还没看出雷克明竟是个多情种子！		0					0					盘问雷克明								0	回复傅铁匠。	
62	断罪石场	<G>傅铁匠让你去西北边麾风哨塔的外墙脚下，找到他的侄子傅斩风。	<G><F174 傅铁匠眯起双目：>\n<H28><G><N>，我曾对你说过，我那个侄子<F173 傅斩风>如今监管断罪石场，这侄子是老傅家的独苗，看在我那死去哥哥的份上，我自然要对他多加照看。\n<H28><G>如今谷内执法堂实力空虚，那些囚徒里多有顽劣，斩风那里一个人也有些照看不住，你可否卖老夫个情面，去<F173 西北边>的<F173 麾风哨塔>那里看看可有能代他解决之事？\n<H28><G>如今哨塔有叛乱，他带着手下随从都被逼到了<F173 哨塔西北的外墙脚下>。	<G>多谢了，日后傅家当厚报阁下……	<G>无效未完成对话（交任务处）	<G>傅斩风双目圆睁，大叫道：\n<H28><G>我这叔叔还是这般瞧我不起，从小时便要对我管这管那，我如今已然年过四旬，还要对我这般照顾！\n<H28><G><F174 傅斩风看了你两眼。>\n<H28><G>不过既然是<N>亲自前来……以你的名声，想来那几件棘手之事也可轻易解决了，还要偏劳你了！		0					0													0		
64	又有骚乱了！	<G>除掉麾风哨塔内叛乱的囚徒，回报哨塔西北外墙下的傅斩风。	<G><F174 傅斩风咧嘴笑道：>\n<H28><G>你来的巧，赶上了这断罪石场隔三岔五便会爆发一次的小范围囚徒骚乱！\n<H28><G>你刚来此地，还不知道吧？这里关押的恶人都不是什么遵纪守法之徒，每隔几天，总有人肉皮发痒，暗中煽动众人，组织起小型骚动。\n<H28><G>对待这种事件，身为资深囚牢监管的我，已经很习惯了，也逐渐摸索出了控制骚乱扩大的手段。\n<H28><G><F174 傅斩风叹道：>\n<H28><G>唉！每次都要杀几个人，才好让大家激动的情绪平稳下去啊！\n<H28><G>这次就让你活动下手脚，<F173 北边高墙>里面那些<F172 叛乱的囚徒>就交给你了！本谷之中，可以随意杀人的机会可不是每日都能碰到，我这里时常有手痒的好汉们前来活动筋骨，你想来也开始动心了吧？	<G><F174 傅斩风邪恶一笑：>\n<H28><G>手痒了吧？	<G><F174 傅斩风邪恶一笑：>\n<H28><G>手痒了吧？	<G><F174 傅斩风拍手大笑：>\n<H28><G>好身手，好速度，这样的武艺，难怪<N>的名声涨的这般快！		0					0													0	回复傅斩风。	
65	督促	<G>傅斩风让你去东边的断罪石场杀掉偷懒的囚犯。	<G><F174 傅斩风拍打你的肩膀说道：>\n<H28><G>这里关押的恶人囚犯，都是狡猾之人，堂主大人大人大量，留他们的性命，在<F173 东边的断罪石场>挖掘石材，但这些恶人之中，不偷懒的几乎没有，是以难免要我这般勤劳之人石场督促，每隔几天都要杀死几个<F172 偷懒的囚徒>，如此才能让他们干活稍微精神一些！\n<H28><G><N>，本谷之中，想要出名，手下没有几十条恶人的性命怎么行，这个难得的机会，老哥我便让给你了，日后若有好处，可也莫要忘了老哥我啊。	<G>莫要太大意，这些人内功虽然被克制，但杀人技巧却是一点没忘的。	<G>莫要太大意，这些人内功虽然被克制，但杀人技巧却是一点没忘的。	<G>这些恶人破坏本谷规条，早该死了，还敢偷懒，岂非找死。		0					0													0	回复傅斩风。	
66	何谓医者	<G>落星湖的裴元让你从桌子上放置的刀，桃子，木锨中选择一件，再与他对话。	<G>我这就来为你准备刚入门之后的试炼吧。\n<H28><G>我面前的石台上有<F171 三件物事>，乃吾师药王孙思邈所设的一个考验。师傅言明，三件物事预表着医者三种不同的命运，只能选其一，且不能改变！你<F171 凭直觉从中择取一件>吧！	<G>万花之人最忌犹豫不决、三心二意，倘若如此，不如早点出谷去吧。	<G>万花之人最忌犹豫不决、三心二意，倘若如此，不如早点出谷去吧。	<G>做医者难，做万花的医者更难，虽然我也一直没有参透师傅此举的深意，但相信只要凭你心中的执念去选择，必然会有一个满意的结果。												直觉的选择								0		
67	医者之勇	<G>拆看帛书，照其上所述去割六只灵猴耳，之后交给落星湖的裴元。	<G>此中暗藏有一封<F171 帛书>，按书中所述，割猴耳交给<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。	<G>我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过师傅的考验。	<G><F174 裴元对你不加理睬。>	<G>老师常常教诲，行医者须有坚忍果决之志，超越常人之胆魄。否则遇到华佗开颅刮骨，畏首畏尾，岂不误了大事。\n<G>只是你斩数只猴耳，居然面不更色，还是缺少一点医者的悲悯之心。																				1	将灵猴耳带给裴元。	
68	医者之智	<G>拆看帛书，用桃子引诱猴子，并仔细观察三只灵猴，回复落星湖的裴元。	<G>此中暗藏有一封<F171 帛书>，按书中所述，仔细观察三只灵猴，回覆<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。\n<H28><G>对了，那猴儿非常刁钻，惹恼了它，它可是会伤人的。	<G>我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过师傅的考验。	<G><F174 裴元对你不加理睬。>	<G>老师常常教诲，行医者须有博爱万物之心，灵犀贯通之智。\n<G>古之扁鹊，全赖心细思巧，见其面而观其膏肓之间。												观察灵猴								1	将观察结果告诉给裴元。	
69	医者之勤	<G>拆看帛书，从灵猴宝藏中取出猴儿果，带去给落星湖的裴元。	<G>此中暗藏有一封<F171 帛书>，按书中所述，取来猴儿果，带去给<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。	<G>我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过师傅的考验。	<G><F174 裴元对你不加理睬。>	<G>老师常常教诲，行医者须有踏实敦厚之行，身体力行，不辞劳苦。\n<G>汉之张仲景，身为一方太守，却躬身于民间，搜集药草，问询病人，终治愈伤寒之苦。\n<G>你不辞劳苦，稳重有余，但智巧灵便尚须磨炼。																				1	将猴儿果带回给裴元。	
