NodeID	Level	Name	Desc
26	2	五谷丰登	二重：帮会家园农作物上交获得的帮会发展点和帮贡提高50%。需要天工树主干隐宝阁建设完成。
26	3	五谷丰登	三重：帮会家园农作物上交获得的帮会发展点和帮贡提高100%。需要天工树主干玉华玄宫建设完成。
27	1	鸢飞鱼跃	一重：钓鱼活动增产15%。
27	2	鸢飞鱼跃	二重：钓鱼活动增产30%并有一定几率钓出素银宝箱。需要天工树主干神工阁建设完成。
27	3	鸢飞鱼跃	三重：钓鱼活动增产50%并有更高几率钓出素银宝箱和鎏金宝箱。需要天工树主干天机宝殿建设完成。
28	1	灵丹妙药	一重：增加丹房建设任务奖励30%。
28	2	灵丹妙药	二重：增加丹房建设任务奖励50%。
28	3	灵丹妙药	三重：增加丹房建设任务奖励100%。
29	1	洗髓伐脉	一重：开出帮会奇宝商出售洗髓丹盒。需要天工树主干圣手坊建设完成。
30	1	欣欣向荣	一重：提高帮会菜地最低收成数到33%。
30	2	欣欣向荣	二重：提高帮会菜地最低收成数到35%。
30	3	欣欣向荣	三重：提高帮会菜地最低收成数到40%。需要天工树主干藏珍房和圣手房建设完成。
62	1	建设工房	
62	2	建设工房	
62	3	建设工房	
63	1	建设丹房	
63	2	建设丹房	
63	3	建设丹房	
