ID	Length	String
STR_TIP_SOLORDEFENCE	32	<text>text="阳性内功防御力" font=65 </text><text>text="\\\n提高你抵御敌人阳性内功攻击的能力。" font=106 </text>
STR_TIP_NEUTRALDEFENCE	32	<text>text="中性内功防御力" font=65 </text><text>text="\\\n提高你抵御敌人阳性内功攻击的能力。" font=106 </text>
STR_TIP_LUNARDEFENCE	32	<text>text="阴性内功防御力" font=65 </text><text>text="\\\n提高你抵御敌人阳性内功攻击的能力。" font=106 </text>
STR_TIP_POSIODEFENCE	32	<text>text="毒性内功防御力" font=65 </text><text>text="\\\n提高你抵御敌人阳性内功攻击的能力。" font=106 </text>
STR_TITLE_REPUTATION	16	声望
STR_REPUTATION_FORCE	16	势力
STR_TITLE_REPULEVEL	16	声望等级
STR_TIP_FORCEBAR	32	声望条越偏右，你在该势力中的声望就越高。声望从低到高分为多个级别。
STR_TIP_ATTACKCONTROL	32	勾选所选势力后的框，表示你视这个势力的人为敌方，可以主动进行攻击。
STR_TIP_FORCENAME	32	在势力名称上单击右键，可以对这个势力进行操作，包括将它移到不常用势力组中。
STR_TIP_FORCE_CJ	64	<text>text="藏剑山庄" font=65 </text><text>text="\\\n江南新近崛起的世家，以令人惊诧的速度名列四大世家，乃是江南名侠“一叶知秋”叶孟秋一手创立的剑术名门。叶孟秋膝下数子皆以高超的剑技名动江湖。\n叶氏一族掌握着高超的兵刃锻造技艺，江湖中许多优质的武器都出自这里，十年一会的“名剑大会”，预示了一把把神剑的出世，这令西子湖畔成为天下剑士的向往之地。" font=106 </text>
STR_TIP_FORCE_CY	64	<text>text="纯阳派" font=65 </text><text>text="\\\n注重心境修炼的道门，纯阳派立派于华山南峰纯阳宫，乃是纯阳祖师吕洞宾所创。\n纯阳弟子修习结合炼气凝神的内家剑术，大唐玄宗李隆基被吕洞宾收为记名弟子，一时间纯阳显赫无比，乃是大唐向道之人心中的圣地。" font=106 </text>
STR_TIP_FORCE_GB	64	<text>text="丐帮" font=65 </text><text>text="\\\n笑傲江湖的“天下第一大帮”。一股源自社会底层的中坚力量，帮中弟子多数有着令人为之侧目的激昂热血。他们坚守“达则兼济天下，穷则独善其身”的处世理念。刚强不弯，守正驱邪，这是多数江湖中人对丐帮的评价。" font=106 </text>
STR_TIP_FORCE_MJ	64	<text>text="明教" font=65 </text><text>text="\\\n明教是发源自波斯琐罗亚斯德教派的教派，因教中众多文化来自异域，许多行为被中原武林大力排斥。\n在中原武林历史上，曾经有过一段明教扫荡武林的辉煌时代，他们甚至壮大到要与朝廷公然对抗，这最终引起了皇族联合武林对明教的大力打压，明教在中原的势力因而烟消云散。\n数年来，明教在西域修养生息，伤患已然痊愈，如今，明教即将在创教教主陆危楼的统帅下重返中原。面对曾经给予他们巨创的大唐王朝和中原武林，明教的逆袭必将掀起一个动荡的时代。" font=106 </text>
STR_TIP_FORCE_QX	64	<text>text="七秀坊" font=65 </text><text>text="\\\n七秀坊乃是公孙大娘所创，杜甫有诗云“昔有佳人公孙氏，一舞剑器动四方”，所言便是七秀一脉名动天下的剑舞之技，七秀坊乃唐中宗李显亲自赠送，达官显贵、文人墨客汇集于斯，更与青岩万花、千岛长歌并称天下三大风雅之地，可谓声名显赫。" font=106 </text>
STR_TIP_FORCE_SL	64	<text>text="少林寺" font=65 </text><text>text="\\\n少林寺建寺两百余载，寺中武学经历数代高僧洗练，去腐除陈，已然精炼无比，素来享有天下武学出少林之盛誉。" font=106 </text>
STR_TIP_FORCE_TC	64	<text>text="天策府" font=65 </text><text>text="\\\n“东都之狼”天策府是唐太宗李世民身为秦王时所设立的组织。\n大唐武德四年，李世民以右领军大都督的身份带领大军攻下洛阳，击败王世充、窦建德联军。李世民因战功显赫而名声大振，唐高祖命他掌握东部平原文、武两方面的大权，封李世民为天策上将，并且允许他在洛阳开府——天策府。\n天策府随着李世民的上台逐渐成为机密机关，负责与江湖牵涉较多的事宜。虽然经过武周一代的极力打压，天策府还是成为大唐王朝在江湖上的一支秘密代表。" font=106 </text>
STR_TIP_FORCE_TM	64	<text>text="唐门" font=65 </text><text>text="\\\n江湖中最为神秘的家族，天下四大世家之一。\n在江湖人的心中，冰冷的唐门暗器更多昭示了唐家子弟的辣手无情，而唐门刺客更代表着天下最强的杀手组织。\n虽然唐门在数年前“枫华谷惨案”之中折损惨重，但百足之虫，死而不僵，近年来，唐门行事并未收敛，反而更加凌厉。 这个盘踞蜀中的巨大家族在掌门唐傲天的统领下散发出更为森冷的气氛。" font=106 </text>
STR_TIP_FORCE_WD	64	<text>text="五毒" font=65 </text><text>text="\\\n对于中原武林来说，五毒永远是一个最为神秘的门派，他们自给自足，一般很少涉足中原。但是一旦惹是上他们，五毒教将会对之追杀至天涯海角，除了一死百了，别无他法，再加上五毒难以解释的施毒之术，常常杀人于无形之中，五毒成为武林人士最为不愿招惹的门派之一。" font=106 </text>
STR_TIP_FORCE_WH	64	<text>text="万花谷" font=65 </text><text>text="\\\n万花谷坐落在群山之中，需要穿过一条秘密隧道才能到达。现任谷主东方宇轩游历到此地后觉得风景优美，环境适宜，决定在这里隐居。东方宇轩建立万花谷后，常常邀请社会名流、武林高手到万花谷中下棋品茗，饮酒弹琴。久而久之，万花谷竟成为江湖上第一风雅之地，许多厌倦了武林生活，官场险恶的名士们纷纷选择到万花谷隐居。万花谷之名盛，几乎可以和当时的长歌门相提并论。以说是三教九流聚集之地，各种奇人异士都可以在万花谷找到自己的容身之地。" font=106 </text>
STR_TIP_FORCE_BD	64	<text>text="霸刀山庄" font=65 </text><text>text="\\\n霸刀山庄位列四大世家之一，它的历史相当悠久，在藏剑山庄崛起之前，一向是足堪与唐门分庭抗礼的一大势力。霸刀山庄每隔十年举办的一次扬刀大会，历次都会吸引众多的豪杰英雄前往，可谓风光无限，霸刀山庄绝学“霸王刀法”在当年的柳五公子手上使出，更是所向披靡。" font=106 </text>
STR_TIP_FORCE_BJ	64	<text>text="镖局联盟" font=65 </text><text>text="\\\n为了对抗十二连环坞的威胁，以京畿最大镖局镇威镖局为牵头，成立了全国十五道镖局联盟，联盟日渐稳固，如今全国十五道镖局联盟的镖已然可以很容易地平安前往全国的各个角落。" font=106 </text>
STR_TIP_FORCE_CG	64	<text>text="长歌门" font=65 </text><text>text="\\\n长歌门创立于武德六年。杨子敬在浙江千岛湖建立“相知山庄”。千岛湖风景美不胜收，在杨子敬引导之下，渐成天下文人墨客集会所在。\n他们渐渐地自成一个门派，取“长歌击剑”的儒侠情怀，自称“长歌门下士”，后来时日渐久，千岛湖上知名之士层出不穷，渐与青岩万花谷、扬州七秀坊并称为天下三大风雅之地。" font=106 </text>
STR_TIP_FORCE_DY	64	<text>text="东瀛倭寇" font=65 </text><text>text="\\\n来自东瀛的这群倭寇由浪人、武士、忍者、阴阳师等职业组成，他们自东瀛乘船渡海，原来中原，很少人知晓他们的真正目的。" font=106 </text>
STR_TIP_FORCE_ER	64	<text>text="恶人谷" font=65 </text><text>text="\\\n一入此谷，永不受苦。 \n恶人谷起初只是收容一些在逃的刑犯，或者是被仇家追杀无路可逃者。但是渐渐的，随着收容的恶人愈来愈多，恶人谷的势力一发而不可收拾，已经成为江湖上最大的一股邪恶力量，他们并不需要一统江湖什么虚幻的目的，他们只求自由自在，为所欲为。 自从十大恶人相继入谷，恶人谷气焰大炽，只有浩气盟才能够稍稍遏制他们。" font=106 </text>
STR_TIP_FORCE_HQ	64	<text>text="浩气盟" font=65 </text><text>text="\\\n大唐开元二十年，八大门派强攻恶人谷败北，各派元气大伤，损失惨重。\n各大门派对于这股悄然而起的邪派势力感到岌岌可危。武林中有识之士深感单凭各门各派或者短暂的联军很难消灭恶人谷的，是以由天策首倡，各派派出精英，联合起来成立了浩气盟。\n浩气盟不是门派，也不是帮会，然而正是因为浩气盟的存在，各大门派得到全息之机，恶人谷方才遭到遏制。" font=106 </text>
STR_TIP_FORCE_HY	64	<text>text="红衣教" font=65 </text><text>text="\\\n红衣教原名阿萨辛教，乃是传自波斯的一个宗教。\n“光明寺之战”以后，伴随着明教的大举西迁，同样的信仰使得红衣教接纳了大批普通的信徒，实力急剧扩大。" font=106 </text>
STR_TIP_FORCE_JS	64	<text>text="僵尸教" font=65 </text><text>text="\\\n有这么一群人，他们称自己为塔纳（苗语：回忆之意），之所以这么叫，是因为他们是一群靠着回忆来支撑自己的人，他们身体是诡异的蓝绿色，有股奇怪的药物味道，生命更是无时无刻在死亡边缘徘徊，如果没有了回忆，他们知道自己最终也会变成天一教手中那些行尸走肉般的僵尸一个样子。但是也正因为有了回忆，他们才会对现在的一切感到怨恨，感到老天的不公，所以他们要报复，要复仇。" font=106 </text>
STR_TIP_FORCE_KL	64	<text>text="昆仑派" font=65 </text><text>text="\\\n昆仑派位于昆仑山之中，据昆仑典籍记载，昆仑派源于西晋太康年间，晋武帝即位后，为求使得西晋得到安定与复苏，对当世的武学之士实施了严厉的打击，凡不能为当朝所用者皆予以铲除，其中一批武学精强之士血战后杀出围剿，逃逸到昆仑山中，众人经历惨变，都觉世态炎凉，心灰意冷，决心不再踏入江湖，从此安居于此，钻研武学，研究升仙之道。偶然有人下山探看，却见战乱频仍，众人重返江湖之心终于止息。昆仑一脉由是而生。" font=106 </text>
STR_TIP_FORCE_LY	64	<text>text="狼牙军" font=65 </text><text>text="\\\n天宝四年，安禄山暗中花费巨资，在范阳外的狼山建立规模巨大的狼牙堡。\n为了不惊动中原武林，安禄山利用重金和各种手段从突厥、契丹、奚、回纥、仆固、新罗、百济、高句丽、室韦、鲜卑、渤海、黑水靺鞨、九蕃胡外族国家招揽了一大批奇人异士、豪杰巨寇，号称八千假子，以狼牙名之。" font=106 </text>
STR_TIP_FORCE_PL	64	<text>text="蓬莱方家" font=65 </text><text>text="\\\n东海广阔无垠，传言有仙山三座，是为蓬莱、方丈、瀛洲，乃是仙人居所，亦是传说中秦始皇东寻求药、汉武帝御驾访仙之地。蓬莱方家，世居东海蓬莱岛，不为世人所知。" font=106 </text>
STR_TIP_FORCE_SC	64	<text>text="神策军" font=65 </text><text>text="\\\n太宗之后，高宗软弱无能，武则天为了打压一门心思忠于李唐江山的天策府，暗中派武三思在朝野内外寻找可以利用的军队，郁郁不得志的神策军与武三思一拍即合。在寂寞中沉寂了多年的神策终于看到了希望……" font=106 </text>
STR_TIP_FORCE_SE	64	<text>text="十二连环坞" font=65 </text><text>text="\\\n十二连环坞便是大唐最大的数股贼匪力量结成的坚固同盟，他们划地分金，四出劫掠，每日过的便是刀头舔血的生涯。" font=106 </text>
STR_TIP_FORCE_TY	64	<text>text="天一教" font=65 </text><text>text="\\\n大唐天宝二年，五毒教右长老乌蒙贵为获教教主之位，携女儿五毒教灵蛇使玛索发动叛乱，被右长老艾黎镇压成功，乌蒙贵不得不率领自己的部下逃出五毒，五毒教从此分裂，乌蒙贵僻处南疆，自立一支天一教。" font=106 </text>
STR_TIP_FORCE_TZ	64	<text>text="天竺迦兰僧" font=65 </text><text>text="\\\n杨国忠，杨国忠为打压与天策府关系密切的少林寺，上旨请玄宗迎菩提会入朝，菩提会在中土终于有了属于自己的立足寺院，他们将寺院取名为“战宝迦兰”以纪念天竺总教，在与少林的斗争当中，他们多数人失去了自己的修养和立场，开始施展卑劣的手段以达成目的，中原武林中人多称他们为“天竺迦兰僧”。" font=106 </text>
STR_TIP_FORCE_XK	64	<text>text="侠客岛" font=65 </text><text>text="\\\n东海侠客岛，乃是当年纵横中原的“天下第一“方乾隐居之所，方乾自从天子峰一战剑圣败北之后，从此誓言不出东海，隐居此岛，岛上机关遍布，处处危机，方乾侠踪在此，江湖中人却是从此无缘得见。" font=106 </text>
STR_TIP_FORCE_YY	64	<text>text="隐元会" font=65 </text><text>text="\\\n据说天下没有隐元会不知之事，只是他人若想从隐元会门下知晓，定要付出相当的代价。隐元会门下弟子踪迹遍及九州，然而从未有人能够查探出他们的首领和总部究竟立足何方，他们看似松散，实则组织严密无比，而从他们口中得知的消息往往万斤难求，珍贵无比。" font=106 </text>
STR_TIP_FORCE_ZT	64	<text>text="中条一刀流" font=65 </text><text>text="\\\n来自东瀛的神秘流派，剑招凶狠，下手毒辣，与中原武术大相径庭。" font=106 </text>
STR_TIP_FORCE_9T	64	<text>text="九天" font=65 </text><text>text="\\\n九天是什么？" font=106 </text>
STR_TITLE_RIDE	16	坐骑
STR_TITLE_BAG	16	背包
STR_TITLE_SKILL	16	武学
STR_SKILL_LEIGONG	16	心法
STR_SKILL_ZHAOSHI	16	武艺
STR_SKILL_PRACTICE	16	修练
STR_SKILLTAB_JC	16	基础
STR_SKILLTAB_JH	16	江湖
STR_SKILLTAB_CJ	16	藏剑
STR_SKILLTAB_CY	16	纯阳
STR_SKILLTAB_GB	16	丐帮
STR_SKILLTAB_MJ	16	明教
STR_SKILLTAB_QX	16	七秀
STR_SKILLTAB_SL	16	少林
STR_SKILLTAB_TC	16	天策
STR_SKILLTAB_TM	16	唐门
STR_SKILLTAB_WD	16	五毒
STR_SKILLTAB_WH	16	万花
STR_TITLE_CRAFT	16	技艺
STR_CRAFT_FX	32	佛学
STR_CRAFT_DX	32	道学
STR_CRAFT_ZJ	32	杂集
STR_CRAFT_READ	32	阅读
STR_CRAFT_READFINISH	32	完成阅读
STR_CRAFT_COPY	32	抄录
STR_CRAFT_COST	32	草纸2,神10,阅读250
STR_CRAFT_MAKE	32	制造
STR_CRAFT_MAKEALL	32	全部制造
STR_TITLE_FRIEND	16	好友
STR_FRIEND_ADDFRIEND	16	添加好友
STR_FRIEND_DELFRIEND	16	删除好友
STR_FRIEND_ADDFRIENDGROUP	16	添加分组
STR_FRIEND_DELFRIENDGROUP	16	删除分组
STR_TITLE_WHO	16	查询
STR_TITLE_PARTY	16	队伍
STR_PARTY_TEAMMATE	16	队友
STR_PARTY_MANAGE	16	管理
STR_PARTY_LOOTMODE	16	分配
STR_PARTY_LOOTLEVEL	16	分配等级:
STR_PARTY_INVITEPARTY	16	邀请组队
STR_PARTY_LEAVEPARTY	16	退出队伍
STR_PARTY_KICK	16	开除队友
STR_PARTY_CHANGE	16	移交队长
STR_FREE_FOR_ALL	16	自由拾取
STR_LEADER_DISTRIBUTE	32	队长分配
STR_PARTY_PICK_UP	16	队伍拾取
STR_EQUIP_GREEN	16	绿色
STR_EQUIP_BLUENESS	16	蓝色
STR_EQUIP_LIGHT_YELLOW	16	紫色
STR_EQUIP_DARK_GLOD	16	桔红
STR_TIP_ADDFRIEND	32	<text>text="添加好友" font=65 </text><text>text="\\\n将一个玩家添加到你的好友名单中，对方并不会知道你的操作。" font=106 </text>
STR_TIP_DELLFRIEND	32	<text>text="删除" font=65 </text><text>text="\\\n将选定的玩家或分组从好友名单上去掉，对方并不会知道你的操作。" font=106 </text>
STR_TIP_ADDFRIENDGROUP	32	<text>text="添加分组" font=65 </text><text>text="\\\n添加一个分组，你可以给这个组命名，并编辑这个组里的好友名单。" font=106 </text>
STR_TIP_DELFRIENDGROUP	32	删除一个分组。
STR_TIP_GROUPNAME	32	右键单击组名，可以对该组进行操作；右键单击好友名单，可以对好友进行操作。
STR_TIP_PARTYLIST	32	在这里可以查看你的队伍成员，以及他们的等级、门派、当前状态。
STR_TIP_PARTYMANAGE	32	在这里可以对队伍进行管理。
STR_TIP_ROLLMODE	32	你所在小队中的物品分配方式。
STR_TIP_ROLLMODE_FREE	32	当怪物死亡时，附近范围内的所有小队成员都有拾取的权利。
STR_TIP_ROLLMODE_PARTY	32	当怪物死亡时，附近范围内的所有小队成员按照轮流的方式获得拾取权利。品质线以下的物品由可拾取的队员获得，等于或高于品质线的物品将进行投点分配。
STR_TIP_ROLLMODE_LEADER	32	当怪物死亡时，附近范围内的所有小队成员按照轮流的方式获得拾取权利。品质线以下的物品由可拾取的队员获得，等于或高于品质线的物品将由队长指定分配。
STR_TIP_ROLLLINE	32	你所在小队中的物品分配品质。低于这个品质的物品分被轮流分配，等于或高于这个品质的物品将按所选的分配方式进行分配。
STR_TIP_ADDTEAMMATE	32	<text>text="邀请组队" font=65 </text><text>text="\\\n邀请一个玩家加入你的队伍，当你没有队伍时，将建立一支以你为队长的队伍。" font=106 </text>
STR_TIP_LEAVEPARTY	32	<text>text="离开队伍" font=65 </text><text>text="\\\n退出你所在的队伍。" font=106 </text>
STR_TIP_RAID	32	<text>text="转化为团队" font=65 </text><text>text="\\\n将你的队伍转化为团队。" font=106 </text>
STR_TIP_KICKTEAMMATE	32	<text>text="开除队友" font=65 </text><text>text="\\\n将指定的玩家从你的队伍名单中去除（队长才有操作权限）。" font=106 </text>
STR_TIP_CHANGELEADER	32	<text>text="移交队长" font=65 </text><text>text="\\\n将队长移交给指定玩家。" font=106 </text>
STR_TIP_ROLL	32	<text>text="需求" font=163 </text><text>text="\\\n我想要这件物品！我要参与分配！" font=106 </text>
STR_TIP_ROLLMINI	32	你可以在下方看到这项物品离结束分配还有多少时间，如果你需要这件物品，请尽快结束其他物品的分配。
STR_TITLE_FACTION	16	帮会
STR_TITLE_QUEST	16	任务
STR_QUEST_ACCEPT	16	接受任务
STR_QUEST_TRACK	16	追踪
STR_QUEST_CANCEL	16	放弃
STR_QUEST_SHARE	16	共享
STR_TIP_SHOWSIGN	32	该任务已被追踪。
STR_TIP_SHOWQUEST	32	将选定任务的任务状况显示在主界面上，以便于你可以随时查看。对已追踪的任务使用这个键将取消追踪。
STR_TIP_DELQUEST	32	取消选定的任务，将其从任务日志中去除。相关任务物品会保留在你的物品栏里，你可以重新去接受这个任务。放弃任务不会给你任何惩罚。
STR_TIP_SHAREQUEST	32	与你的队友共享这个任务，共享时他必须位于你的周围。
STR_MIDDLEMAP_ENTER	16	进入世界地图
STR_MINIMAP_BIGMAP	32	M
STR_MINIMAP_ZOOMIN	32	-
STR_MINIMAP_ZOOMOUT	32	+
STR_TITLE_SHOP	16	商店
STR_SHOP_PAGENUM	16	第1页
STR_SHOP_SALE	16	出售
STR_SHOP_BUYBACK	16	回购
STR_TIP_REPAIR	32	<text>text="修理" font=65 </text><text>text="\\\n修理一件你所指定的物品。" font=106 </text>
STR_TIP_REPAIRALL	32	<text>text="全部修理" font=65 </text><text>text="\\\n修理你身上所有损坏的物品。" font=106 </text>
STR_TITLE_BANK	16	储物箱
STR_BANK_ADD	16	扩展背包
STR_BANK_BUY	32	你确定要购买一个储物格吗，这将消耗：
STR_MAIL_RECEIVE	16	收信
STR_MAIL_SEND	16	寄信
STR_MAIL_RETURN	16	退信
STR_MAIL_DELETE	16	删除
STR_MAIL_FORWARD	16	转发信件
STR_MAIL_REPLY	16	回复信件
STR_MAIL_DELIVER	16	发送信件
STR_MAIL_TO	16	收件人：
STR_MAIL_CTO	16	抄送：
STR_MAIL_STITLE	16	信件主题：
STR_LEARN_HASSTUDY	16	已学会
STR_LEARN_CANTSTUDY	16	不能学习
STR_LEARN_COSTMONEY	16	需要金钱:
STR_LEARN_NEEDLEVEL	16	需要等级:
STR_LEARN_NEEDREPUT	16	需要声望:
STR_LEARN_NEEDEXP	16	需要熟练度:
STR_TITLE_TRADE	16	交易
STR_TRADE_SURE	16	锁定
STR_TITLE_TALK	16	对话
STR_TITLE_LOOT	16	拾取
STR_REVIVE_YES	16	原地复活
STR_REVIVE_NO	16	复活点复活
STR_TITLE_MUSIC	16	声音设置
STR_TIP_VOICESET	32	你可以根据需要在这里调节音乐和音效。
STR_SOUND_SETTING	16	声音设置
STR_MAIN_VOLUME	16	主音量
STR_UI_VOLUME	16	界面音效音量
STR_ERROR_VOLUME	32	错误提示音效音量
STR_SCENE_VOLUME	32	场景音效音量
STR_CH_VOLUME	32	角色音效音量
STR_BG_VOLUME	32	背景音乐音量
STR_SILENCE	32	静音
STR_UISOUND	32	界面声音
STR_ERRORSOUND	32	错误提示声音
STR_SPEAK	32	角色对话
STR_SCENESOUND	32	场景音效
STR_ROLESOUND	32	角色音效
STR_BGMUSIC	32	背景音乐
STR_BGMUSICLOOP	32	背景音乐循环播放
STR_VIDEO_SETTING	32	图像设置
STR_TIP_SCREENSET	32	你可以根据需要调节你的图像设置以获得更好的游戏运行效果，它们包括修改你的画面分辨率，更好的抗锯齿效果，更多的光影特效等等。
STR_SCREEN_RESOLUTION	8	分辨率
STR_FULLSCREEN	32	窗口模式最大化
STR_PANAUISION	16	宽屏模式
