MapID	SymbolID	ImagePath	nFrame	Name	Description	Position
10	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	14722,35633;21864,44155;26854,51960;29244,59348;43149,62018;0483,69070;40478,78253;32197,83011;40661,86791;42748,94381;
10	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		14722,35633;
10	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		21864,44155;
10	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		26854,51960;
10	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		29244,59348;
10	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		43149,62018;
10	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		40483,69070;
10	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		40478,78253;
10	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		32197,83011;
10	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		40661,86791;
10	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		42748,94381;
11	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	54944,8274;41171,15390;34718,22469;31215,29246;34319,35678;33386,45091;44882,50080;56184,54817;56305,59297;59308,61577;
12	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	8484,39681;17043,31802;30575,36058;14567,16350;32181,15423;52634,21510;51406,28754;63003,18623;69551,30752;77586,46742;
12	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		8484,39681;
12	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		17043,31802;
12	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		30575,36058;
12	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		14567,16350;
12	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		32181,15423;
12	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		52634,21510;
12	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		51406,28754;
12	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		63003,18623;
12	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		69551,30752;
12	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		77586,46742;
13	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	81869,14027;80445,23807;73849,39662;85515,51843;87223,57900;64446,59227;55205,64783;51586,71437;30191,72018;20283,65305;
13	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		81869,14027;
13	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		80445,23807;
13	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		73849,39662;
13	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		85515,51843;
13	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		87223,57900;
13	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		64446,59227;
13	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		55205,64783;
13	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		51586,71437;
13	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		30191,72018;
13	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		20283,65305;
16	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	21031,14289;33125,25141;29583,31041;22001,33911;7927,44682;20343,51057;24457,58664;22338,67957;38504,68259;52032,73222;
21	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		77452,42869;
21	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		69051,37131;
21	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		58492,41904;
21	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		48628,46052;
21	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		37279,48281;
21	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		23362,45222;
21	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		18198,35762;
21	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		21129,28361;
21	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		30395,28191;
21	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		53960,31214;
22	12	ui/Image/Minimap/Minimap.UITex	200	хЩ╢С╤Яхк		89411,64371;
23	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		79300,11472;
23	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		62490,14887;
23	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		53108,28528;
23	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		38282,32790;
23	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		44906,38644;
23	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		35349,42911;
23	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		26909,41734;
23	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		12654,39321;
23	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		10601,53876;
23	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		17929,66179;
30	12	ui/Image/Minimap/Minimap.UITex	200	ю╔бьж╝╠Д		55654,98555;
35	12	ui/Image/Minimap/Minimap.UITex	200	я╙яшаЗмУ		65042,66291;
49	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	60458,64653;60811,56759;66703,47921;76193,43483;60674,24419;54784,32386;42707,34003;37961,48154;42439,60776;32695,67213;
108	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	81717,70421;50642,59615;58876,51588;68911,43295;64286,32354;69094,23338;74904,51788;40844,61606;27621,64411;91133,72225;
