ItemID	IconID	SoundID	Name	Desc	Requirement
16	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
17	1200	8	破剑		
18	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
19	711	4	蝙蝠翼	<Text>text="蝙蝠帮的秘密武器。" font=100 </text>	
20	1212	2	精铁剑		
21	233	1	安神草	<Text>text="安神的草药。" font=100 </text>	
22	946	1	白蛇血	<Text>text="西湖白蛇之血。" font=100 </text>	
23	943	1	冰泉	<Text>text="冰泉之水。" font=100 </text>	
24	99	1	卜卦铜钱	<Text>text="用来算卦用的铜钱。" font=100 </text>	
25	1228	8	铁制护腕		
26	1228	8	精铁护腕		
27	34	1	藏剑兵刃	<Text>text="藏剑山庄铸造的兵刃。" font=100 </text>	
28	1288	1	藏剑令	<Text>text="使用：在烟霞洞门口插下藏剑令。\\\n" font=105 </text><Text>text="藏剑的令牌。" font=100 </text>	
29	112	1	柴草	<Text>text="易燃物。" font=100 </text>	
30	1948	1	大漠金刀	<Text>text="据说是大漠驸马的信物。" font=100 </text>	
31	33	1	剑模	<Text>text="剑的模型。" font=100 </text>	
32	1287	1	剑鞘	<Text>text="精致的剑鞘。" font=100 </text>	
33	242	1	健次郎的家信	<Text>text="健次郎写给罗浮仙的书信。" font=100 </text>	
34	294	1	健次郎的战书	<Text>text="健次郎的挑战书。" font=100 </text>	
35	169	1	金泥	<Text>text="西湖中特有的金泥。" font=100 </text>	
36	572	1			
37	951	1	九溪龟血	<Text>text="九溪龟之血。" font=100 </text>	
38	1271	1	九溪虎骨	<Text>text="九溪猛虎的骨头。" font=100 </text>	
39	255	1	疗伤药	<Text>text="云水禅心秘制的疗伤药。" font=100 </text>	
40	243	1	灵隐藏经	<Text>text="灵隐寺秘藏的经文。" font=100 </text>	
41	310	1	灵隐秘方	<Text>text="云水禅心的秘藏药方。" font=100 </text>	
42	1213	1	梅花佩	<Text>text="刻有梅花的玉佩，江南梅家的信物。" font=100 </text>	
43	1348	1	秘制汤药	<Text>text="用灵隐秘方制造的汤药。" font=100 </text>	
44	299	1	密信	<Text>text="藏有秘密的信笺。" font=100 </text>	
45	844	1	青锋宝剑	<Text>text="吹毛断发，宝剑无双。" font=100 </text>	
46	841	1	青锋剑	<Text>text="锋锐无匹的利剑。" font=100 </text>	
47	32	1	青锋剑坯	<Text>text="青锋剑的毛坯。" font=100 </text>	
48	937	1	清明根	<Text>text="清明草之根。" font=100 </text>	
49	373	1	蛇毒	<Text>text="九溪蛇的剧毒。" font=100 </text>	
50	125	1	蜀中名酒	<Text>text="刘温自蜀中带来的佳酿。" font=100 </text>	
51	1348	1	铁浆	<Text>text="赤红的铁浆。" font=100 </text>	
52	1352	1	铁精之浆	<Text>text="玄铁精华熔成的铁浆。" font=100 </text>	
53	211	1	玄铁矿	<Text>text="寻常的铁矿石。" font=100 </text>	
54	856	1	无双剑	<Text>text="叶炜的佩剑。" font=100 </text>	
55	565	1	五阴噬魂散	<Text>text="使用：喂叶凡服下。\\\n" font=105 </text><Text>text="唐门的秘制毒药。" font=100 </text>	
56	691	1	雾隐流缎带	<Text>text="雾隐流武者身份的象征。" font=100 </text>	
57	956	1	绣花手绢	<Text>text="柳琦菲母亲的遗物。" font=100 </text>	
58	211	1	玄铁	<Text>text="玄铁矿石。" font=100 </text>	
59	1212	2	挂件酒葫芦	<Text>text="用来装酒的葫芦，已经有了裂痕。" font=100 </text>	
60	1212	2	粗布	<Text>text="简单缝纫的布料，还需要再加工。" font=100 </text>	
61	74	15	狼毫	<Text>text="一团狼毛，缝纫的原材料之一。" font=100 </text>	
62	74	15	兔毫	<Text>text="一团兔毛，缝纫的原材料之一。" font=100 </text>	
63	184	16	粮草	<Text>text="普通的粮草。" font=100 </text>	
64	118	5	锄头	<Text>text="普通的锄头，可以用来采金。" font=100 </text>	
65	119	5	锤子	<Text>text="普通的锤子，可以用来锻造武器。" font=100 </text>	
66	120	5	铲子	<Text>text="普通的铲子，可以用来采药。" font=100 </text>	
67	121	9	小药臼	<Text>text="普通的药臼，可以用来制药。" font=100 </text>	
68	122	5	绣花针	<Text>text="普通的绣花针，可以用来缝纫。" font=100 </text>	
69	123	4	庖丁小刀	<Text>text="普通的小刀，可以用来庖丁。" font=100 </text>	
70	65	15	脏兮兮的猪尾巴		
71	66	15	野猪獠牙		
72	71	15	猪蹄子		
73	69	15	猪大肠		
74	73	15	鸡骨头碎片		
75	72	15	腐烂的兔子		
76	67	15	锋利的狼牙		
77	76	15	带血的鸡毛		
78	79	4	兽皮		
79	70	15	肉筋		
80	78	15	一串蛇骨		
81	82	15	狗爪子		
82	68	15	狗牙		
83	70	15	鸡肠		
84	83	15	鸡蛋		
85	79	4	闪光的鳞片		
86	85	15	鱼籽		
87	77	15	雪白的鹅毛		
88	86	15	鹅喙		
89	84	15	白兔尾巴		
90	64	5	山贼头巾		
91	92	7	一本折子	<Text>text="江湖几大门派的简单介绍，虽然已经十分破烂，但还是隐隐约约能看到每页右下角的一个“隐”字。" font=100 </text>	
92	843	1	玄铁大剑	<Text>text="玄铁熔铸而成的巨剑。" font=100 </text>	
93	949	1	玄铁之精	<Text>text="玄铁的精华所在。" font=100 </text>	
94	87	16	烤狼肉	<Text>text="在15秒内恢复45点血气,不能在战斗中使用。\\\n" font=105 </text><Text>text="用狼肉慢火细炙而成，口味鲜美。" font=100 </text>	
95	88	14	二锅头	<Text>text="在15秒内恢复45点血气,不能在战斗中使用。\\\n" font=105 </text><Text>text="江湖最常见的酒，辛辣无比。" font=100 </text>	
96	100	16	稻香饼	<Text>text="<BUFF 226 1 desc>，持续<BUFF 226 1 time>。\\\n" font=105 </text><Text>text="稻米做成可口米饼，农家风味。" font=100 </text>	
97	103	4	榕树浆	<Text>text="使用：在15秒内恢复45点血气，不能在战斗中使用。\\\n" font=105 </text><Text>text="榕树浆汁，世传主治跌打伤。" font=100 </text>	
98	104	4	鲜竹笋	<Text>text="使用：在15秒内恢复45点血气，不能在战斗中使用。\\\n" font=105 </text><Text>text="天然竹笋，主要用来烹饪，也可生吃。" font=100 </text>	
99	105	14	香山粗茶	<Text>text="使用：在15秒内恢复45点血气，不能在战斗中使用。\\\n" font=105 </text><Text>text="稻香村特产茶，飘香浓郁。" font=100 </text>	
100	114	4	凝血草药	<Text>text="在15秒内恢复45点血气,不能在战斗中使用。\\\n" font=105 </text><Text>text="天然草药，主要用来止血。" font=100 </text>	
101	130	14	下品止血散	<Text>text="回复50点当前气血。\\\n" font=105 </text><Text>text="最简单跌打药粉，可以简单处理伤口。" font=100 </text>	
102	106	3	粗制绷带	<Text>text="在15秒内恢复75点血气。\\\n" font=105 </text><Text>text="最简单的绷带，只能简单止血。" font=100 </text>	
103	104	4	竹笋	<Text>text="绿油油的笋尖，很是鲜嫩。" font=100 </text>	
104	107	15	蛇胆	<Text>text="毒蛇之胆，入药的好材料。" font=100 </text>	
105	553	5	一包止血草	<Text>text="被包扎好的止血草，紫晴让送给稻香村小月的。" font=100 </text>	
106	127	12	一捆枪	<Text>text="一个兵器架，上面挂满了枪戟。" font=100 </text>	
107	117	12	一捆棍	<Text>text="一个兵器架，上面挂满了长棍。" font=100 </text>	
108	109	4	布娃娃	<Text>text="破破烂烂的布娃娃。" font=100 </text>	
109	110	4	草帽	<Text>text="可挡风、遮雨、避阳。" font=100 </text>	
110	114	4	稻穗	<Text>text="大粒的稻穗，看上去就快成熟了。" font=100 </text>	
111	89	15	狼牙	<Text>text="野狼之牙，锋利无比，可以用来做箭头。" font=100 </text>	
112	101	12	木材	<Text>text="坚硬的树枝，可以用来做箭杆。" font=100 </text>	
113	128	15	小野猪肉	<Text>text="从小野猪身上取的肉。" font=100 </text>	
114	126	4	野菜	<Text>text="野生山菜，可食用。" font=100 </text>	
115	102	4	猪皮	<Text>text="制作皮甲的好材料。" font=100 </text>	
116	70	15	猪筋	<Text>text="制作弓弦的好材料。" font=100 </text>	
117	113	4	火种	<Text>text="使用：在稻山梯田南边湖中心小岛上的草垛边使用，可以点燃草垛。\\\n" font=105 </text><Text>text="用来取火的火石等器具。" font=100 </text>	
118	112	4	材堆	<Text>text="李复布置好的柴堆，上面堆满了易燃物。" font=100 </text>	
119	111	14	毒药	<Text>text="陈大夫调制的毒药，投入山贼的水井中。" font=100 </text>	
120	124	4	粮食包	<Text>text="打包好的粮食。" font=100 </text>	
121	115	4	山贼的人头	<Text>text="山贼的人头，死了还凶神恶煞，看上去让人胆战心惊。" font=100 </text>	
122	90	1	旧包裹	<Text>text="看上去破破烂烂的包裹，不知道里面装了些什么。" font=100 </text>	
123	130	14	毒药	<Text>text="一种奇怪的毒药，可以让人四肢疲软，全身无力。" font=100 </text>	
124	88	14	空瓶	<Text>text="使用：在小镜湖瀑布附近装盛湖水。\\\n" font=105 </text><Text>text="空空的酒瓶，小孩们经常用它来装水玩。" font=100 </text>	
125	88	14	装满水的瓶子	<Text>text="装满了小镜湖湖水的瓶子。" font=100 </text>	
126	113	4	火种	<Text>text="使用：点燃附近的干材堆。\\\n" font=105 </text><Text>text="用来取火的火石等器具。" font=100 </text>	
127	29	11	大状元的赶猪棒	<Text>text="使用：驱赶稻山梯田糟蹋粮食的野猪。\\\n" font=105 </text><Text>text="上面写有的奇怪文字“尺丨ㄐ”已经模糊不清了。" font=100 </text>	
128	129	4	凝血草	<Text>text="野外四处可见的一种植物，外型似菌，具有止血止疼的特效。" font=100 </text>	
129	52	1	头巾	<Text>text="乡下人最爱用的包头巾，简便易用。" font=100 </text>	
130	32	10	木剑	<Text>text="小孩玩的木剑，虽然很旧，但看得出是心爱之物，保管得很好。" font=100 </text>	
131	91	1	绿包裹	<Text>text="绿色的包裹，上面绣有一个“陈”字。" font=100 </text>	
132	106	3	绷带	<Text>text="使用：为伤员包扎。\\\n" font=105 </text><Text>text="简单的绷带，用来包裹伤口。" font=100 </text>	
133	49	1	崭新的灰布衣服	<Text>text="王婆婆给自己儿子缝制的新衣服，从细细的针脚就能看出王婆婆花费了很大的心血。" font=100 </text>	
134	121	9	黑色的药膏	<Text>text="乡下常见的外伤药膏，一般伤口都可以用这个处理。" font=100 </text>	
135	89	15	能做针的骨头	<Text>text="细细的野骨，也不知道什么什么野兽的，不过貌似可以用来做缝衣针。" font=100 </text>	
136	936	1	血铁	<Text>text="藏剑出产的特殊矿石。" font=100 </text>	
137	92	7	一本折子		
138	92	7	一本折子		
139	92	7	一本折子		
140	293	1	叶凡的画像	<Text>text="绘有叶凡模样的画像。" font=100 </text>	
141	1544	1	蛛囊	<Text>text="九溪蛛的毒囊。" font=100 </text>	
142	111	14	七绝断味散	<Text>text="使用：将药投入山贼营地的水井。\\\n" font=105 </text><Text>text="无色无味，无剧毒。" font=100 </text>	
143	744		巳桂笔	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n忆在山中时，丹桂花葳蕤。" font=100 </text>	
144	743		巳松笔	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n松生石上，剑在其背。" font=100 </text>	
145	1707		巳持棍	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n我本求心心自持，求心不得待心知。" font=100 </text>	
146	863		巳慧棍	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n心地无痴自性慧。" font=100 </text>	
147	123	4	刀子	<Text>text="利刃之上，寒光偶现。恶者以之伤人，仁者以之救人。" font=100 </text>	
148	278	16	桃子	<Text>text="使用：对灵猴使用可以借机观察其习性。\\\n" font=105 </text><Text>text="水灵灵的蜜桃，人猴咸宜。" font=100 </text>	
149	288	4	木锨	<Text>text="一把掘土用的木掀。" font=100 </text>	
150	294	7	帛书	<Text>text="使用：打开阅读。\\\n" font=105 </text><Text>text="这是一封帛书。里面写着你所选物品隐藏的玄机，最好妥善保管。" font=100 </text>	
151	133	15	灵猴耳	<Text>text="万花灵猴的耳朵。" font=100 </text>	
152	227	4	果子	<Text>text="使用：选中北原猪崽后，右键点击进行诱捕。\\\n" font=105 </text><Text>text="北原猪崽爱吃的果子。" font=100 </text>	
153	278	16	桃子	<Text>text="水灵灵的蜜桃，散发着水果的清香。" font=100 </text>	
154	294	7	玄正大师的书信	<Text>text="使用：打开阅读。\\\n" font=105 </text><Text>text="少林寺方丈的亲笔信。" font=100 </text>	
155	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
156	137	9	青鱼石粉	<Text>text="使用：与凝露水合成青鱼丹。\\\n" font=105 </text><Text>text="青鱼石上磨下的粉末，可以解毒。" font=100 </text>	
157	136	4	青鱼丹	<Text>text="使用：解除罗文龙所下之毒。\\\n" font=105 </text><Text>text="万花谷出品。" font=100 </text>	
158	201	9	黑色药丸	<Text>text="使用：对中毒的仙鹿和生病的麋鹿使用，可解除其所中之毒。\\\n" font=105 </text><Text>text="花谷神医不医活人裴元所制。" font=100 </text>	
159	253	17	红色药丸	<Text>text="使用：对生病的麋鹿使用，可解除其所患之病。\\\n" font=105 </text><Text>text="花谷神医不医活人裴元所制。" font=100 </text>	
160	125	4	拜师茶	<Text>text="杯中散发着浓郁的茶香，看来用了上好的茶叶。" font=100 </text>	
161	285	15	花猴肉	<Text>text="肉色鲜嫩，乃王知味要的食材。" font=100 </text>	
162	245	7	九羊神功	<Text>text="有些卷边的残旧书本，其上记载着密传烤全羊的制法。" font=100 </text>	
163	179	15	鹿肉	<Text>text="鹿肉，犹带缕缕血丝，乃王知味所需之食材。" font=100 </text>	
164	281	15	晴狼狼舌	<Text>text="这舌头上生满了倒刺，乃王知味所需之食材。" font=100 </text>	
165	276	15	仙鹿茸	<Text>text="这根鹿茸粗壮挺圆，顶端丰满，应是取之于成年强壮的雄鹿。" font=100 </text>	
166	282	15	夜狼心	<Text>text="狼心有毒。" font=100 </text>	
167	132	4	朱丹果	<Text>text="鲜红光滑的小果子，为猴儿所珍藏。" font=100 </text>	
168	263	16	飞龙卧雪	<Text>text="此乃南疆王族御用名菜，旁人很难做出纯正的味道。" font=100 </text>	
169	305	2	菜牌	<Text>text="宇晴请你拿给僧一行的菜牌，其上书有“飞龙卧雪”四字，字体秀丽挺拔。" font=100 </text>	
170	141	5	赶鹿的铃铛	<Text>text="可爱的小铃铛，轻轻摇动会发出叮叮的声音。" font=100 </text>	
171	180	15	药汁	<Text>text="往往越苦的药越好。" font=100 </text>	
172	241	7	药方	<Text>text="这张方子上墨迹未干，看来刚刚书就。" font=100 </text>	
173	137	9	幽绿土壤	<Text>text="奇特的泥土，有着幽绿的色泽。" font=100 </text>	
174	223	4	会及	<Text>text="这是一颗药草。会及酸温无毒，补不足，养五脏，有除热生阴之效。" font=100 </text>	
175	225	4	醉鱼草花	<Text>text="醉鱼草之花，药用于久疟，疳积，烫伤。" font=100 </text>	
176	229	4	蓝实	<Text>text="蓼蓝之果实，味苦寒，解诸毒。" font=100 </text>	
177	238	14	醉鱼膏	<Text>text="用醉鱼草花调制的膏药，用来治疗烫伤再好不过。" font=100 </text>	
178	231	4	龟板	<Text>text="大龟的腹甲，可入药。" font=100 </text>	
179	180	15	龟血	<Text>text="大龟的血。" font=100 </text>	
180	88	14	甜酒	<Text>text="朦胧子所造的甜酒，可用于制药。" font=100 </text>	
181	298	8	青铜镜	<Text>text="使用：对千年龙龟使用，可使其产下龟溺。\\\n" font=105 </text><Text>text="镜中无佳人，只有龟一只。" font=100 </text>	
182	255	14	龟溺	<Text>text="一瓶千年龙龟的龟溺。切记：打开瓶子前一定要捂住你的鼻子。" font=100 </text>	
183	244	7	奇异的药方	<Text>text="使用：打开阅读。\\\n" font=105 </text><Text>text="孙思邈给你的药方，上面罗列了一些奇异的药物。" font=100 </text>	
184	201	9	硝石	<Text>text="孙思邈请你帮忙搜集的三种药材之一，看上去是普通的石块。" font=100 </text>	
185	323	12	木炭	<Text>text="孙思邈让你寻找的三种药材之一，焦黑的木炭。" font=100 </text>	
186	200	9	硫磺	<Text>text="孙思邈请你帮忙搜集的三种药材之一，散发刺鼻的气味。" font=100 </text>	
187	256	14	毒鹿血	<Text>text="花海中毒之鹿的血液，蕴含腐蚀性很强的剧毒。" font=100 </text>	
188	250	14	解药	<Text>text="裴元依据毒鹿血中之毒配制的解药，可解葛晚星所中之毒。" font=100 </text>	
189	226	4	漱玉茶	<Text>text="这茶叶的叶片肥大青白，为万花独有。" font=100 </text>	
190	105	14	漱玉茶	<Text>text="由一种只在万花谷中生长的茶叶制成。" font=100 </text>	
191	307	2	蝉玉佩	<Text>text="这枚蝉玉佩所用之碧玉产自南疆，产量极少，夏日佩戴清凉祛暑，乃稀罕饰品，通常唯有王室方能拥有。" font=100 </text>	
192	145	4	蝉玉佩碎片	<Text>text="被宇晴摔碎的玉佩碎片，散发丝丝凉意。" font=100 </text>	
193	245	7	浪穹国史	<Text>text="记载着浪穹国史的一本史书。" font=100 </text>	
194	242	7	万花茶典·造茶	<Text>text="使用：打开阅读。\\\n" font=105 </text><Text>text="讲述江湖至深茶道的书。" font=100 </text>	
195	179	15	星潭鳄肉	<Text>text="万花谷揽星潭中生长的一种鳄鱼之肉，味苦涩。" font=100 </text>	
196	128	15	隐月龟肉	<Text>text="万花谷揽星潭中生长的一种大龟之肉，味咸。" font=100 </text>	
197	233	4	冷紫参	<Text>text="在潭水附近生长的一种人参。" font=100 </text>	
198	34	10	昔庭剑	<Text>text="藏剑山庄所铸，聋哑村总管胡长吟之爱剑，青锋三尺，寒光凌冽。" font=100 </text>	
199	305	2	守节令·壹	<Text>text="万花谷谷主东方宇轩分发给聋哑人的令牌。" font=100 </text>	
200	305	2	守节令·贰	<Text>text="万花谷谷主东方宇轩分发给聋哑人的令牌，被蓬莱人拿去收藏了。" font=100 </text>	
201	135	4	方仲归的首级	<Text>text="聋哑村叛乱的统领方仲归的头颅。不过，看来它不太喜欢被放在包袱里的感觉……" font=100 </text>	
202	134	5	精致的控具	<Text>text="在刺客方洛处取得的精致器具，从表面很难知道它的功用。" font=100 </text>	
203	142	4	龙骨甲兽的手臂	<Text>text="机甲兽的手臂，极为粗大。上面有很多接口，似乎是用于检查。" font=100 </text>	
204	144	12	轮盘	<Text>text="从炽焰铁颅体内拆除的轮盘，它还在旋转。" font=100 </text>	
205	293	7	南洋海图	<Text>text="万花谷图部总管朦胧子亲手誊绘的海图，凭借它可以在南洋海域通行无阻。" font=100 </text>	
206	88	14	猴儿酒	<Text>text="猴子酿造的美酒，醇香浓郁，纯天然生产。" font=100 </text>	
207	255	14	特制猴儿酒	<Text>text="使用：对朦胧子使用，用酒香使之清醒。\\\n" font=105 </text><Text>text="猴子用纯洁的心酿造的极品美酒，醇香浓郁，色味俱佳。但使猴儿能醉客，不知何处是他乡！" font=100 </text>	
208	239	17	一袋新鲜茶叶	<Text>text="显然，这是一袋新鲜的茶叶。" font=100 </text>	
209	235	4	蒸熟的茶叶	<Text>text="这些茶叶已然被蒸熟了。" font=100 </text>	
210	140	4	竹枝	<Text>text="这根竹枝看来刚刚被砍下，枝头还带有几片竹叶。" font=100 </text>	
211	139	16	漱玉茶饼	<Text>text="用熟茶叶碾合而成的茶饼。" font=100 </text>	
212	238	14	莹流膏	<Text>text="此茶膏乃涓涓细流的山泉所调而成。莹莹山涧水，调成一段香。" font=100 </text>	
213	238	14	倾流膏	<Text>text="此茶膏乃用倾流而下的瀑布水调和而成。银河飞流下，焙茗亦芬芳。" font=100 </text>	
214	238	14	井月膏	<Text>text="此茶膏乃是用井水调和而成。井中明月影，井外滋味长。" font=100 </text>	
215	105	14	莹流茶	<Text>text="使用：饮用可使人神清气爽，内力最大值提高26点。\\\n" font=105 </text><Text>text="此茶汤是山泉水所煮，为上好茶汤，饮用之后使人神清气爽。不是凡间物，仙家自珍藏。" font=100 </text>	
216	105	14	倾流茶	<Text>text="使用：饮用可使人筋脉活络，气血最大值提高23点。\\\n" font=105 </text><Text>text="此茶汤是集瀑布之水所煮，味道极美，舒缓人心，然长期饮用会使人颈项发硬。此茶虽好，切莫贪杯。" font=100 </text>	
217	105	14	井月茶	<Text>text="使用：饮用会使人身心疲乏，气血降低20点。\\\n" font=105 </text><Text>text="此茶汤是为井水所煮，味道欠佳。好茶需活水，不活难称佳。" font=100 </text>	
218	142	4	工圣的锐雷猎鳄	<Text>text="使用：对月湖鳄使用以检查其威力。\\\n" font=105 </text><Text>text="用来猎杀鳄鱼的机括，工圣僧一行所制。" font=100 </text>	
219	142	4	司徒的锐雷猎鳄	<Text>text="使用：对月湖鳄使用以检查其威力。\\\n" font=105 </text><Text>text="用来猎杀鳄鱼的机括，司徒一一所制。" font=100 </text>	
220	241	7	伪造的遗书	<Text>text="颜真卿帮忙伪造的遗书，上面打了小孔。" font=100 </text>	
221	235	4	月明草	<Text>text="这株绿色的小草上隐约发出圆润的微光。" font=100 </text>	
222	242	7	家书	<Text>text="使用：该物品将触发一个任务。\\\n" font=105 </text><Text>text="一封普通的家书。" font=100 </text>	
223	246	7	蓬莱信笺	<Text>text="使用：该物品将触发一个任务。\\\n" font=105 </text><Text>text="上面落款乃方鹤影，赶紧打开看看有何阴谋！" font=100 </text>	
224	843		巳雷剑	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n阴阳相薄为雷。" font=100 </text>	
225	852		巳雨剑	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n一雨火云尽，闭门心冥冥。" font=100 </text>	
226	828		巳风枪	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n其疾如风。" font=100 </text>	
227	831		巳山枪	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n不动如山。" font=100 </text>	
228	786		巳宫双剑	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n宫，中也，居中央，畅四方，唱始施生，为四声之纲。" font=100 </text>	
229	785		巳徵双剑	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n徵，祉也，物盛大而繁祉也。" font=100 </text>	
230	807		巳云囊	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n志眇眇而临云。" font=100 </text>	
231	803		巳松囊	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n松生石上，剑在其背。" font=100 </text>	
232	804		巳徵囊	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n徵，祉也，物盛大而繁祉也。" font=100 </text>	
233	805		巳净囊	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n净念相继。" font=100 </text>	
234	806		巳持囊	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n我本求心心自持，求心不得待心知。" font=100 </text>	
235	500		巳云履	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n志眇眇而临云。" font=100 </text>	
236	1131		巳雨冠	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n一雨火云尽，闭门心冥冥。" font=100 </text>	
237	1971	1	巳电衫	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n电，阴阳激耀也。" font=100 </text>	
238	465		巳松绦	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n松生石上，剑在其背。" font=100 </text>	
239	1038		巳松袍	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n松生石上，剑在其背。" font=100 </text>	
240	1177		巳雨履	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n一雨火云尽，闭门心冥冥。" font=100 </text>	
241	1149		巳火裤	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n侵略如火。" font=100 </text>	
242	1090		巳山臂	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n不动如山。" font=100 </text>	
243	1992		巳桂裤	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n忆在山中时，丹桂花葳蕤。" font=100 </text>	
244	1967	1	巳徵结	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n徵，祉也，物盛大而繁祉也。" font=100 </text>	
245	61		巳商鞋	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n商，章也，物成就可章度也。" font=100 </text>	
246	1986		巳商裙	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n商，章也，物成就可章度也。" font=100 </text>	
247	1028		巳净裹	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n净念相继。" font=100 </text>	
248	1982		巳净腕	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n净念相继。" font=100 </text>	
249	1996		巳持鞋	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n我本求心心自持，求心不得待心知。" font=100 </text>	
250	479		巳持裤	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n我本求心心自持，求心不得待心知。" font=100 </text>	
251	1216		巳山坠	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n不动如山。" font=100 </text>	
252	1199		巳雨链	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n一雨火云尽，闭门心冥冥。" font=100 </text>	
253	1200		巳山链	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n不动如山。" font=100 </text>	
254	1201		巳火链	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n侵略如火。" font=100 </text>	
255	1217		巳火坠	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n侵略如火。" font=100 </text>	
256	1202		巳桂链	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n忆在山中时，丹桂花葳蕤。" font=100 </text>	
257	1231		巳桂戒	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n忆在山中时，丹桂花葳蕤。" font=100 </text>	
258	1218		巳徵佩	<Text>text="藏剑山庄出品的第四批江湖制式装备。\n徵，祉也，物盛大而繁祉也。" font=100 </text>	
