id	content
19	\n    “你们等着吧，我奶奶今天让我爹去城里买胭脂。她说我长大了，可以打扮的漂漂亮亮的。”\n    “不许你们说我奶奶！她是瞎子，可是她看的到我。她说了，她能看到我，我是最最漂亮的。”\n    “这有个女孩还有口气…………毒尸潭…………可以用…………”\n    “头好痛……这是哪里？爹……娘……奶奶……你们在哪里，回答若兰，快回答我啊！呜呜呜呜呜呜呜呜呜”
20	\n    “这是什么地方？我怎么在水池子里？这水，好奇怪，好难闻啊。我动不了……”\n    “这女孩炼的毒尸不错…………等我五圣教毒霸武林…………”\n    “奶奶，你在哪里？若兰现在变成绿色的，好难看……奶奶……我怎么办……别人更加不会理我了。”\n    “不，我要找到奶奶的胭脂盒，有了胭脂盒，我就会变漂亮了。我一定要找到……”
21	【经部】\n\n　　　　阿含部 ：三百八十七卷\n\n　　　　本缘部 ：三百一十七卷\n\n　　　　般若部 ：七百六十八卷\n\n　　　　法华部\n\n　　　　华严部 ：三百二十四卷\n\n　　　　宝积部\n\n　　　　涅盘部 ：四百四十卷\n\n　　　　大集部 ：一百八十四卷\n\n　　　　经集部 ：八百五十六卷\n\n    密教部 ：五百八十二卷
22	【论藏】\n　　　　释经论部\n\n　　　　毗昙部 ：八百五十八卷\n\n　　　　中观部\n\n　　　　瑜伽部 ：二百五十卷\n\n　　　　论集部 ：二百卷\n\n　　　　经疏部 ：八百三十五卷\n\n　　　　律疏部\n\n　　　　论疏部 ：三百六十七卷\n\n　　　　诸宗部 ：六百二十八卷\n\n　　　　史传部 ：五百六十卷\n\n　　　　事汇部 ：一百六十四卷\n\n　　　　外教部 ：十一卷
23	\n\n    目录部 ：一百五十二卷\n\n    续经疏部 ：共七函\n\n    续律疏部 \n\n    续论疏部 ：共五函\n\n    续诸宗部 ：共五函\n\n    悉昙部 \n\n    古逸部 ：一百四十五卷\n\n    疑似部 ：六十卷
24	\n\n【律藏】\n\n    律部 ：五百零五卷
25	\n\n 　 ﹃武功秘籍﹄\n\n  　  金刚经\n\n    　易筋经\n\n  　  七十二章经\n\n   　 拳经拳法\n\n  　  少林棍法\n\n  　  剑经\n\n  　  达摩剑法\n\n   　 七十二绝技\n\n    少林点穴法 
26	\n    茶之造\n\n    采茶最佳时节在二月、三月、四月之间。然不同茶品却又有差别，茶笋始抽为最佳。\n    初发嫩芽，凌露采之。丛薄之上，有三枝、四枝者，择枝颖拔者采。知行大师有曰：日有雨不采，晴有云不采；然，天有风云。\n    料不及，严守此法之人不多也！\n    所采茶叶须迅即蒸之，捣之，拍之，焙之，穿之，封之，茶干而成饼，不可耽搁一刻。\n    造茶器具多有如下。
27	\n\n\n    甑子：或木或瓦，周框封以泥，内中放竹篮为甑箪，以竹篾系牢。始蒸茶叶，将其放入内篮，既熟，取箪，待甑中无水，再倒入茶叶，以木枝三叉者拌之。散所蒸茶叶，畏流其膏。\n\n     杵臼：捣茶所用，又名碓，恒用者佳。\n\n    贯：削竹为之，穿茶以焙之。
28	\n    炙烤茶饼勿于风烬间，风吹焰火飘忽不定，使茶炎凉不均。是以逼火而烤，翻动不止，待出虾蟆背状，去火五寸续烤之。若叶卷而舒，复烤之，其法如前所述。\n    造茶之初，若茶也至嫩者，蒸熟即热捣，叶烂而笋存。即便为力大者持千钧杵捣之亦不能烂。
29	\n    茶之煮\n\n    煮茶之水也颇有讲究。山水为上，江水次之，井水为下。山中之水，择乳泉石池漫流为最佳，瀑涌湍流久食则易使人生颈疾。藏于山中不泄之水常有虫蛇草木之毒于其中，饮着须流其恶。江水则上游远居所为妙，井水宜取多饮者。另有汲叶上凌露，梅中雪霜为引者。
30	\n\n\n    吾曾一一尝试山水，江水，井水，果然如上所说。又云：各处之水所煮之茶，味道却多有不同：扬子江南零水第一，无锡惠山寺石水第二，苏州虎丘寺石水第三，丹阳观音寺井水第四，大明寺井水第五……吾未有幸一一尝遍，若有好茶者可走访各地取水煮茶以试其味。
31	\n\n　　得人一牛，还人一马，往而不来，非成礼也。知恩报恩，风流儒雅，有恩不报，非成人也。事君尽忠，事父尽敬。 礼问来学，不问往教。舍父事师，敬同于父。慎其言语，整其容貌。善能行孝，勿贪恶事，莫作诈伪，直实在心，勿生欺诳。孝心是父，晨省暮看，知饥知渴，知暖知寒；忧时共戚，乐时同欢，父母有疾，甘美不餐，食无求饱，居无求安。闻乐不乐，闻喜不看，不修身体，不整衣冠，得治痊愈，止亦不难。弟子事师，敬同于父，习其道也，学其言语。
32	\n\n　　黄金白银，乍可相与，好言善述，曼出口舌。忠臣无境外之交，弟子有束修之好。一日为师，终日为父；一日为君，终日为主。教子之法，常令自慎；言不可出，行不可亏。他篱莫越，他事莫知；他贫莫笑，他病莫欺；他财莫取，他色莫侵；他强莫触，他弱莫欺；他弓莫挽，他马莫骑；弓拆马死，偿他无疑。财能害已，必须畏之；酒能败身，必须戒之；色能招害，必须远之；
33	\n\n\n　　愤能积恶，必须忍之；心能造恶，必须净之；口能招祸，必须慎之。见人善事，必须赞之；见人恶事，必须掩之。邻有灾难，必须救之；见人打门，即须谏之；意欲去处，即须番之；见人不是，即须教之；非是时流，即须避之。 罗网之鸟，悔不高飞；吞钩之鱼，恨不忍饥；人生误计，恨不三思；祸将及已，恨不忍之。
34	\n\n\n　　其父出行，子须从后；路逢尊者，齐脚敛手；尊人之前，不得唾地；尊人赐酒，必须拜寿；尊人赐肉，骨不与狗；尊者赐果，怀核在手，苦也弃之，为礼大丑。对客之前，不得垂涕，亦不漱口。记而莫忘，终身无咎。立身之本，义让为先。贱莫与交，贵莫与亲。他奴莫与语，他婢莫与言。衰败之家，慎莫为婚；市道接利，莫与为邻。敬上爱下，泛爱尊贤，孤儿寡妇，特可矜怜。
35	\n\n\n　　乃可无官，不行失婚；身须择行，口须择音；恶人同会，祸必及身。养儿之法，莫听诳言；育女之法，不听离母。男年长大，莫听好酒；女年长大，莫听游走。丈夫好酒，揎拳捋肘，行不择地，言不择口，触突尊，门乱朋友；女人游走，逞其姿首，男女难合，风声大丑，惭耻尊亲，损辱门户。妇人送客，不出闺庭，行其言语，下气低声。出行随伴，隐影藏形；门前送客，莫出庭。一行有失，百形俱倾；能与此礼，无事不精。
36	\n\n\n　　新妇事父，音声莫听，形影不睹；夫之妇史，不得对话；孝养公家，敬事夫主；泛爱尊贤，教示男女。行则细步，言必小语；勤事女功，莫学歌舞。希见今时，贫家养女，不解麻布，不娴针线，贪食不作，好喜游走；女年长大，聘为人妇，不敬君家，不畏夫主，大人使命，说辛道苦；夫为一言，反应十句，损辱兄弟，连累父母，本不是人，状同猪狗。
37	\n\n\n　　少为人子，长为人父，出则敛容，动则庠序，敬慎口言，终身无苦。含血损人，先恶其口。十言九中，不语者胜。居必择邻，慕近良友；侧立齐庭，厚待宾客；侣无新疏，来者当受，合食与酒。开门不看，还同禽兽；拔贫作富，事须方寸；看客不贫，古今宝语；握发吐餐，先有常据；开门不看，不如狗鼠。
38	\n\n\n　　高山之树，苦于风雨；路边之树，苦于刀斧；当道作舍，苦于客侣；不慎之家，苦于官府；牛羊不圈，苦于狼虎；禾熟不收，苦于雀鼠；屋漏不覆，苦于梁柱；兵将不慎，败于军旅；人生不学，费其言语。 近朱者赤，近墨者黑；蓬生麻中，不扶自直，近亡者诏，近偷者贼；近愚者疑，近圣者明；近贤者德，近淫者色。 
39	\n【之一】\n\n　　　行行重行行，与君生别离。\n\n　　　相去万余里，各在天一涯。\n\n　　　道路阻且长，会面安可知。\n\n　　　胡马依北风，越鸟巢南枝。\n\n　　　相去日已远，衣带日已缓。\n\n　　　浮云蔽白日，游子不顾返。\n\n　　　思君令人老，岁月忽已晚。\n\n　　　弃捐勿复道，努力加餐饭。\n
40	\n\n【之二】\n\n\n\n　　　青青河畔草，郁郁园中柳。\n\n　　　盈盈楼上女，皎皎当窗牖。\n\n　　　娥娥红粉妆，纤纤出素手。\n\n　　　昔为娼家女，今为荡子妇。\n\n　　　荡子行不归，空床难独守。
41	【之三】\n\n\n　　　青青陵上柏，磊磊涧中石。\n\n　　　人生天地间，忽如远行客。\n\n　　　斗酒相娱乐，聊厚不为薄。\n\n　　　驱车策驽马，游戏宛与洛。\n\n　　　洛中何郁郁，冠带自相索。\n\n　　　长衢罗夹巷，王侯多第宅。\n\n　　　两宫遥相望，双阙百余尺。\n\n　　　极宴娱心意，戚戚何所迫？
42	\n【之四】\n\n\n　　　今日良宴会，欢乐难具陈。\n\n　　　弹筝奋逸响，新声妙入神。\n\n　　　令德唱高言，识曲听其真。\n\n　　　齐心同所愿，含意俱未申。\n\n　　　人生寄一世，奄忽若飙尘。\n\n　　　何不策高足，先据要路津。\n\n　　　无为守贫贱，坎轲长苦辛。
43	【之五】\n\n\n　　　西北有高楼，上与浮云齐。\n\n　　　交疏结绮窗，阿阁三重阶。\n\n　　　上有弦歌声，音响一何悲！\n\n　　　谁能为此曲，无乃杞梁妻。\n\n　　　清商随风发，中曲正徘徊。\n\n　　　一弹再三叹，慷慨有余哀。\n\n　　　不惜歌者苦，但伤知音稀。\n\n　　　愿为双鸿鹄，奋翅起高飞。\n
44	\n\n【之六】\n\n\n\n\n　　　涉江采芙蓉，兰泽多芳草。\n\n　　　采之欲遗谁，所思在远道。\n　　\n　　　还顾望旧乡，长路漫浩浩。\n\n　　　同心而离居，忧伤以终老。
45	【之七】\n\n\n　　　明月皎夜光，促织鸣东壁。\n\n　　　玉衡指孟冬，众星何历历。\n\n　　　白露沾野草，时节忽复易。\n\n　　　秋蝉鸣树间，玄鸟逝安适。\n\n　　　昔我同门友，高举振六翮。\n\n　　　不念携手好，弃我如遗迹。\n\n　　　南箕北有斗，牵牛不负轭。\n\n　　　良无盘石固，虚名复何益？
46	【之八】\n\n\n　　　冉冉孤生竹，结根泰山阿。\n\n　　　与君为新婚，兔丝附女萝。\n\n　　　兔丝生有时，夫妇会有宜。\n\n　　　千里远结婚，悠悠隔山陂。\n\n　　　思君令人老，轩车来何迟！\n\n　　　伤彼蕙兰花，含英扬光辉。\n\n　　　过时而不采，将随秋草萎。\n\n　　　君亮执高节，贱妾亦何为！
47	\n\n【之九】\n\n\n\n　　　庭中有奇树，绿叶发华滋。\n\n　　　攀条折其荣，将以遗所思。\n\n　　　馨香盈怀袖，路远莫致之。\n\n　　　此物何足贵，但感别经时。
48	\n\n【之十】\n\n\n\n　　　迢迢牵牛星，皎皎河汉女。\n\n　　　纤纤擢素手，札札弄机杼。\n\n　　　终日不成章，泣涕零如雨。\n\n　　　河汉清且浅，相去复几许。\n\n　　　盈盈一水间，脉脉不得语。\n
49	\n\n【之十一】\n\n\n　　　回车驾言迈，悠悠涉长道。\n\n　　　四顾何茫茫，东风摇百草。\n\n　　　所遇无故物，焉得不速老。\n\n　　　盛衰各有时，立身苦不早。\n\n　　　人生非金石，岂能长寿考？\n\n　　　奄忽随物化，荣名以为宝。\n
50	\n【之十二】\n\n　　　东城高且长，逶迤自相属。\n　　　回风动地起，秋草萋已绿。\n\n　　　四时更变化，岁暮一何速！\n　　　晨风怀苦心，蟋蟀伤局促。\n\n　　　荡涤放情志，何为自结束！\n　　　燕赵多佳人，美者颜如玉。\n\n　　　被服罗裳衣，当户理清曲。\n　　　音响一何悲！弦急知柱促。\n\n　　　驰情整巾带，沉吟聊踯躅。\n　　　思为双飞燕，衔泥巢君屋。
51	【之十三】\n\n　　　驱车上东门，遥望郭北墓。\n\n　　　白杨何萧萧，松柏夹广路。\n\n　　　下有陈死人，杳杳即长暮。\n\n　　　潜寐黄泉下，千载永不寤。\n\n　　　浩浩阴阳移，年命如朝露。\n\n　　　人生忽如寄，寿无金石固。\n\n　　　万岁更相送，贤圣莫能度。\n\n　　　服食求神仙，多为药所误。\n\n　　　不如饮美酒，被服纨与素。
52	\n\n【之十四】\n\n\n\n　　去者日以疏，生者日已亲。\n\n　　出郭门直视，但见丘与坟。\n\n　　古墓犁为田，松柏摧为薪。\n\n　　白杨多悲风，萧萧愁杀人！\n\n　　思还故里闾，欲归道无因。
53	\n\n【之十五】\n\n\n\n　　生年不满百，常怀千岁忧。\n\n　　昼短苦夜长，何不秉烛游！\n\n　　为乐当及时，何能待来兹？\n\n　　愚者爱惜费，但为後世嗤。\n\n　　仙人王子乔，难可与等期。
54	【之十六】\n\n　　　凛凛岁云暮，蝼蛄夕鸣悲。\n\n　　　凉风率已厉，游子寒无衣。\n\n　　　锦衾遗洛浦，同袍与我违。\n\n　　　独宿累长夜，梦想见容辉。\n\n　　　良人惟古欢，枉驾惠前绥。\n\n　　　愿得常巧笑，携手同车归。\n\n　　　既来不须臾，又不处重闱。\n\n　　　亮无晨风翼，焉能凌风飞？\n\n　　　眄睐以适意，引领遥相睎。\n\n　　徒倚怀感伤，垂涕沾双扉。
55	\n【之十七】\n\n\n　　　孟冬寒气至，北风何惨栗。\n\n　　　愁多知夜长，仰观众星列。\n\n　　　三五明月满，四五蟾兔缺。\n\n　　　客从远方来，遗我一书札。\n\n　　　上言长相思，下言久离别。\n\n　　　置书怀袖中，三岁字不灭。\n\n　　　一心抱区区，惧君不识察。
56	\n\n【之十八】\n\n\n\n　　　客从远方来，遗我一端绮。\n\n　　　相去万余里，故人心尚尔。\n\n　　　文彩双鸳鸯，裁为合欢被。\n\n　　　著以长相思，缘以结不解。\n\n　　　以胶投漆中，谁能别离此？
57	\n\n【之十九】\n\n\n\n　　　明月何皎皎，照我罗床纬。\n\n　　　忧愁不能寐，揽衣起徘徊。\n\n　　　客行虽云乐，不如早旋归。\n\n　　　出户独彷徨，愁思当告谁！\n\n　　　引领还入房，泪下沾裳衣。
58	\n　　　　　　偷肉\n\n　　某甲去京城卖肉，在路旁一厕所前停下来解手，把肉挂在外面。某乙见此，忙把肉偷去。还没来得及走远，甲已经走出厕所，抓住乙，问乙是否看见有人从厕所旁拿走了他的肉。乙恐甲识破，早把肉衔在嘴里，不耐烦地说：“你真是个笨蛋！把肉挂在门外，哪能不丢？如果像我这样，把肉衔在嘴里，岂有丢失之理？”
59	\n　　　用人名字作游戏\n\n　　北齐人徐之才善开玩笑。有一次他宴请宾客，有个叫卢元明的在座。徐之才便拿“元明”二家开玩笑说：“去头则是兀明，出颈则是无明，减半则是无日，变声则是无盲。”
60	\n　　　王、甘二姓互嘲\n\n　　甘洽与王仙客友善，二人便以对方的姓互相开玩笑。甘洽说：“王，算来你该姓田；为你脸肥大，抽去你两边。”王仙客应声答道：“甘，算来你该姓丹；为你头不曲，回脚向上安。”
61	\n　　　　　玩笑诗\n\n　　有个叫高敖曹的人曾作《杂诗》三首。其一云：冢子地握槊，星宿天围棋；开门屋张口，卷席床剥皮。其二云：相送重相送，相送至桥头；培堆两眼泪，难按满胸愁。其三云：桃生毛弹子，瓠长棒槌儿；墙欹壁亚肚，河冻水生皮。
62	\n　　　　　学鸡叫\n\n　　崔思海口吃，有一次，杜延业对崔思海说：“我让你学鸡叫，只要我一问你话，你必须用鸡叫回答我。”旁人听了这话说：“他的口应须是自由的，怎能听你随意摆布？”杜延业说：“我能让他叫。”于是与旁人一起共找崔思海试验。杜延业握了一把谷，来到崔思海面前问：“这是什么？”崔思海答道：“谷谷谷。”旁人大笑。
63	\n　　　　鱼的快乐\n\n　　庄周和惠施在濠水的桥上游玩。庄周看到桥下水中的鱼，说道：“鱼自由自在地游来游去，这是鱼儿的乐趣。”惠施问：“你不是鱼，怎么能知道鱼的乐趣？”庄周反问：“你不是我，你怎么知道我不知道鱼的乐趣？”
64	\n　　　　所出相同\n\n　　三国时吴主孙权让太子嘲弄诸葛恪，曰：“诸葛恪吃马粪一石。”诸葛恪答道：“臣能戏君，子能戏父，那么我就让太子吃鸡蛋三百个。”孙权问诸葛恪：“别人让你吃马粪，你却让他吃鸡蛋，这是为什么？”诸葛恪答道：“反正这两样东西都是从一个地方出来的！”
65	\n　　　　失火奇事\n\n　　太原有个家里深夜失火，慌忙从屋内往外抢救东西。他本想把一杆铜枪搬出来，却误拿了已烧热的熨斗。他非常惊惋地对儿子说：“真是怪事！火还没烧过来，铜枪却已被烧掉了杆！”
66	\n　　　　　煮竹席\n\n　　蜀汉之地有个人来到吴越之地，主人煮竹笋招待他，他吃得津津有味，就问这是什么，主人告诉他说：“这是竹子。”这人回到家后，就把竹席放在锅里煮，翻来覆去却煮不熟，他气忿忿地对妻子说：“吴人竟然如此欺骗我！真是可恼！”
67	\n　　　　妙语得官\n\n　　后魏人孙绍，官职为太府少卿，年纪很大了，也没能提升为正卿。有一次，高帝召见他，问道：“陈年纪怎么这样老？”孙绍答道：“臣年纪虽老，而臣‘卿’还‘少’。”于是高帝提升他为太府正卿。
68	\n疆域：\n\n　　大唐疆域在最盛时期东至安东，西达中亚咸海的安西，北面则到蒙古高原的北部。周围的异族很多，为了有效管理突厥、回纥、靺鞨、铁勒、室韦、契丹等，分别设立了安西、安北、安东、安南、单于、北庭六大都护府。
69	\n\n\n唐代开创了中国政区史上道和府的建制。唐初贞观年间，将全国划分为关内、河南、河东、河北、山南、陇右、淮南、江南、剑南、岭南等十道。开元年间又将山南、江南各分东西，并增置京畿、都畿、黔中道，形成十五道的格局。道下又设州。
70	\n京畿道：\n\n　　西京长安，是大唐最繁华的地区，宫城、皇城所在。宫城指皇帝住的地方，皇城是大臣官员们住的地方。老百姓的房子和这些比起来显得特别寒碜。在皇城附近有东西两市，多卖珍珠首饰、奇真异品，是供贵族大臣们享受的。那里的“胡商”很出名。
71	\n关内道：\n\n　　黄土文化与草原游牧文化汇聚交融，使关内道荟萃了众多风姿独特、雄奇壮美的自然和人文景观。重点文物古迹有万里长城第一台镇北台，大夏国都统万城遗址，西北地区最大的道教建筑群白云山道观，陕西最大的摩崖石刻红石峡，陕西最大的内陆湖泊红碱淖，以及秦始皇长子扶苏、大将蒙恬墓等。
72	\n都畿道：\n\n　　洛阳"唐三彩"融绘画、雕刻、印花等于一炉，形成风格独特的民族艺术品。有人物俑，有马、牛、骆驼、鸟兽俑，还有盘、碗、壶等，造型典雅优美，设计古朴自然，色彩晶莹瑰丽。以萝卜、白菜、粉丝等制作的传统民间菜肴。杜康酒也出于洛阳。酿制杜康酒的泉水--酒泉，位于杜康村的酒泉沟里。酒泉水清洌碧透，味甜质纯。每遇夏季，可闻到一股天然的酒泉香。另外，洛阳的牡丹也是远近闻名的。
73	\n河南道：\n\n　　河南道地形以丘陵为主，东面临海。山、湖、泉较多。大小寺庙也常见。主要农作物是：小麦、玉米、花生、薯类、棉花。河南的丝、麻织物，遍于全国各地。丝织品色彩绚丽、图案新颖，而且吸收了一些波斯风格和手法，印染技术也有所提高。
74	\n河东道：\n\n　　河东道覆盖了厚厚的黄土地，土质深厚肥沃，适宜耕作，农业发达。主要农作物有：谷子、高粱、黍子、绿豆、荞麦、甘薯。同时那里的醋、酒是远近闻名的。河东道的石窟、彩塑、壁画比比皆是。\n\n河北道：\n\n　　河北道气候寒冷，北部地区的山脉常年被冰雪覆盖。南边有草原、沙漠。东北边以针叶林居多，盛产人参、鹿茸、貂皮，人称东北三宝。
