classid	subclassid	classtitle	question	answer
2	13		队伍/团队中的各种分配方式的意思？	自由拾取：就是谁先摸，掉落的东西就是谁的，不推荐使用。\n 分配者分配：就是需要队长指定的有分配权的角色来分配，（需要修改分配物品的等级）。\n 组队拾取：就是系统默认的ROLL点，谁的点数高谁获得，（需要修改分配物品的等级）。
2	14		如何进行roll点？	组队模式拾取模式下，分配等级以上的物品，会有roll点界面弹出，玩家可以点击“需求”按钮即可。\n分配者分配模式下，玩家在聊天对话框中输入/roll，发出此命令即可。
2	15		如何在队长分配模式下将物品分配给指定队员？	有分配权限的玩家，进行拾取物品的时候，点击拾取栏的物品，便可看在在场能够参与分配的人员名单，选择其中一个人员名字即可。
2	16		团队模式是否可以转化成队伍？	不可以，团队模式是无法转换为队伍模式的，只能退出重新组队。
2	17		如何退出队伍？	鼠标右键点击自己的角色图标，选择退出队伍即可。
3	0	交易/邮件		
3	1		交换物品的方式有几种？	交换物品的方式有拍卖行、当面交易、邮寄三种方式。
3	2		剑网3中能否摆摊？	剑网3中是没有摆摊的，物品的贩卖是通过拍卖行进行的。或是通过频道叫卖。
3	3		如何进行交易？	点选要交易的玩家目标，右键目标头像选择“交易”选项，即可与玩家目标进行交易。绑定物品和任务物品不能交易。
3	4		拍卖行在哪里可以找到？	拍卖行可以在三大主城长安、洛阳、扬州内找到，记得询问卫兵哦。
3	5		拍卖行买到的物品在哪里拿？	拍卖行获得物品会通过信件的方式邮寄到你的邮箱，可以在信使处领取。
3	6		别人邮寄给我的东西，为什么没有收到啊？	邮寄的物品不是马上就邮寄到的，一般信件需要半小时才能到达。
4	0	经脉/奇穴		
4	1		现在多少级才能点经脉?	现在等级10级以后便可点经脉。
4	2		任脉、督脉、带脉、冲脉有什么区别？	任脉主要是提高角色的基础属性和治疗属性。\n督脉主要是辅助能力，例如防御能力。\n带脉主要提高人物的外功能力。\n冲脉主要提高人物的内功能力。
4	3		现在的经脉和奇穴打通还会有失败几率吗？	没有，现在的经脉和奇穴都是100%成功的。
4	4		气海存储的值有什么用？	通过各种方式获得的修为会存在气海中，打通经脉就会扣除相应消耗的修为。
4	5		为什么我无法再点击经脉了，我的气海里面还有足够的修为？	如果丹田值达到了100000的上限，就无法再点击经脉了。
4	6		经脉和奇穴能够洗掉吗？	可以，在自己本门派掌门人或武学训练师处花费一定的金钱就可以洗经伐脉了。
4	7		洗经伐脉会损耗修为吗？	不会，是100%返还。
4	8		可以单独洗一个奇穴吗？	不可以，一旦洗掉奇穴后，是所有的奇穴都为0 。
4	9		如果我只洗掉基础经脉，之前已经点通的奇穴能够直接点吗？	可以，奇穴点通后，不需要前置经脉就可以直接点击。但是如果奇穴洗掉就必须要寰通前面的经脉了。
4	10		打通经脉领悟的招式，使用该技能耗的是丹田的修为还是气海的修为？	使用技能消耗的修为是气海内的修为。
4	11		每天系统会赠送多少点修为？	系统1个小时会赠送25点修为，一天增加400点修为。通过打通任脉?建里可以增加每小时获得的修为。
4	12		还有那些方法可以获得修为。	通过完成部分任务可以获得九花玉露散，使用后可以获得100点修为奖励。帮贡购买，500点帮贡可以在丁字帮贡物资商处购买1个纳元丹，使用后获得100点修为。威望购买，500点威望可以在乙字阵营物资商处购买1个纳元丹，使用后获得100点修为。生活技艺制作，在高级医术师处可以习得纳元丹的制作方法，自己制作纳元丹。挖宝，通过在野外地图挖宝，可以有一定几率获得五铢钱，五铢钱可以在三大主城的觅宝会声望商店购买纳元丹，使用后获得100点修为。
4	13		我40万功力，要给多少功力的人传功才不会损耗修为啊？	如果你的功力是被传功者功力的1.5倍以上，传功是不会损耗修为的。
4	14		每日的门派打坐是什么时候？可以获得多少点修为？	每日门派打坐的时间是18:00——24:00点。每打坐5分钟可以获得20点修为，一天最多获得100点修为。
5	0	生活技艺		
5	1		目前有多少个生活技艺？	生活技艺分为采集类和制造类。采集类包括：神农、采金、庖丁术。制造类包括：烹饪、缝纫、铸造、医术。
5	2		多少级可以开始学习生活技艺？	10级就可以学习生活技艺了。
5	3		一个人可以学几个生活技艺呢？	一个人可以学习所有的生活技艺。
5	4		生活技艺等级目前最高是多少级?	生活技艺目前最高等级为70级。
5	5		什么是技艺分支？	铸造分支：武器专精和盔甲专精、缝纫分支：印染专精和刺绣专精、医术分支：江湖医术专精和万花医术专精。当铸造、缝纫、医术等级达到50级后，都只能选择分支中的一种进行学习。
5	6		技能分支能不能洗掉？	如果想换个分支学习，可以找到高级技艺训练师选择遗忘技艺，就可以重新学习了。提醒：技艺会遗忘到10级，重头开始学起。
5	7		什么是生活技艺突破任务？	生活技能分为初级、中级和高级。最开始生活技能学习的上限是30级。当角色达到25级的时候，找到对应生活技能的中级训练师对话，生活技能的上限课可以突破到50级。当角色达到45级的时候，找到对应生活技能的高级训练师对话，生活技能的上限课可以突破到70级。
5	8		采金技艺有什么用？	采金主要是用于收集铸造所需要的基础材料。
5	9		采金如何突破50级？	当角色等级达到45级，采金等级达到45级，找到洛阳的高级采集训练师对话即可突破50级。
5	10		铸造主要可以用来做什么？	铸造主要用于制造武器和外功系装备。同时还可以制作甲片和魔石。
5	11		铸造和缝纫的附魔效果可以叠加吗？	防具的附魔只允许一个，不能叠加。但武器有时间限制的附魔可以和永久性附魔进行叠加。
5	12		神农最开始练级里找药草啊？	最开始可以在三大主城和新手镇附近找到大黄和甘草进行采集。
5	13		在哪里可以找到初级神农？	在三大主城以及长安新手镇红衣教营地可以找到。
5	14		制作飞鱼丸所需要的千里香和芍药哪里比较多啊？	在天策的青骓牧场附近比较多。
5	15		50级神农可以去哪里练级啊？	50级神农可以去巴陵县练级。
5	16		江湖医术和万花医术有什么区别？	江湖医术主要用于制造攻击性增益效果的药品，万花医术主要用来制造各种增加抗性效果的药品。
5	17		我无法学习万花医术这个分支啊？	如果学习了江湖医术的分支是无法学习万花医术的分支的，同时还确认下万花声望是不是达到了友好，不然也无法进行学习。
5	18		猪血是庖多少级的猪能够获得啊？	30级以上的猪，有几率会出猪血。
5	19		烹饪要的葱怎么获得啊？	可以在菜贩处购买。
5	20		高级烹饪师在哪里？	在长安可以找到高级烹饪师。
5	21		烹饪要所要用的西市腔和富水在哪里获得？	英雄副本中的小怪会有一定几率掉落。
5	22		烹饪失败品有什么用？	制作一定数量的失败品可以获得成就，同时失败品也是可以使用的，也会有相应的使用，但是以不利BUFF为主。
5	23		缝纫的印染分支和刺绣分支分别在什么地方学？	印染分支可以在扬州城可以学习到，刺绣分支在七秀坊可以学习到。
5	24		印染配方（上衣白）做出来的东西为什么用呢？	目前印染秘方等一系列给衣服换色的功能还没有开放。
5	25		印染和缝纫制作的附魔只能给自己使用吗？	这些附魔的东西除了给自己使用还能和其他人交易。
6	0	师徒		
6	1		拜师和收徒有等级要求吗？	有等级要求，拜师等级在1——49级。收徒等级在50级以上。
6	2		同一个ID上的两个角色，可以建立师徒关系吗？	不能，因为师徒关系确认需要双方同时在线。
6	3		一个师傅同时能够收几个徒弟？	同时能够收10个徒弟，徒弟出师后，可以再收其他徒弟。
6	4		多少级可以出师？不出师可以吗？	70级完成出师任务就可以出师。是否出师可以看您自己的意愿，不强制。
6	5		师徒奖励在哪里领取？	师徒的奖励会以信件的方式邮寄到信使处。
6	6		为什么我无法领取到徒弟出师的300点修为奖励？	只有前3个徒弟出师才能获得修为奖励，后面出师则无法获得奖励。
6	7		师徒任务有什么用？在哪里接取？	完成师徒任务可以获得马匹、装备、双倍经验、师徒值、趣味道具等奖励。任务可以在三大新手镇的敬师堂和门派掌门人处接取。
6	8		师徒任务获得的双倍经验奖励是否可以和玄九丸、打坐听课获得双倍BUFF叠加？	师徒任务领取的双倍经验可以和其他BUFF进行叠加使用。
6	9		师徒值有什么作用？	师徒值可以在三大主城的师徒商店中购买各种趣味道具、实用道具等，如战狂牌等。
6	10		如何获得师徒值？	通过带徒弟完成师徒任务方可获得师徒值，但是需要徒弟出师后，师徒值才能转换为可用师徒值进行使用。
6	11		师徒召请每天可以使用几次？	徒弟和师傅每天分别都拥有3次的召请机会。师傅只能召请20级以上的徒弟。
6	12		断绝师徒关系需要时间限制吗？	如果师徒中的任意一方在一周内都有上线，不论是师父还是徒弟主动解除师徒关系，都需要4天后才能正式解除师徒关系。如果师徒双方中任意一方在一周内都没有上线，师徒关系可以立刻解除。
6	13		解除师徒关系后，师徒值是否会保留？	双方都在线的情况，师父主动解除师徒关系是无法保留师徒值的，但徒弟主动解除师徒关系，师父可以获得60%的师徒值。师徒中的任意一方在一周内都没有上过线，对方解除师徒关系后，师父可以获得50%的师徒值。
6	14		如何回到稻香村？	在新手村的敬师堂王昌龄处接到回稻香村的任务。
6	15		师徒是否能够增加江湖资历？	可以获得江湖资历，带徒弟完成任务出师达到一定的数量要求就可以获得相应的江湖资历。
7	0	帮会		
7	1		加入帮会的条件？	等级没有限制，1级也可加入帮会，玩家在接受帮会的邀请后，同意加入帮会即可。
7	2		创建帮会的条件？	在三大主城帮会接引人处建立，玩家等级需要30级以上，花费3 0金，并且在3日之内征集10个帮众即可成功创建帮会。
7	3		如果3天之内没有10名帮众，帮会能否创建成功？	不能创建成功，并且之前缴纳的30金也不会退还。
7	4		什么是帮会贡献值？有什么作用？	帮会贡献值简称“帮贡”，是加入帮会后，参加帮会的活动所获得的贡献值。帮贡值可以在三大主城的帮贡商店购买装备。 
7	5		帮贡装备在哪里兑换？	在长安、扬州、洛阳三大主城内，会有“帮会物资供应商”，目前分别可以兑换110品、120品和130品的装备。
7	6		如何获得帮贡？	通过做任务、交材料或书籍等给收集商、勇闯秘境击杀秘境首领，都可以增加帮贡。
7	7		为什么我50级，去25级三才阵无法获得帮贡？	如果角色等级高于秘境等级15级，是无法获得帮贡的。
7	8		退出帮会后，还会有帮贡吗？	退出帮会后，帮会界面将无法打开，之前的帮贡也无法使用的。但重新加入帮会后，原来的帮贡会保留。
7	9		退出帮会后需要多久才能加入其它帮会？	退出帮会后，可以马上加入其它帮会。
7	10		帮会仓库有什么作用？	在三大主城，可以找到“帮会仓库管理员”，在帮会权限内可以共享帮会仓库中的各种材料、书籍等物品。
7	11		帮会仓库存储上限可以扩展吗？	目前帮会仓库有98格空间。暂时无法进行扩展仓库上限。
7	12		帮会天工树有什么作用？	帮主可以通过和三大主城的“帮会天工树总管”对话，缴纳一定金钱，来提升帮众人数上限。（最多200人），还可以开启帮会新头衔。
7	13		帮会如何加入阵营？	帮主和三大主城内的“帮会阵营总管”对话，选择要加入的阵营即可。
7	14		恶人谷帮会能否加中立玩家进入帮会？	恶人谷帮会可以招收中立玩家进入帮会。但是不能招收浩气盟阵营的玩家。
7	15		中立帮会能够加入浩气盟和恶人谷阵营玩家？	不能，中立帮会只能招收中立玩家。
7	16		备注是什么？	帮会界面中的备注，玩家可以自行编辑，类似个人签名。帮主和有权利的官员可以修改。
8	0	武林秘境(副本)		
8	1		武林秘境中可以获得什么？	武林秘境是获得武器装备的重要途径，同时稀有材料、秘籍、各种声望、帮贡的重要来源。在秘境中通过打怪还能获得阅历和金钱。
8	2		目前有多少种秘境?	秘境分为双人秘境、普通秘境、高级秘境、团队秘境4种。4个双人秘境，10个普通秘境，9个高级秘境，4个团队秘境。
8	3		进入秘境有什么要求？	进入秘境有等级要求，只有角色达到允许进入的等级时，才可成功进入秘境。并且由于秘境里面的怪物难度要大于野外的怪物，所以进去秘境最好组队，并且比较好的队伍配置是：有T、治疗和DPS。
8	4		如何查看秘境位置？	使用快捷键“m”，选择进入世界地图就可以找到秘境入口的位置了。
8	5		双人秘境如何进入？	等级达到10级，点击游戏右下角“秘境队伍招募”图标，在二人秘境界面选择“个人排队”或“队伍排队”，即可。“队伍排队”必须是2人组队的情况。
8	6		双人秘境有进入的次数限制吗？	没有次数限制。
8	7		队伍排队的时候为什么无法进入双人秘境？	队伍排队的时候，队员双方必须在同一地图。
8	8		能否选择指定双人秘境进入？	双人秘境是随机进入不同的秘境。无法自己选择。
8	9		双人秘境获得的虎贲佩有什么用处？	虎贲佩可以在三大主城的“战场物资商”处购买增加各种声望的道具以及宝箱。
8	10		普通秘境有进入次数限制吗？	有次数限制，凌霄峡、天工坊、无盐岛、空雾峰、三才阵、剑冢每天可以进入20次。荻花宫、日轮山城、天子峰、稻香村每天可以进入5次。
8	11		普通秘境入口NPC给的任务道具有什么作用？（例如：藏剑令）	这些道具可以在秘境的最后首领打完后，进行召唤隐藏首领。一个秘境只能召唤一次。
8	12		重置秘境有什么作用？	当您打完某个秘境后，想连续打这个秘境的时候，就可以使用重置秘境的功能。您可以点击右上角小地图傍边的山洞图标即可看见重置按钮。既可以重置单独一个秘境，也可以重置所有秘境。此功能仅限普通秘境，其他秘境无法使用。
8	13		多少级可以进入高级秘境？	等级达到70级就可进入高级秘境。
8	14		高级秘境有进入的次数限制吗？重置时间是多久？	高级秘境一天只能进入一次，重置时间是每天早上7点。
8	15		高级秘境入口和普通秘境是一样的吗？	高级秘境的入口和普通秘境的入口是一样的，但是需要鼠标右键点击自己角色图标，将秘境难度调整为高级方可进入。
8	16		团队秘境的的重置时间是多久？	秘境的重置时间可以点击右上角小地图旁边的山洞图标，然后选择团队界面，就可以看到重置时间了。10人普通战宝的重置时间为3天，10人单BOSS的重置时间为4天，25人英雄战宝的重置时间为7天。 
8	17		团队秘境中的装备牌子有什么用？	团队秘境中首领掉落的装备牌子可以到各个门派NPC处兑换对应的装备。
8	18		荻花宫的神秘卷轴有什么用？如何使用？	神秘卷轴可以用来开启隐藏首领“沙利亚”。
9	0	声望		
9	1		什么是声望？	声望是一种增加玩家与各种势力（包括城市、门派和江湖势力）亲密度的系统，声望每提升到一个新的等级，您都将得到一些特殊的好处。
9	2		如何查看自己的声望？	按C键可以打开角色界面，然后点击“声望”面板即可查看。
9	3		声望有多少个等级？	目前游戏开放了仇恨、敌视、疏远、中立、友好、亲密、敬重、尊敬几个声望等级。
9	4		剑网3目前的声望有哪些？	目前剑三势力声望分为城市声望，门派声望，江湖势力声望，阵营声望等几种。\n城市声望分为长安，洛阳，扬州三大主城声望。\n门派声望分为纯阳，万花，七秀，少林，天策，藏剑等六个门派声望。\n江湖势力声望分为隐元会，长歌门，东篱寨，南洋商会，镖局联盟，红衣教等六个江湖势力声望。\n阵营声望分为浩气盟，恶人谷两个阵营声望。
9	5		三大主城声望如何获得？	升级过程中，有不少任务会奖励三大主城的声望。\n击杀指定地图的怪物也可以增加主城声望，但是当声望达到亲密后就无法再获得声望了。（长安声望需要击杀枫华谷天一教，洛阳声望需要击杀洛道红衣教，扬州声望需要击杀寇岛倭寇。）\n等级50级后，可以在三大主城NPC处接取日常任务来提高声望。当声望达到敬重后，就无法再接取。
9	6		门派声望如何获得？	在升级过程中通过完成门派的任务可以获得门派声望。同时6大门派的门派普通秘境和英雄秘境中，击杀小怪和首领都可以获得门派声望。\n秘境门口会有一些重复任务，完成后，可以获得增加声望的道具，使用后可以增加门派声望。
9	7		各个江湖势力声望的日常任务在哪里做？	隐元会声望日常在瞿塘峡的孤山集接取。\n东篱寨声望日常在瞿塘峡江流集接取。\n长歌门声望日常可以到龙门荒漠的龙门客栈接取。\n南洋商会声望可以到瞿塘峡的卧虎滩接取任务。
9	8		获得声望的其他途径？	兑换书籍和二人副本。
9	9		如何降低声望？	玩家可以通过击杀势力NPC降低该势力的声望。阵营玩家在完成本阵营声望任务的同时，也可能会降低敌对阵营的声望。
9	10		声望有什么作用？	声望达到一定的等级，可以在特定NPC处购买声望物品。但是声望不能直接用于购买物品，在满足声望等级的前提下，可以使用金钱购买相应势力的物品。例如：装备、配方、挂件等。
9	11		声望物品在哪里购买？	声望物品在各大势力声望商处购买，其中三大城市声望商分别在各个主城，各大门派声望商在各大门派处，其余各势力都在三大主城，阵营声望商在三大主城和该阵营地图内。其中镖局联盟的乙字声望商在洛阳。声望商具体坐标可以对话卫兵询问。
10	0	阅读		
10	1		书籍颜色是代表什么意思？阅读书籍有什么奖励？	书籍分为 白色品质，绿色品质，蓝色品质三种。也分绑定和不绑定的。\n 白色品质书籍有可能阅读经验，杂集，道学，佛学经验，有的白色品质的可以获得价格不菲的金银叶子。\n 绿色品质的书籍有可能获得10分钟的双倍阅历BUFF，或者直接获得定额的阅历，还有机会可以恢复一定的精力或体力。\n 蓝色品质的书籍有机会获得秘籍，修为或者配方图样。
10	2		书籍能够有什么用途？	阅读书籍除了可以获得奖励外，集齐一套书籍可以到三大主城的书籍商人处兑换秘籍、挂件、趣味道具以及声望奖励等。
10	3		书籍的获得途径有哪些？	任务奖励，游戏内的部分任务完成后会给予书籍奖励。\n 教书先生、书商或者是特殊商人处购买\n声望奖励购买，当某个地区或势力的声望达到一定程度，可以到声望商人处购买\n打怪掉落，在野外地图打人形怪会有一定几率掉落书籍。\n抄录碑文。\n玩家交换。\n开宝箱获得，70级日常任务、团队秘境会获得一些宝箱，通过钥匙开启可以随机获得书籍。
10	4		如何提高阅读等级？	通过阅读书籍，可以增加阅读的等级，建议阅读等级差距5级以内的书。还有部分书籍可以获得阅读经验。（阅读是会消耗精力的）
10	5		如何进行抄录书籍？	使用快捷键J，打开阅读界面。选择你要抄录的书籍，然后在阅读界面下方会有抄录所需要的工具，工具准备完毕后，点击抄录即可。工具齐全显示白色，工具缺乏的显示红色。
10	6		抄录书籍的材料如何获得？	书商和杂货商处会出售毛笔和抄录所欲要的纸墨，但是特殊书籍的抄录可能需要一些特殊的材料如浣花笺、朱砂墨等，这些材料只能通过打怪来获得。
10	7		抄录书籍的冷却时间是什么？	绿色品质的书籍和蓝色品质的书籍进行抄录后会有一定的冷却时间，在冷却时间内不能进行抄录。冷却时间可以在阅读界面，点击书籍后，在书籍信息中看到。
10	8		阅读界面中的搜索功能有什么作用？如何使用？	阅读界面中的搜索功能，能够帮助您快速的找到某本书，只要在阅读界面的搜索栏处输入书籍的名字进行查找即可。
10	9		任务给的书籍丢掉了怎么办？	如果任务奖励的书籍丢掉了，是无法通过玩家之间的交换获得的，因为抄录出来的书籍也是绑定的，开宝箱可以有一定几率获得，但是几率比较小。所以建议大家一定要小心。
10	10		书籍上显示“绑定可出售”是什么意思？	是指书籍是绑定不可交易的，但是可以出售给NPC。还有部分书籍是不能交易也不能出售的，例如太公家教第一章。
10	11		70—74级的书籍如何获得？	70级—74级的书籍主要来源于阵营和门派的首领，以及英雄战宝等首领。书籍也是绑定的。
10	12		阅读的字体太小了，可以调整吗？	系统设置中，选择“界面设置”，可以在“基础设置”栏选择文字缩放。这样游戏中的字体大小都会有所调整。
10	13		碑铭是什么？如何抄录碑铭？	在游戏中，可以在野外看到一些可有文字的石碑，可以进行抄录石碑上的碑文，这就是碑铭。\n 遇见碑铭后，将鼠标移至石碑上，屏幕的右下方就会出现碑文的名字、等级、所需要抄录的工具材料，备齐相应工具，就可以使用鼠标右键开始抄录了。
10	14		抄录碑铭需要多久的冷却时间？	根据碑铭上书的品质不同，会有不同的冷却时间，具体的时间可以将鼠标移至碑铭上，在屏幕右下方的详细信息处查看。
10	15		阅读书籍获得的双倍经验BUFF能够持续多久？	阅读获得的双倍经验BUFF的持续时间为10分钟。
10	16		阅读升级是否需要和人物等级同步?	阅读升级和任务等级不一定需要保持同步，但是建议在阅读等级落后的时候，可以去打适合当前阅读等级的人形怪，使用这些书籍提高阅读等级。因为阅读等级落后会导致部分任务给的书籍奖励无法阅读而占背包空间
11	0	科举考试		
11	1		科举考试分为那几个部分？	科举考试分为省试和会试两个部分，可以理解为初试和复试。
11	2		考试有多少种题目类型？	目前科举考试的题目有单选题、多选题、判断题、填空题、图片题、排序题六种类型。
11	3		多少级可以参加科举考试？	等级10级以上的玩家即可参加。
11	4		省试考试什么时候开始？	准备时间是每周一的19:00~20:00\n正式考试时间是每周一20:00~周五24:00
11	5		省试有考试范围吗？在哪里查看？	可以在考试前，在三个新手镇的“省试主考官”处查看。
11	6		如果考试范围的书没有读，怎么办？	不用担心，你可以在三个新手镇的“省试主考官”，使用一定的金钱和监本印文即可购买。
11	7		监本印文是什么？怎么获得？有什么用？	监本印文是参加省试考试的奖励，只要参加省试，并完成题目交给考官，在查询自己的成绩的时候就可以获得“监本印文”了。\n监本印文可以在三个新手镇的“省试主考官”处购买考试的书籍。
11	8		什么时候可以查询省试成绩？	在上交试卷后便可以查看到自己的考试成绩了。
11	9		省试可以获得哪些奖励?	省试考试除了有机会获得会试资格外，还可以获得监本印文用于购买书籍。\n省试考试满分可以获得2个青铜宝箱和2个声望道具。\n及格奖励是可以获得1个青铜宝箱和1个声望道具。
11	10		参加会试的条件？	省试考试80分以上，并且阅读过全套省试考试书籍的玩家便可参加。
11	11		如果省试达到80分后再读书，是否能够参加会试？	考试分数 80分以上的只要在规定时间内读完书籍，就可以参加阅读资格。
11	12		会试考试是什么时候开始？	会试考试是每周六晚上20:00~22:00举行。
11	13		会试的地点是在哪里？	会试的地点是在三大主城（洛阳、长安、扬州），找到“会试主考官”即可。
11	14		会试行文是什么？有使用时间限制吗？	参加省试后，得分80分，并且阅读了全部套书的玩家可以获得会试行文，需要凭借会试行文才能兑换会试考卷。会试行文必须要在本周内使用。
11	15		什么时候可以查询会试成绩？查询的NPC在哪里？	每周日中午12:00，在洛阳的会试考场处找“吏部御史”查询。
11	16		会试成绩是如何计算排名的？	会试成绩只会取前10名，是在答题正确率的基础上，再按照交卷时间进行计算的。
11	17		会试前10名能够获得什么奖励？在哪里领取?	会试前10名的玩家可以获得3个精铁宝箱、3个大的声望道具以及特殊称号。
11	18		没有进入前10名能够获得奖励吗？	可以获得奖励。会试满分可以获得3个锡制宝箱和3个大声望道具。\n80~99分可以获得2个锡制宝箱和2个大声望道具。\n60~79分可以获得1个锡制宝箱和1个大声望道具。
11	19		奖励领取有时间限制吗？	会试奖励必须在周一晚上18:00之前领取。
12	0	阵营战阶		
12	1		什么是战阶积分？	战阶积分是玩家参与阵营活动所获得的一种分数，体现一周内参加阵营活动的活跃程度。
12	2		战阶积分有什么用？	战阶积分是获取阵营战阶的依据，根据玩家战阶积分的多少决定其战阶。
12	3		战阶积分如何获得？	参与阵营活动即可获得战阶积分，包括：杀敌对阵营的玩家和首领、参加战场、完成阵营日常任务等。具体查看：http://jx3.xoyo.com/zt/2010/10/27/1034/yx.shtml。
12	4		什么是战阶？	战阶是玩家在本阵营内的一个等级，是对其在PVP方面努力程度的一种体现和奖励。战阶与战阶积分是两个不同的概念。
12	5		战阶如何获得？	通过每周参与阵营活动，获得战阶积分后，根据积分多少决定是否有资格获得战阶，获得哪级战阶。
12	6		获得战阶的好处是什么？	获得战阶，是对阵营玩家自身努力的一种承认。同时战阶也是购买阵营PVP装备的一种资格，越高的战阶能买越高品质和属性的装备。战阶还能获得战阶称号，8-14级高阶战阶称号在装备时还附带强力PVP属性。
12	7		战阶如何升级？	每周一早7点，会统计玩家上周所获得的战阶积分，并进行其阵营内的排名。根据排名高低，决定玩家战阶升级的程度。
12	8		如何知道我战阶积分的排名？	官方会针对玩家战阶积分进行排名，但是不会全部公布。玩家可以在每周四通过隐元秘鉴查看上周服务器战阶积分最高的前10名玩家。同时，后期会在官网开放每个阵营前10名战阶积分排名。注：游戏内隐元秘鉴的战阶积分前十名是两个阵营一起统计的，而官网是分别查找各个两个阵营每周前十的角色。
12	9		多久才能获得一次战阶？	战阶是每周一进行更新，统计上周获得的战阶情况，同时上周的战阶积分会被清零。
12	10		听说每周一我的战阶都会被清零，那战阶岂不是每周一都要从头开始？	并不是的，由于每周一统计战阶，判断玩家是否获得新战阶时，只清零玩家上周的战阶积分，已获得的战阶保留。例如：本周获得了6000分，满足升到第三级战阶要求，则下周获得第三级战阶，同时6000分清零。
12	11		战阶是否会降级？	所有级别战阶均只升不降。获得任何一级战阶，即使之后不再参与阵营活动，也能保持当前战阶。
12	12		我这周获得了10000战阶积分，下周一战阶积分更新的时候，我的战阶是几级？	这将根据你所处的阵营、战阶积分在阵营内的排名，以及你上周的战阶等级进行判断。根据参考分数线，10000战阶积分可以在你当前的战阶等级基础上提升两级。如果你的战阶积分排名很靠前，可能提升超过两级。如果你现在的战阶级别很高，也有可能不提升。
