MapID	ClassID	MinLevel	FitMinLevel	FitMaxLevel	Layer3Name	OtherName	VersionName	EnterWay	BossInfo	Introduction	Tutorial	HelpImage	HelpText
53	4	10	10	70	邀星坪	二人副本	风起稻香	\n　　在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中。\n		<text>text="\\\n　　东瀛的一刀流忍者四处挑战中原武林人士，而且往往是锁定挑战目标之后聚众呼啸而来，以偷袭群殴等手段得手之后再逃遁。他们喜欢在作案地点点亮孔明灯，以暗号的形式通知同伴，但是这种暗号代表的具体含义目前并不为人所知。所以中原侠士们目前要做的就是用火箭尽快破坏对方的暗号，阻止他们的阴谋得逞。\\\n" font=162</text>	<text>text="\\\n　　侠士们进入秘境后有一定的准备时间，可到NPC“滕晋中”处与其对话拿取物品“长弓”和“摘星弓”，这两样物品都是用来击落“孔明灯”的。游戏正式开始后，会进入倒计时的状态，天空中便开始出现“孔明灯”，并且只能用弓才可击落。击落“孔明灯”可获得分数，积累的分数越高，结束时可获得的奖励也越多。\\\n" font=162</text>	ui/Image/Helper/twoman_help1.tga	<text>text="玩法简介" font=163</text><text>text="\\\n　　进入秘境后您会有一定的准备时间，可先到NPC“滕晋中”处与其对话拿取物品“竹叶镖”和“摘星弓”，这两样物品是用来击落“孔明灯”的。游戏正式开始后，会进入倒计时的状态，天空中便随机出现“孔明灯”，并且只能用弓才可击落。您必须在灯落地之前击落才可获得积分。不同大小和颜色的“孔明灯”下落的速度和可获得分数均不一样。最后积累的分数越高，结束时可获得的奖励也越多。\\\n\\\n" font=162</text><text>text="左图中各类孔明灯说明：" font=163</text><text>text="\\\n\\\n" font=162</text><text>text="编号1：" font=163</text><text>text="白色小孔明灯，下落速度非常慢。\\\n" font=162</text><text>text="编号2：" font=163</text><text>text="紫色大孔明灯，下落速度较快。\\\n" font=162</text><text>text="编号3：" font=163</text><text>text="紫色小孔明灯，下落速度慢。\\\n" font=162</text><text>text="编号4：" font=163</text><text>text="红色大孔明灯，下落速度快。\\\n" font=162</text><text>text="编号5：" font=163</text><text>text="红色小孔明灯，下落速度很快。\\\n" font=162</text><text>text="编号6：" font=163</text><text>text="白色大孔明灯，下落速度非常快。" font=162</text>
55	4	10	10	70	守株围场	二人副本	风起稻香	\n　　在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中。\n		<text>text="\\\n　　天策府自创立以来便在府中设立围猎大赛以锻炼驭射之术，磨砺军魂，可非本门之人无可尝试。太宗皇帝知晓后，特敕命天策兴建向公众开放的围猎场所，以强健唐人体魄，文明唐人精神。守株围场便是其中之一。围场内不但有各类野兽，以供射猎，更有和风薰人，怡然的景色，但凡对狩猎有心之人皆可参与其中。\\\n" font=162</text>	<text>text="\\\n　　进入秘境后，各位侠士可先在营地内的弓箭架上获得“弓”和“陷阱”，这些物品可以对围场中的猎物起到伤害和定身的效果。侠士们本身的招式是无法对猎物造成伤害的。游戏正式开始后，便进入倒计时的状态，剩余时间可在屏幕的右上角看到。在限定时间里，侠士们需要尽可能多地杀死围场中的猎物，杀死不同种的猎物可获得不同的分数，积累的分数越高在结束时可获得的奖励也越多。还等什么呢，来感受一下围场狩猎的畅快吧。\\\n" font=162</text>	ui/Image/Helper/twoman_help3.tga	<text>text="玩法简介" font=163</text><text>text="\\\n　　进入秘境后，各位侠士可先在" font=162</text><text>text="左图所示营地内的弓箭架上获得“弓”和“陷阱”" font=166</text><text>text="，这些物品可以对围场中的猎物起到伤害和定身的效果,侠士们本身的招式是无法对猎物造成伤害的。也可到NPC“周正虎”处领取“猎人的心得”状态，可抵挡3次伤害。游戏正式开始后，便进入倒计时的状态，剩余时间可在屏幕的右上角看到。在限定时间里，侠士们需要尽可能多地杀死围场中的猎物，杀死不同种的猎物可获得不同的分数，积累的分数越高在结束时可获得的奖励也越多。\\\n　　在狩猎过程中，如果“陷阱”用完，可寻找“蒋戈”和“朱锦春”进行领取，这两个NPC是随机出现是围场中的，需要您寻找一下。还等什么呢，来感受一下围场狩猎的畅快吧。" font=162</text>
56	4	10	10	70	困龙岭	二人副本	风起稻香	\n　　在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中。\n		<text>text="\\\n　　江湖侠盗玉面飞狐，受丐帮长老所托，前去困龙岭寻找当年枫华谷大战的秘密。期间受到神秘势力的追杀，身负重伤。当她赶到困龙岭的时候因为伤势严重已经无力再从梅花阵中拿取那份秘密，于是她便托付各路英雄豪杰前来帮她进入困龙岭梅花桩，获取秘密。\\\n" font=162</text>	<text>text="\\\n　　进入秘境后，您有一定的准备时间，可在“玉面飞狐”处接到“困龙升天”任务，她会告诉您事情的前因后果及简要的玩法。\\\n　　游戏开始后，可与同伴兵分两路，从不同的方向向高处进军。途中会有上古龙之精气凝聚，能够帮您轻身提纵，收集的精气越多，您获得的积分也越高，但切记不可贪多冒进，一步一营方为正途。\\\n　　且困龙岭每隔一段时间都会有一次精气爆发，空中会有精气团凝聚降落，侠士们可通过拾取这些精气团来获得高额的积分，但这些精气不能长存，若想获得请尽快赶往。\\\n　　秘境道具说明：\\\n　　１.“挪移”可使您在二次提纵后进行第三次提纵，同时还能够略微提升您的滞空能力。\\\n　　２.“腾”可提升您的滞空能力，增加您滑翔的时间。\\\n　　３.“瞬”可增加您的移动速度及略微提高您的滞空能力。\\\n　　４.“翔”可使您身轻如燕跳的更高，比之“扶摇直上”及“梯云纵”更胜一筹。\\\n　　５.“币”可使您获得“币”状态，状态层数的不同获得道具时可获得不同倍数的积分。\\\n　　６.特殊的精气灵物，每获得一次便获得一重精气，叠加至四重时便会随机获得一种轻功能力，且您的同伴也会受益。同时还可重置身上“币”的状态，有效的利用好它，能够让您更加轻松。　\\\n" font=162</text>	ui/Image/Helper/twoman_help2.tga	<text>text="玩法简介" font=163</text><text>text="\\\n　　进入秘境后，您可在“玉面飞狐”处接到“困龙升天”任务，可得知事情的前因后果及玩法。\\\n　　游戏过程中，您需要拾取途中的各类精气团，帮助您轻身提纵及获得积分。且困龙岭每隔一段时间都会有高额积分的精气团出现，您可前往拾取。\\\n\\\n" font=162</text><text>text="左图中各类精气团说明：" font=163</text><text>text="\\\n\\\n" font=162</text><text>text="编号1：" font=163</text><text>text="“币”可使您获得“币”状态，状态层数的不同获得道具时可获得不同倍数的积分。\\\n" font=162</text><text>text="编号2：" font=163</text><text>text="“挪”可使您在二次提纵后进行第三次提纵，同时还能够略微提升您的滞空能力。　　\\\n" font=162</text><text>text="编号3：" font=163</text><text>text="“腾”可提升您的滞空能力，增加您滑翔的时间。\\\n" font=162</text><text>text="编号4：" font=163</text><text>text="“瞬”可增加您的移动速度及略微提高您的滞空能力。\\\n" font=162</text><text>text="编号5：" font=163</text><text>text="“翔”可使您身轻如燕跳的更高，比之“扶摇直上”及“梯云纵”更胜一筹。\\\n" font=162</text><text>text="编号6：" font=163</text><text>text="特殊的精气灵物，每获得一次便获得一重精气，叠加至四重时便会随机获得一种轻功能力，且您的同伴也会受益。同时还可重置身上“币”的状态，有效的利用好它，能够让您更加轻松。" font=162</text>
57	4	10	10	70	陷空坳	二人副本	风起稻香	\n　　在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中。\n		<text>text="\\\n　　江湖传闻，前朝宇文家族早有叛乱自立之心，他们搜刮了大量的民脂民膏，最后将宝藏存放在中华各处，以备将来起事之用。只是当年隋朝灭亡得太过迅速，宇文家族的知情人尚且来不及动用那些宝藏就身死乱军之中。\\\n　　虽然从来没有人真正见过宇文家的宝藏，但是它仍然引得无数江湖儿女趋之若鹜，传说宝藏中不仅仅有着富可敌国的钱财，更有着武林人士梦寐以求的武功秘笈和五行石。就连宇文家的后裔，也一直在苦苦追寻着宝藏所在。\\\n" font=162</text>	<text>text="\\\n　　此秘境内机关重重，除了有陷阱触发的机关会引出各种毒虫怪物之外，还有一个作为总机关的藏宝棺木，一旦触发此机关则其它可能藏有宝藏的棺木会尽数爆毁。进入秘境后，侠士们会有90秒的准备时间。游戏正式开始后，将进入5分钟的倒计时状态，剩余时间和所获得的积分均可在屏幕右上角查看。\\\n　　您有以下两条获得奖励的途径：\\\n　　１.在准备时间内，可到秘境门口的接引人“欧阳巡”处接取任务“九九归一”，他会告诉您破解九宫迷墓的方法。破解之前，您要先向“欧阳巡”索要“" font=162</text><text>text="九宫格" font=166</text><text>text="”和“" font=162</text><text>text="九宫位数" font=166</text><text>text="”。成功破解后，便可获得“藏宝棺木”的所在位置。按照自身的能力来选择打开藏宝棺材的时机，击杀毒虫怪物获得奖励。喜欢开动脑筋的侠士可选择此方法。\\\n　　２.不做任务，凭借自身运气来打开秘境内的棺木，杀死毒虫怪物获得奖励。当然，若是一不小心第一次就触发了总机关，那么很可能会空手而归，所以请谨慎选择。喜欢刺激及冒险的侠士可选择此方法。\\\n　　侠士们在陷空坳开启藏宝棺木的过程中会遇到很多的怪物毒虫甚至是巨大的机甲和毒人；运气极佳的话也有可能直接获得“虎贲佩”这种珍宝。同时里面的毒虫怪物防御极高时，要想办法尽快杀死它们，建议您事先在“欧阳巡”处拿到“" font=162</text><text>text="鹧鸪弓" font=166</text><text>text="”，并且从陷空坳内的“弹药罐”中获得特制的弹药和能够迟滞敌人的“凝肌散”。“弹药罐”通常散落在秘境入口附近和棺木附近。\\\n　　游戏结束后，侠士们可在弹出的积分界面中看到自身及同伴获得的积分和奖励。\\\n　　如果在限定时间尚未结束，便已无可击碎的棺木时，侠士们可前往“欧阳巡”处要求关闭秘境。\\\n" font=162</text>	ui/Image/Helper/twoman_help4.tga	<text>text="玩法简介" font=163</text><text>text="\\\n" font=162</text><text>text="　　" font=163</text><text>text="进入秘境后，您会有90秒的准备时间。您可在准备时间内，" font=162</text><text>text="到左图所示位置的NPC“欧阳巡”处接取任务“九九归一”" font=166</text><text>text="，他会告诉您破解九宫迷墓的方法。破解之前，您还需先向“欧阳巡”索要“九宫格”和“九宫位数”。成功破解后，便可获得“藏宝棺木”的所在位置。按照自身的能力来选择打开藏宝棺材的时机，击杀毒虫怪物获得奖励。或者您也可以凭借自身运气来打开秘境内的棺木，杀死毒虫怪物获得奖励。当然，若是一不小心第一次就触发了总机关，那么很可能会空手而归，所以请谨慎选择。\\\n　　侠士们在陷空坳开启藏宝棺木的过程中会遇到很多的怪物毒虫甚至是巨大的机甲和毒人。运气极佳的话也有可能直接获得“虎贲佩”这种珍宝。同时里面的毒虫怪物防御极高时，要想办法尽快杀死它们，建议您事先在“欧阳巡”处拿到“鹧鸪弓”，并且从陷空坳内的“弹药罐”中获得特制的弹药和能够迟滞敌人的“凝肌散”。“弹药罐”通常散落在秘境入口附近和棺木附近。　　" font=162</text>
60	3	70	70	70	10人普通	持国天王殿	风起稻香	少林西北角，灵霄峡左侧，打开少林地图可查看到	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>			
61	3	70	70	70	10人普通	宫中神武遗迹	风起稻香	寇岛日轮山城码头，与船夫“足利义满”对话选择“送我去10人宫中神武遗迹”选项进入。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>			
62	2	70	70	70	5人英雄	剑冢	风起稻香	藏剑剑冢	叶凌烈 叶无心 叶火汐 叶昊天 叶金素 叶冬辰 叶秋池	<text>text="  剑冢意为埋剑之地。当年藏剑山庄第一代庄主叶孟秋将毕生所炼之剑埋于古剑庐，是为“剑冢”。\\\n\\\n秘境掉落：\\\n　　可获得" font=162</text><text>text="136-142品质" font=102</text><text>text="蓝色装备，并有一定几率可获得" font=162</text><text>text="130-136品质的紫色武器" font=102</text><text>text="。\\\n\\\n" font=162</text>			
63	3	70	70	70	25人英雄	宫中神武遗迹	风起稻香	寇岛日轮山城码头，与船夫“足利义满”对话选择“送我去25人宫中神武遗迹”选项，并且将秘境模式更改为“高级”。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>			
64	3	70	70	70	25人普通	宫中神武遗迹	风起稻香	寇岛日轮山城码头，与船夫“足利义满”对话并选择“送我去25人宫中神武遗迹”选项进入。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立 一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>			
65	3	70	70	70	25人普通	持国天王殿	风起稻香	少林西北角，灵霄峡左侧，打开少林地图可查看到	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>			
66	3	70	70	70	25人英雄	持国天王殿	风起稻香	少林西北角，灵霄峡左侧，打开少林地图可查看到，进入需先更换秘境难度为“高级”。	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>			
67	3	70	70	70	10人普通	荻花宫后山	风起稻香	枫华谷南，打开枫华谷地图可查看到	水烟 罗索斯 提坦德亚罗 牡丹	<text>text="红衣奸邪心怀不轨，荻花后山意欲葬龙。红衣教主阿萨辛派出精锐手下驻守荻花宫后山，意图复活沙利亚，并对被俘虏的皇室后裔进行调教，希望从内部入手，使大唐皇族分崩离析。" font=162</text>			
68	3	80	80	80	10人普通	荻花圣殿	巴蜀风云	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>			
69	3	80	80	80	10人英雄	荻花圣殿	巴蜀风云	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>			
70	3	80	80	80	25人普通	荻花圣殿	巴蜀风云	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>			
71	1	72	75	80	5人普通	仙踪林	巴蜀风云	五毒中部	塔纳刀王 女祭司水云 苏髓	<text>text="五仙潭里塔纳横行，善意曲云举步维艰。" font=162</text>			
72	3	80	80	80	25人英雄	荻花圣殿	巴蜀风云	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>			
73	3	70	70	70	10人英雄	荻花宫后山	风起稻香	枫华谷南，打开枫华谷地图可查看到	水烟 罗索斯 提坦德亚罗 牡丹	<text>text="红衣奸邪心怀不轨，荻花后山意欲葬龙。红衣教主阿萨辛派出精锐手下驻守荻花宫后山，意图复活沙利亚，并对被俘虏的皇室后裔进行调教，希望从内部入手，使大唐皇族分崩离析。" font=162</text>			
75	1	76	79	80	5人普通	毒神殿	巴蜀风云	黑龙沼西部	塔丹茂伯 鲍穆侠 大巫医乌灵风	<text>text="小邪忘情毒神现世，仗义穆侠舍身救人。" font=162</text>			
106	1	70	72	80	5人普通	法王窟	巴蜀风云	白龙口东	青翼蝠王 白眉鼠王 智慧王	<text>text="明教余孽死心不息，法王秘窟浩气长空。" font=162</text>			
107	1	70	73	80	5人普通	无量宫	巴蜀风云	无量山西北	桃谷六仙 濯尘 神算多多	<text>text="无量宫中红衣肆虐，神算蒙尘妖花盛开。" font=162</text>			
109	3	80	80	80	10人普通	龙渊泽	巴蜀风云	成都东南角，雾霞林右侧，打开成都地图可查看到	辽东双煞 南诏双雄	<text>text="龙渊泽内激战连绵，挫败巨擘功成名就。天南王家派出高手，在龙渊泽内摆设生死擂台，意欲从此选出部分真正能为自己所用之人，顺便淘汰一些实力不足或不愿为其效力的中原侠士。" font=162</text>			
110	1	75	77	80	5人普通	寂灭厅	巴蜀风云	融天岭东	藏·剑邪鸠 剑心 摩提耶罗	<text>text="寂灭菩提勾结南诏，剑心冲霄手刃番僧。" font=162</text>			
111	2	80	80	80	5人英雄	仙踪林	巴蜀风云	五毒中部	塔纳刀王 女祭司水云 苏髓	<text>text="五仙潭里塔纳横行，善意曲云举步维艰。" font=162</text>			
112	2	80	80	80	5人英雄	毒神殿	巴蜀风云	黑龙沼西部	塔丹茂伯 鲍穆侠 大巫医乌灵风	<text>text="小邪忘情毒神现世，仗义穆侠舍身救人。" font=162</text>			
113	2	80	80	80	5人英雄	寂灭厅	巴蜀风云	融天岭东	藏·剑邪鸠 剑心 摩提耶罗	<text>text="寂灭菩提勾结南诏，剑心冲霄手刃番僧。" font=162</text>			
114	2	80	80	80	5人英雄	无量宫	巴蜀风云	无量山西北	桃谷六仙 濯尘 神算多多	<text>text="无量宫中红衣肆虐，神算蒙尘妖花盛开。" font=162</text>			
115	2	80	80	80	5人英雄	法王窟	巴蜀风云	白龙口东	青翼蝠王 白眉鼠王 智慧王	<text>text="明教余孽死心不息，法王秘窟浩气长空。" font=162</text>			
116	1	20	22	25	20级5人普通	仙踪林	巴蜀风云	五毒中部	塔纳刀王 女祭司水云 苏髓	<text>text="五仙潭里塔纳横行，善意曲云举步维艰。" font=162</text>			
117	3	80	80	80	25人英雄	龙渊泽	巴蜀风云	成都东南角，雾霞林右侧，打开成都地图可查看到	辽东双煞 南诏双雄	<text>text="龙渊泽内激战连绵，挫败巨擘功成名就。天南王家派出高手，在龙渊泽内摆设生死擂台，意欲从此选出部分真正能为自己所用之人，顺便淘汰一些实力不足或不愿为其效力的中原侠士。" font=162</text>			
