TabID	Name	Title	Image1	Note1	Image2	Note2	Image3	Note3	Description
30	介绍	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\文字20级.tga						策马江湖：\n        策马扬鞭江湖行，漫漫旅途中最贴心的伙伴莫过于一匹你专属的宝马良驹。\n        加入门派的侠士可至门派武学训练师处学习骑术，而未加入门派的大侠可到新手镇的武学训练师处习得骑术。
31	介绍	恭喜你达到12级，现在你可以修习经脉了。	ui\Image\Helper\经脉40.tga						经脉：\n       经脉者，能决生死、祛百病、调虚实，经脉大成者武功自会步入深不可测之化境。\n       经脉取奇经八脉中的任、督、带、冲四大主脉为本，靠打通各脉络中的穴位成就经脉大成。任脉为基础脉络，督脉为辅助脉络，带脉和冲脉则分别提高外功和内功能力。\n       经脉界面<P ChannelsPanel>
35	介绍	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\文字60级.tga						阵营：\n        江湖险恶，正邪之分自古难以言说，唯有浩气盟与恶人谷群豪并起，各霸一方，静候天下热血英雄！
36	加入藏剑	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\藏剑接引.tga	1.通过与新手镇的藏剑接引人对话，可以被送至藏剑码头。\n藏剑接引人 <L 69>\n需在新手镇才可查看位置。	ui\Image\Helper\藏剑门主.tga	2.在藏剑山庄找到叶晖，就可以加入藏剑了。\n藏剑 叶晖 <L 70>			藏剑：\n　　藏剑武学因为受到西湖天然山水的熏陶，所以形成轻盈若水的快剑和稳重若山的重剑两派。快剑矫若游龙，翩若飞鸿，身影穿梭间伤人于无形。而重剑则气势磅礴，雷霆万钧，力量爆发之时万夫不当。
37	藏剑骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\藏剑马商位置.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n藏剑马商位置 <L 71>\n	ui\Image\Helper\藏剑马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
38	介绍	恭喜你达到30级，现在你可以进入武林秘境了。	ui\Image\Helper\文字30级.TGA						武林秘境：\n        乃江湖中人鲜少进入之绝境，一般地处地理险要之地，易守难攻。其中多为势力教派的聚集之地。
39	二人秘境	恭喜你达到30级，现在你可以进入武林秘境了。	ui\Image\Helper\双人秘境.tga	二人秘境需要通过“秘境队伍招募”界面排队进入，可在右边的菜单栏中找到“秘境队伍招募”的图标按钮。左键点击打开，选择“二人秘境”后进行“个人排队”或是“队伍排队”即可。	ui\Image\Helper\双人秘境奖励.tga	在“秘境队伍招募”界面中您可直接看到二人秘境的奖励，此奖励会随获得的秘境积分而变化。			二人秘境：\n        等级大于等于10级的侠士便可进入二人秘境，最多只能两个人组队进入。此秘境的玩法颇不同于其他秘境。在轻松欢快的游戏同时亦可获得阅历、帮贡、金钱及虎贲佩等丰厚的奖励，可谓是在紧张的江湖生活之余的好去处。
40	普通秘境	恭喜你达到30级，现在你可以进入武林秘境了。	ui\Image\Helper\普通秘境.tga	打开世界地图便可看到许多颜色呈灰色的地方，便是秘境所在，鼠标移上去便可看到相关的信息。	ui\Image\Helper\空雾峰.tga	点开秘境对应的地图，便可看到秘境的入口，形状为白色展开卷轴状，只要等级符合便可进入秘境。(以纯阳空雾峰为例)			普通秘境\n        秘境之中难度相对比较低。在角色到达70级的过程当中，都有对应的普通秘境可挑战。可谓是获得装备、阅历、材料的好去处。
41	高级秘境	恭喜你达到30级，现在你可以进入武林秘境了。	ui\Image\Helper\角色等级70.tga	1.角色达到70级时才可进入高级秘境。	ui\Image\Helper\头像选择高级.tga	2.右键点击自身头像，选择其中的“武林秘境难度”选项，勾选“高级”。			高级秘境：\n        进入高级秘境必须具备一定的条件，高级秘境只有70级的侠士才可进入，同时需要在头像右键菜单里选择秘境难度为“高级”便可。高级秘境在难度上难于普通秘境，更加考验5人小队的配合度。同时您也可以通过挑战首领来获得更高品质的装备和其他物品。
42	团队秘境	恭喜你达到30级，现在你可以进入武林秘境了。	ui\Image\Helper\团队秘境位置.tga	团队秘境分为10人与25人模式，目前有三个：“战宝迦兰”、“宫中神武遗迹”和“持国天王殿”。分别地处洛阳城东南、寇岛和少林。	ui\Image\Helper\团队秘境NPC.tga	接取“阳宝哥”和“道海”给予的任务可顺利挑战战宝和持国天王殿；而与寇岛船夫“足利义满”对话方可进入“宫中神武遗迹”。			团队秘境\n        团队秘境分为10人团队秘境与25人团队秘境。为所有秘境中难度最大，首领最为厉害，同时也是奖励最丰厚的秘境。团队秘境需要多小队通力合作，配合默契才可通关。\n\n阳宝哥<L 75>\n足利义满<L 76>\n道海<L 77>
43	介绍	角色七十级后，装备获得途径	ui\Image\Helper\70级提示.tga						装备：\n      江湖之中，高手如云，想要成为一代高手除了要有精湛的操作，一身好装备也是必不可少的一部分。70级满级后，可通过挑战秘境、战场、声望换购、生活技艺等途径来提升装备的品质和属性。\n      70级后最先可挑战的秘境便是以下五门派英雄秘境：\n      英雄天地三才阵     英雄空雾峰\n      英雄天工坊            英雄灵霄峡\n      英雄无盐岛
44	秘境类	角色七十级后，装备获得途径	ui\Image\Helper\普通秘境.tga	挑战秘境首领可获得较好的装备，随着秘境的难度增大则掉落装备的品质越好。目前以英雄战宝迦兰掉落的装备为最。	ui\Image\Helper\帮贡物资商.tga	在三大主城的乙、丙、丁帮贡物资商处可换购到110、120、130品质的装备。			秘境类装备：\n       通过挑战秘境可获得各种品质的装备，要求越高的秘境能够获得装备也越好。70级秘境中属五门派英雄秘境最易，其次为四大野外英雄秘境、再次是普通团队秘境、最后就是英雄团队秘境。您可以循序渐进、逐步提高。
45	竞技类	角色七十级后，装备获得途径	ui\Image\Helper\恶人谷声望军需.tga	恶人谷侠士可到恶人谷烈风寨中的声望商人和军需官处购买声望和威望装备，可询问卫兵获得具体位置。	ui\Image\Helper\浩气盟声望军需.tga	浩气盟侠士可到浩气盟落雁城东北方的声望商人和军需官处购买声望和威望装备，可询问卫兵获得具体位置。			竞技向装备：\n       喜欢与他人切磋、竞技的侠士，可通过购买阵营声望装备和阵营威望装备来提升自身的战斗力，前提是您必须事先加入阵营才可。或者您也可以通过打战场获得的威望来换购需要的装备。
46	休闲类	角色七十级后，装备获得途径	ui\Image\Helper\三大新手镇.tga	三大新手镇均有各类生活技艺训练师，询问卫兵便可获知具体位置。生活技艺需要循序而进，不可一蹴而就。	ui\Image\Helper\声望商.tga	在城市的甲字与乙字声望商处可购买到装备和生活技艺配方。			休闲向装备：\n       不喜欢挑战秘境，也不喜欢与人争斗的侠士，依然可通过自己的努力来得到适合自身的装备。练就一身生活技艺的好手艺，不仅可以为自己打造一身装备，还能生产很多有用的物品。除了可以通过生活技艺获得装备外，还可通过提高三大主城的声望，到城市声望商处购买有用的装备和配方。
47	秘境套装	角色七十级后，装备获得途径	ui\Image\Helper\七秀治疗剑茗.tga	七秀门派治疗套装（高级团队秘境部分套装展示）	ui\Image\Helper\天策剑茗.tga	天策门派防御套装（高级团队秘境部分套装展示）	ui\Image\Helper\纯阳剑茗.tga	纯阳门派紫霞功内功套装（高级团队秘境部分套装展示）	
48	阵营套装	角色七十级后，装备获得途径	ui\Image\Helper\浩气阵营.tga	纯阳太虚剑意内功浩气盟阵营威望套装	ui\Image\Helper\恶人谷套装.tga	万花花间游内功恶人谷阵营威望套装	ui\Image\Helper\浩气阵营装2.tga	少林洗髓经内功浩气盟阵营威望套装	
49	介绍	七生七世情不断 游情游义话七夕	ui\Image\Helper\2011七夕.tga						      七夕，这个甜蜜的日子，若能与心爱之人执手共聚，自然是锦上添花。若不能也不必感慨。《剑网3》早已为侠士们准备了一场活动盛宴。\n       活动时间：即日起-2011.8.18早7点\n       活动地点：四大主城活动区\n       活动奖励：220品紫色连理枝腰坠、22格背包、海誓山盟、金鹊翎、大量修为、阅历、金钱等。\n       活动难度：最多五人便可轻松获得奖励。
50	连理枝	比翼双飞闯天下，侠侣喜得连理枝	ui\Image\Helper\连理枝腰坠2.tga	220品质紫色外功连理枝腰坠。	ui\Image\Helper\连理枝腰坠1.tga	220品质紫色内功连理枝腰坠。更多腰坠可至主城活动区“若初”处查看。			连理枝：\n       活动期间，各位侠士可在主城活动区找到“贺兰枫”接取“七夕兰枫情意浓”系列任务，其中“海誓山盟”任务中，侠士们需要使用【姻缘草】跟好感度三重及以上的好友结连理。经历了所有浪漫的爱情任务考验后，便可在“若初”处领取腰坠兑换道具【连理枝】了。
51	节日任务	节日任务	ui\Image\Helper\七夕贺兰枫.tga	四大主城活动区NPC“贺兰枫”会给予侠士们任务，完成后可获的丰厚奖励。	ui\Image\Helper\智尊宝.tga	活动期间，20级及以上的侠士们可在四大主城活动区的“智尊宝“处接取“深情厚谊不相忘”任务。完成后将获得“天下有情人”成就奖励。			寂寞七夕敖嗟叹 秘境深处藏奇人\n      活动期间内，各位侠士可收到以白帝城总管的名义发来的信件，请各位侠士协助进入秘境解救30个人质，成功击杀秘境首领后，需开启首领附近的宝箱，方可成功解救人质。\n      成功解救人质后，可获得【掉落的包裹】，开启后随机可获得以下奖励：大量阅历、大量金钱、修为、青铜钥匙、锡制钥匙、精铁钥匙。\n       每个箱子需要3个队友轮流操作。方可开启。因此至少需要3人组队进入秘境方可成功解救人质。每个侠士每日有10次开箱子的机会。
53	节日物品	节日物品	ui\Image\Helper\山盟海誓.tga	【海誓山盟】可对心上人使用，使用后会在世界公告，并放出绚丽的效果。	ui\Image\Helper\七夕物品.tga	姻缘草：可与好感度三重以上的好友结连理，是获得连理枝腰坠的必需之物。\n金鹊翎：换取【海誓山盟】必备之物。\n鹊翎：20级以上人形怪掉落，可兑换【金鹊翎】。	ui\Image\Helper\七夕若初.tga	侠士们可在四大主城活动区的“若初”处，兑换连理枝腰坠及节日特色物品。	
56	小窍门	恭喜你达到12级，现在你可以修习经脉了！	ui\Image\Helper\奇穴崇骨.tga	侠士们可通过提升等级，完成任务来获得经脉修为。当满级后，可通过门派打坐、传功、完成80级的4个日常任务来获得大量的修为值。	ui\Image\Helper\洗筋伐脉.tga	如果将修为错投了穴位，可到门派武学训练师处重置，只需交付一定的费用便可。			小窍门：\n       1、经脉穴位打通几率均为100%\n       2、如果投错了穴位，可到武学训练师处洗筋伐脉，且不会有任何修为的损失。\n       3、第一次点奇穴，需先连通此奇穴相关联的所有脉络穴位，但不需将穴位重数点到最高。\n       4、洗筋伐脉后,可直接点奇穴。
57	介绍		ui\Image\Helper\活动.TGA						全新团队秘境即将陆续开放!\n25人宫中神武遗迹！25人持国天王殿！神秘的荻花圣殿秘境群！\n侠客们将迎来更为丰富，更具挑战的战斗。为让大家得到更多的能力提升途径，更好体验新内容，特开放本次活动：\n活动时间：8月28日--9月20日\n活动内容：1、挑战秘境可得九花玉露丸、五铢钱。2、觅宝会出售四类大幅提高能力物品，挑战战宝更加爽快。3、10人秘境首领掉落“紫陨”可用于换购“剑茗”套装。（紫陨可永久获得）
58	活动物品		ui\Image\Helper\公测活动道具.tga	此四类物品可在战宝或英雄战宝中大幅提升能力，挑战首领时将更加轻松。	ui\Image\Helper\王雪儿.tga	“王雪儿”处可购买到增加能力的物品。\n长安王雪儿<L 83>       洛阳王雪儿<L 80>\n扬州王雪儿<L 86>			       觅宝会地字掌柜“王雪儿”处出售四类紫色增强能力的物品，物品效果只在指定秘境和活动期间才可起效。购买需“五铢钱”。五铢钱可通过挖宝、挑战秘境首领获得，并且至少与一个玩家组队秘境首领才会掉落，每多一个好友或是帮众则可多获得一个，最多可获得两个。
59	神物紫陨		ui\Image\Helper\紫陨.tga	挑战10人团队秘境可获得“紫陨”，积累一定的数量后可到套装物资商处换购“剑茗”套装。	ui\Image\Helper\剑茗套装商人.tga	拥有足够的“紫陨”后，便可到门派“套装物资商”处换购了。			    纯阳套装物资商<L 88>\n\n    天策套装物资商<L 89>\n\n    七秀套装物资商<L 87>\n\n    万花套装物资商<L 90>\n\n    少林套装物资商<L 91>\n\n    藏剑套装物资商<L 92>
60	充值活动		ui\Image\Helper\充值葫芦.tga	活动时间：8月28日-10月11日。\n充值累计达到或超过60元但不足120元时，可领取腰部挂件“六阳葫芦”、“暖羽”和背部挂件“剑归”、“鳍趣”及挂件包。	ui\Image\Helper\充值马具.tga	充值累计达到或超过120元时，可领取“六阳葫芦”、“暖羽”、“剑归”、“鳍趣”及“战魂”马具一套。	ui\Image\Helper\充值背部.tga	背部挂件“剑归”和“鳍趣”。	
61	介绍		ui\Image\Helper\活动.TGA						全新团队秘境即将陆续开放!\n25人宫中神武遗迹！25人持国天王殿！神秘的荻花圣殿秘境群！\n侠客们将迎来更为丰富，更具挑战的战斗。为让大家得到更多的能力提升途径，更好体验新内容，特开放本次活动：\n活动内容：1、挑战秘境可得九花玉露丸、五铢钱。2、觅宝会出售四类大幅提高能力物品，挑战战宝更加爽快。3、10人秘境首领掉落“紫陨”可用于换购“剑茗”套装。（紫陨可永久获得）
62	活动物品		ui\Image\Helper\公测活动道具.tga	此四类物品可在战宝或英雄战宝中大幅提升能力，挑战首领时将更加轻松。	ui\Image\Helper\王雪儿.tga	“王雪儿”处可购买到增加能力的物品。\n长安王雪儿<L 83>       洛阳王雪儿<L 80>\n扬州王雪儿<L 86>			       觅宝会地字掌柜“王雪儿”处出售四类紫色增强能力的物品，物品效果只在指定秘境和活动期间才可起效。购买需“五铢钱”。五铢钱可通过挖宝、挑战秘境首领获得，并且至少与一个玩家组队秘境首领才会掉落，每多一个好友或是帮众则可多获得一个，最多可获得两个。
63	神物紫陨		ui\Image\Helper\紫陨.tga	挑战10人团队秘境可获得“紫陨”，积累一定的数量后可到套装物资商处换购“剑茗”套装。	ui\Image\Helper\剑茗套装商人.tga	拥有足够的“紫陨”后，便可到门派“套装物资商”处换购了。			    纯阳套装物资商<L 88>\n\n    天策套装物资商<L 89>\n\n    七秀套装物资商<L 87>\n\n    万花套装物资商<L 90>\n\n    少林套装物资商<L 91>\n\n    藏剑套装物资商<L 92>
64	介绍		ui\Image\Helper\中秋广告.tga						       一年一度中秋佳节又来到了！节日期间，《剑网3》为侠士们准备了各种富含中华传统的文化任务，极具趣味的物品、各色彩灯和戒指附魔物品，奖励多多，不容错过！\n       活动时间：即日起-2011.9.23\n       参与条件：20级及以上的侠士。\n       活动任务指引人：四大主城活动区节日大使。\n       活动奖励：戒指附魔物品、各色烟花彩灯、各种月饼及各种中秋商店出售的宴席等物品。
65	节日任务		ui\Image\Helper\2011中秋节1.tga	长安城和成都城节日NPC所在位置，可接取节日任务和购买节日物品。	ui\Image\Helper\2011中秋节2.tga	洛阳城和扬州城节日NPC所在位置，可接取节日任务和购买节日物品。			月圆佳节福利多，欢欢喜喜闹中秋\n      中秋节又称“团圆节”，在这欢乐喜庆的节日里，丘怀和丘石现身四大主城，请求江湖义士帮些小忙，并且还为各位侠士准备了多种节日礼品哦！\n      此外，隐元会为感谢侠士们的支持，在此中秋佳节之际，特别为侠士准备了一份薄礼，聊表心意。侠士们可在信使处领取礼物。
71	介绍		ui\Image\Helper\中秋.tga						       一年一度中秋佳节又来到了！节日期间，《剑网3》为侠士们准备了各种富含中华传统的文化任务，极具趣味的物品、挂件和月夕佳话书籍，奖励多多，不容错过！\n       活动时间：2010.9.20-2010.9.27\n       活动任务指引人：节日大使\n       长安节日大使<L 81>\n       洛阳节日大使<L 78>\n       扬州节日大使<L 84>\n       活动奖励：吉庆赏钱、团圆宴、贵妃宴、万寿宴及各种中秋商店出售物品。
72	节日任务		ui\Image\Helper\中秋节长安.tga	长安城节日NPC所在位置，可接取节日任务和购买节日物品。	ui\Image\Helper\中秋节洛阳.tga	洛阳城节日NPC所在位置，可接取节日任务和购买节日物品。	ui\Image\Helper\中秋节扬州.tga	扬州城节日NPC所在位置，可接取节日任务和购买节日物品。	
73	趣味物品		ui\Image\Helper\鱼戏莲花灯.tga	“鱼戏莲花灯”中秋特有物品，花前月下必备之物。	ui\Image\Helper\戏火.tga	“戏火”开启中秋礼盒有几率获得，使用可使口中喷火。	ui\Image\Helper\望乡.tga	挂件“望乡”开启中秋礼盒有几率获得。	
74	节日商店		ui\Image\Helper\丘石.tga	长安丘石<L 94>\n洛阳丘石<L 96>\n扬州丘石<L 98>	ui\Image\Helper\中秋商店1.tga	丘石处出售中秋套书，各种烟花及物品，需要准备足够的“吉庆赏钱”哦。	ui\Image\Helper\中秋商店2.tga	中秋特有物品“鱼戏莲花灯”和称号。	
