ID	Activity	TimeRepresent	Class	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText
31	战场-云湖天池	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		10人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间8分钟" font=168</text><text>text="\\\n        1、满80级的恶人谷玩家能参与刀宗排队，浩气盟玩家能参与昆仑排队。双方人数均达到7人才可正常开启战场。\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcyunhu1.tga	ui\Image\Active\zcyunhu2.tga				
32	冬至活动	每年的冬至日前后开放	1	20~80;	1:100;3:100;4:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="长安、洛阳、扬州" font=18</text>	<text>text="        各种PVE、PVP装备。" font=18</text>	<text>text="        " font=18</text><text>text="每日参与预计所需时间30分钟" font=168</text><text>text="\\\n        1、抛掷彩球意传情，福禄寿囍百味灵。神秘机甲战傲油，御厨套装有派头。\\\n        2、205品紫色PVE御厨套装，230品紫色跋山涉水御厨套装，205品紫色PVP装备，230品紫色PVP装备。" font=18</text>	3		2	ui\Image\Active\dongzhi1.tga	ui\Image\Active\dongzhi1.tga				
33	春节活动	每年的春节前开放，直至元宵后结束。	1	20~80;	3:100;4:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="      " font=168</text><text>text="长安" font=168 link="NPCGuide/222"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/212"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/245"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/261"</text>	<box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 8, 4828, 1)\"</box><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 6055, 1)\"</box><text>text=" " font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 11653, 1)\"</box><text>text=" " font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 8, 4829, 1)\"</box><text>text=" " font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 8, 60, 1)\"</box><text>text=" " font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 8, 58, 1)\"</box>	<text>text="     预计参与所需总时间为60分钟" font=168</text><text>text="\\\n     1、20级以上的玩家每日可前往各主城活动区参与春节活动\\\n     2、玩家可通过接取春节期间的活动任务获取红包，春节节日商人处正在售卖小金锤，玩家购买后用小金锤砸碎年兽陶罐可获得丰厚奖励" font=18</text>	3		3	ui\Image\Active\chunjie1.tga	ui\Image\Active\chunjie2.tga	1			<text>text="         参与春节活动可获得的奖励有：" font=167</text><text>text="辰龙" font=80 link="ItemLinkInfo/5/11655"</text><text>text="红包" font=77 link="ItemLinkInfo/5/6055"</text>
34	端午节活动	每年的端午前后开放。	1	20~80;		3	1	ui\Image\Helper\Help—Bg.UITex	53	0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="各种特色粽子，保管你吃好喝好。" font=18</text>	<text>text="知天达命神算子，山珍不如亲耕种" font=18</text>	3								
35	科举-省试	周一晚上20点至周五晚上24点	3	10~80;	6:100;7:100;	1				1		个人参与	<text>text="        可前往" font=18</text><text>text="长安章仲" font=168 link="NPCGuide/178"</text><text>text="、" font=18</text><text>text="洛阳刘惟微" font=168 link="NPCGuide/177"</text><text>text="、" font=18</text><text>text="扬州梅翥" font=168 link="NPCGuide/176"</text><text>text="处参与考试" font=18</text>	<text>text="        根据不同的分数奖励不同数量的" font=198</text><text>text="青铜宝箱" font=198 link="ItemLinkInfo/5/6253"</text><text>text="，" font=198</text><text>text="监本印文" font=198 link="ItemLinkInfo/5/6258"</text><text>text="，" font=198</text><text>text="翰林玉签·月" font=198 link="ItemLinkInfo/5/6338"</text>	<text>text="        预计所需时间5分钟" font=168</text><text>text="\\\n        1、省试作为初级考试，10级以上玩家均可参加。\\\n        2、本轮省试达一定分数并已全部读过本轮省试命题的全套书籍，即可获得晋级会试的邀请函" font=18</text>	3								
36	科举-会试	每周六晚上20点至周日晚上24点	3	10~80;	6:100;7:100;	5				1		获得会试资格的玩家可参与	<text>text="        " font=202</text><text>text="有资格的玩家可前往" font=18</text><text>text="洛阳" font=168 link="NPCGuide/162"</text><text>text="、" font=18</text><text>text="长安" font=168 link="NPCGuide/161"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/163"</text><text>text="、" font=18</text><text>text="成都" font=101</text><text>text="考试区域的主考官处参与考试" font=18</text>	<text>text="        根据不同的分值，可获得" font=198</text><text>text="精铁宝箱" font=198 link="ItemLinkInfo/5/6255"</text><text>text="，" font=198</text><text>text="锡制宝箱" font=198 link="ItemLinkInfo/5/6254"</text><text>text="，" font=198</text><text>text="监本印文" font=198 link="ItemLinkInfo/5/6258"</text><text>text="，" font=198</text><text>text="翰林玉签·日" font=198 link="ItemLinkInfo/5/6346"</text>	<text>text="       预计所需时间5分钟" font=168</text><text>text="\\\n        1、经过省试获得会试资格的玩家可参与\\\n        2、按不同的分值，可获得精铁宝箱，锡制宝箱，30个监本印文，声望道具中的部分物品\\\n        3、会试前10名将在周日12点揭晓，奖励3个精铁宝箱，3个“翰林玉签·日”，“秀才”称号\\\n        4、 上榜玩家需在下周一18点之前前往主考大人处领取奖励，过期视为放弃奖品。" font=18</text>	3	30;0;	2	ui\Image\Active\kjhuishi1.tga	ui\Image\Active\kjhuishi2.tga				
37	科举-放榜	周一早7点至18点	3	10~80;	776					1		全民可查看，会试前10名的玩家可领奖	<text>text="洛阳主城内考试区域" font=18</text>	<text>text="会试第1-10名奖励：统一奖励3个精铁宝箱；大声望道具“翰林玉签·日”3个；“秀才”称号" font=18</text>	<text>text="主考大人官务繁忙，物品只存在到周一晚上18：00，如若过时不领，皆视为放弃奖品" font=18</text>	3			ui\Image\Active\kjfangbang1.tga	ui\Image\Active\kjfangbang2.tga				
41	阵营攻防战	每周六、周日的13：00~15：00、19：00~21:00	4	80;	82	5	0			1		大规模野外战斗	<text>text="        " font=202</text><text>text="浩气盟（周六）、恶人谷（周日）" font=18</text>	<text>text="        150金、1个" font=198</text><text>text="精铁宝箱" font=198 link="ItemLinkInfo/5/6255"</text><text>text="、5000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、500点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="         预计所需时间30分钟" font=168</text><text>text=" \\\n        1、每周六活动地图为浩气盟，每周日活动地图为恶人谷\\\n        2、进入当日活动地图可自动接取任务\\\n        3、攻防战期间活动地图击杀获得战阶积分不衰减\\\n        4、击杀对立阵营首领越多下周威望获取获得加速越快，最多可加速20%" font=18</text>	3	30;0;	1	ui\Image\Active\gongfang1.tga	ui\Image\Active\gongfang2.tga				
42	中秋活动	每年的中秋前后开放	1	20~80;	5633	3	1	ui\Image\Helper\Help—Bg.UITex	50	0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="各种美味的月饼，可送朋友可自食，同时记得给守卫门送去一些" font=18</text>	3								
43	六一儿童节活动	每年的六一儿童节开放，持续一周。	1	20~80;		3	1	ui\Image\Helper\Help—Bg.UITex	70	0		全民参与	<text>text="长安、扬州、洛阳、成都" font=18</text>	<text>text="22格爱心包包" font=18</text>	<text>text="蛋叉叔叔准备了丰厚的礼品，打算送给有志于助幼儿成长的侠客，在主城活动区，期待侠士们的到来。" font=18</text>	3								
44	战场-云湖天池	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		10人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间8分钟" font=168</text><text>text="\\\n        1、满80级的恶人谷玩家能参与刀宗排队，浩气盟玩家能参与昆仑排队。双方人数均达到7人才可正常开启战场。\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcyunhu1.tga	ui\Image\Active\zcyunhu2.tga				
45	逐鹿赛隐藏父活动		4	70;	8	0	0			1			<text>text="扬州，长安擂台" font=18</text>		<text>text="11111" font=18</text>	3								
46	帮会擂台逐鹿赛	每个月第一周的周一到周四，晚上8:30—10:30	4	70;		3			50	1		个人比武	<text>text="        浩气盟玩家可前往" font=18</text><text>text="扬州王露儿" font=168 link="NPCGuide/121"</text><text>text="处报名参赛；恶人谷玩家可前往" font=18</text><text>text="长安马婧" font=168 link="NPCGuide/122"</text><text>text="处报名参赛" font=18</text>	<text>text="        " font=198</text><text>text="人气投票赛晋级资格" font=198 link="TongActivity/2/5/0"</text>	<text>text="        1、 每月第一周，逐鹿帖使用排名前32位的选手，从周一到周四将进行代表帮会的擂台赛\\\n        2、浩气盟和恶人谷的比赛在不同地点同时进行\\\n        3、4天逐鹿赛共有4名浩气盟侠士和4名恶人谷侠士晋级到" font=18</text><text>text="人气投票赛" font=18 link="TongActivity/2/5/0"</text>	3								
49	争霸赛隐藏父活动		4	1;	0	0	0			4						3								
50	帮会擂台争霸赛	每月第二周的周一到周四，8:30—10:30	4	70;		3	0			1		个人比武	<text>text="        扬州，长安擂台" font=18</text>		<text>text="        每月第二周，使用争霸帖报名的玩家，从周一到周四将进行代表各自帮会的擂台赛。" font=18</text>	3								
51	帮会擂台决赛人气投票	每月第二周周四晚上10:30到每月第三周周五早上7:00	4	20~80;	4:100;	3	0			2		人气投票	<text>text="        点击" font=18</text><text>text="擂台界面的投票分页" font=18 link="TongActivity/2/5/0"</text><text>text="下的月度竞猜按钮进行投票" font=18</text>	<text>text="        竞投的玩家获得擂台赛冠军，则自己可获得海量不占周上限的" font=198</text><text>text="帮贡" font=198 link="Library/17/1/0"</text>	<text>text="        预计所需时间5分钟" font=168</text><text>text="\\\n        1、每月第三周，对有资格竞技帮会擂台赛决赛的选手进行投票\\\n        2、得票最多的8位选手将获得最后进入决赛的资格" font=18</text>	3								
52	下月帮会擂台报名	每月第三周周一到周日	4	1~80;	0	3	0			2			<text>text="不限" font=18</text>		<text>text="每月第三周，拥有争霸帖的玩家可以直接使用报名参加下月的帮会擂台赛。拥有逐鹿帖的玩家也可以使用帖子预报名。最后使用帖子最多的前32个玩家可以获得下月比赛资格。" font=18</text>	3								
53	下月逐鹿帖争夺赛		4	1;	0	0	0			4						3								
54	帮会擂台决赛隐藏父活动		4	1;	0	0	0			4						3								
55	帮会擂台决赛	每月第四周周一到周四，晚上8:30-10:30	4	1~80;	4:100;8:100;	3	0			1		个人比武	<text>text="有资格的玩家可前往" font=18</text><text>text="扬州擂台周明蒙" font=168 link="NPCGuide/126"</text><text>text="处参赛" font=18</text>	<text>text="特殊属性称号、海量帮会发展点、高额帮会资金" font=18</text>	<text>text="每月第四周，晋级决赛的选手进行积分循环赛。最后积分最高的浩气盟选手和恶人谷选手各一名可以获得参与周五总决赛的资格。" font=18</text>	3								
56	帮会擂台总决赛	每月第四周周五晚上8:30-9:30	4	1~80;		5	0			4			<text>text="        有参赛资格的玩家可前往" font=18</text><text>text="扬州擂台报名人" font=168 link="NPCGuide/126"</text><text>text="处参赛" font=18</text>	<text>text="        " font=202</text><text>text="帮会发展点、帮会资金、" font=198</text><text>text="帮贡" font=198 link="Library/17/1/0"</text><text>text="、世界唯一特殊属性称号" font=198</text>	<text>text="        预计所需时间15分钟 " font=168</text><text>text=" \\\n        1、冠军获得【天下无敌】称号，亚军获得【称雄江湖】称号\\\n        2、冠军所在帮会将获得极大提高帮会发展点和资金的奖励\\\n        3、冠军可在城市门口树立自己雕像，持续一年\\\n        4、竞投玩家猜对冠军，可获得海量不站周上限的帮贡。未猜中仍可获得16000点不站周上限的帮贡" font=18</text>	3	30;0;		ui\Image\Active\leitai1.tga	ui\Image\Active\leitai2.tga				
58	春节活动抽奖	每年的春节开放，至元宵后结束。	1	20~80;		3	1	ui\Image\Helper\Help—Bg.UITex	51	0		全民参与	<text>text="长安、洛阳、扬州" font=18</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="砸年兽、放花灯、寻宝藏，红包多多热热闹闹过大年" font=18</text>	3								
59	清明节活动	每年的清明节气左右开启。	1	20~80;	1:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	75	0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="侠义值" font=18 link="Library/17/2/0"</text><text>text="、" font=18</text><text>text="监本印文" font=18 link="Library/17/5/0"</text><text>text="、250品戒指。" font=18</text>	<text>text="醉酒戏猿度寒日，游郊祭扫怀故人。" font=18</text>	3								
61	擂台赛周一清除记录		4	1;	0	0	0			4					<text>text="用于每个赛季周一专门清除记录" font=18</text>	3								
62	擂台赛系统发票		4	1;	0	0	0			4					<text>text="4月专门发票设定" font=18</text>	3								
63	擂台赛第二周分组		4	1;	0	0	0			4					<text>text="擂台赛第二周分组" font=18</text>	3								
64	总决赛隐藏父活动		4	1;	0	0	0			4					<text>text="父活动持续7天，其中遇到周五，就触发子活动" font=18</text>	3								
69	十大推荐帮会更新		3	10~80;		0	0			4		个人难度	<text>text="长安、洛阳、扬州" font=18</text>	<text>text="无" font=18</text>	<text>text="更新十大推荐帮会信息" font=18</text>	3								
70	战场日-神农洇	本战场日的12点~24点开放	4	80;	2:100;3:100;6:100;	2				1		15人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，浩气盟（恶人谷）声望" font=198</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="     \\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到10人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3								
71	战场日-九宫棋谷	本战场日的12点~24点开放	4	80;	2:100;3:100;	2	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        1、满80级的浩气盟、恶人谷玩家可组队或个人参与。浩气盟玩家只能代表孤山集，恶人谷玩家只能代表江流集，不限门派，自由组合。双方人数均达到17人才可正常开启战场，时限18分钟\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3								
72	战场日-云湖天池	本战场日的12点~24点开放	4	80;	2:100;3:100;	2	0			1		10人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        1、满80级的恶人谷玩家能参与刀宗排队，浩气盟玩家能参与昆仑排队。双方人数均达到7人才可正常开启战场。\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3								
