LinkID	MapID	NpcID	Kind	x	y	z	NpcName
48	5	2703	少林马商	7196	13465	1048925	高赞
49	2	102	万花马商	44991	39578	1116515	苏难行
50	16	2649	七秀马商	26657	69636	1057493	镜璇
51	7	763	纯阳马商	45253	29567	1147361	燕小霞
52	11	1746	天策马商	42322	52979	1058489	毛四
53	8	5742	洛阳刀宗接引	16825	81583	1063491	云湖天池战场接引人
54	8	5097	洛阳跨服战场报名区域	15747	81621	1063579	云湖天池战场接引人
55	8	827	洛阳刀宗声望商	13705	82816	1062719	堀北明
56	8	4673	洛阳昆仑声望商	18371	82091	1062730	利智垣
57	6	5742	扬州刀宗接引	86304	74651	1054909	云湖天池战场接引人
58	6	5097	扬州跨服战场报名区域	87380	74672	1054909	云湖天池战场接引人
59	6	827	扬州刀宗声望商	89281	73569	1054147	堀北明
60	6	4673	扬州昆仑声望商	84797	73210	1054148	利智垣
61	15	5742	长安刀宗接引	56544	99124	1063593	云湖天池战场接引人
62	15	5097	长安跨服战场报名区域	57047	97516	1063664	云湖天池战场接引人
63	15	827	长安刀宗声望商	56862	99125	1063593	堀北明
64	15	4673	长安昆仑声望商	56182	97379	1063649	利智垣
65	8	6081	洛阳莫杀	30143	81619	1054990	莫杀
66	15	6069	长安平素素	40272	94109	1061636	平素素
67	25	5144	浩气盟天歌道长	45562	56790	1064443	天歌道长
68	27	4781	恶人谷大头	39509	15921	1057667	大头
69	6	7279	扬州新手藏剑接引	44891	30941	1049600	藏剑老者
69	8	7279	洛阳新手藏剑接引	55758	22437	1080704	藏剑老者
69	15	7279	长安新手藏剑接引	33533	43910	1061056	藏剑老者
70	49	6628	藏剑入门	78522	72617	1118214	叶晖
71	49	7055	藏剑马商	63686	60837	1112850	叶宝驹
72	8	3784	洛阳甲字声望商	30885	86680	1060251	紫庄
73	15	3732	长安甲字声望商	55165	102917	1063675	韦临
74	6	3879	扬州甲字声望商				贺功强
75	8	813	洛阳阳宝哥	55846	23734	1081540	阳宝哥
76	10	7247	寇岛足利义满				足利义满
77	60	7312	达摩洞道海	28382	3335	1316241	道海
78	8	7589	洛阳节日大使	28629	75933	1055808	洛阳节日大使
79	8	7534	洛阳智尊宝	27768	90352	1060160	洛阳智尊宝
80	8	7164	洛阳王雪儿	30692	85474	1060110	洛阳王雪儿
81	15	7572	长安节日大使	47210	93987	1061696	长安节日大使
82	15	7534	长安智尊宝	54496	92638	1061696	长安智尊宝
83	15	7164	长安王雪儿	56595	104026	1065823	长安王雪儿
84	6	7590	扬州节日大使	68379	52537	1056384	扬州节日大使
85	6	7534	扬州智尊宝	70801	45553	1052160	扬州智尊宝
86	6	7164	扬州王雪儿	66161	67159	1053325	扬州王雪儿
87	16	7698	七秀叶紫衣	16299	14317	1076160	七秀叶紫衣
88	7	7696	纯阳李灵霄	31461	16792	1157760	纯阳李灵霄
89	11	7700	天策杨立欣	58576	24969	1070336	天策杨立欣
90	2	7697	万花西门雪	46029	46629	1162176	万花西门雪
91	5	7701	少林道天常	40744	45277	1122432	少林道天常
92	49	7699	藏剑叶珍	72572	85013	1115392	藏剑叶珍
93	15	6271	长安丘怀	55801	93797	1061696	长安丘怀
94	15	6274	长安丘石	55805	93639	1061696	长安丘石
95	8	6274	洛阳丘石	28975	90341	1060160	洛阳丘石
96	8	6271	洛阳丘怀	28781	90341	1060160	洛阳丘怀
97	6	6271	扬州丘怀	70997	46688	1052160	扬州丘怀
98	6	6274	扬州丘石	70971	46447	1052160	扬州丘石
99	27	8132	恶人谷董海健	51642	69366	1114151	恶人谷董海健
100	25	8131	浩气王雨瑶	49542	40396	1125670	浩气王雨瑶
101	6	7820	扬州玄字陆捌	92735	68463	1058990	扬州玄字陆捌
101	8	7820	洛阳玄字陆捌	13721	85986	1064851	洛阳玄字陆捌
101	15	7820	长安玄字陆捌	56564	99611	1063851	长安玄字陆捌
102	6	1349	扬州玄字伍叁	92576	68439	1058991	扬州玄字伍叁
102	8	1349	洛阳玄字伍叁	13566	86110	1064851	洛阳玄字伍叁
102	15	1349	长安玄字伍叁	56690	99585	1063876	长安玄字伍叁
103	6	7821	扬州李守财	92443	68448	1058991	扬州李守财
103	8	7821	洛阳李守财	13416	85990	1064851	洛阳李守财
103	15	7821	长安李守财	56811	99614	1063826	长安李守财
104	6	13800	扬州新手少林接引	43934	32490	1049600	五毒长老
104	8	13800	洛阳新手少林接引	54910	21090	1080768	五毒长老
104	15	13800	长安新手少林接引	35331	44610	1061888	五毒长老
105	102	9340	五毒入门	34400	63970	1059592	艾黎
106	102	7055	五毒马商	24859	60750	1053632	苗小封
107	102	9331	五毒掌门	16865	90831	1075342	曲云
108	2	96	万花掌门	52406	39717	1244632	东方宇轩
109	5	640	少林掌门	45455	65287	1131136	玄正
110	49	6627	藏剑叶英	74917	63941	11150008	叶英
111	7	737	纯阳卓凤鸣	11416	7960	1171423	卓凤鸣
112	7	713	纯阳于睿	24896	12581	1159080	于睿
113	2	100	万花僧一行	48784	44309	1134441	僧一行
114	11	1646	天策曹雪阳	61521	18458	1052204	曹雪阳
115	11	1640	天策杨宁	54046	18465	1052204	杨宁
116	5	557	少林慧海	37256	40127	1122420	慧海
117	49	6632	藏剑叶松贤	79327	73665	1118270	叶松贤
118	49	6631	藏剑叶子轩	77748	73644	1118270	叶子贤
119	6	8808	扬州曾鑫	53738	56644	1051785	曾鑫
119	8	8808	洛阳曾鑫	35704	85106	1057166	曾鑫
119	15	8808	长安曾鑫	41578	102735	1063664	曾鑫
120	6	4714	扬州玄字玖贰	93744	69268	1059323	玄字玖贰
120	8	4714	洛阳玄字玖贰	12554	86990	1064837	玄字玖贰
120	15	4714	长安玄字玖贰	57050	100661	1063628	玄字玖贰
120	108	4714	成都玄字玖贰	71065	70267	1074862	玄字玖贰
121	6	10212	扬州王露儿	53698	68372	1051840	王露儿
122	15	10697	长安马婧	59720	91438	1061440	马婧
123	6	10216	扬州余信鹏	53698	68372	1051840	余信鹏
124	15	10700	长安段小影	59720	91438	1061440	段小影
125	6	10416	扬州梅碧倪	49039	74710	1061440	梅碧倪
125	15	10416	长安梅碧倪	65853	93066	1061440	梅碧倪
126	6	10219	扬州周明蒙	53621	68328	1051840	周明蒙
127	74	77220	帮会关二爷	16860	10651	1105024	关二爷
128	74	7722	帮会邵卿城	16390	9523	1104280	邵卿城
129	74	9788	帮会家园李霖	9812	21364	1115271	李霖
130	74	9787	帮会家园郭语成				郭语成
131	74	10118	帮会家园祝宜枫	15896	12367	1104448	祝宜枫
132	74	7365	帮会韩荞生	24051	18844	1108525	韩荞生
133	74	7366	帮会黄剑翔	24203	18844	1108512	黄剑翔
134	6	10218	扬州卢荷泽	53621	68328	1051840	卢荷泽
135	15	10701	长安林荣晚	59686	91341	1061440	林荣晚
136	74	15178	帮会三石叔	16164	23037	1099940	三石叔
137	6	15902	扬州唐间竹	44997	34236	1049152	唐间竹
137	8	15902	洛阳唐间竹	52209	23285	1079488	唐间竹
137	15	15902	长安唐间竹	32970	44567	1060864	唐间竹
138	122	15203	唐老太太	68492	77856	1112403	唐老太太
139	122	15270	唐放	93678	71651	1072051	唐放
140	6	16134	扬州茶馆老板娘	62976	45981	1053421	赵云睿
141	15	16134	长安茶馆老板娘	49997	83065	1059891	赵云睿
142	108	16134	成都茶馆老板娘	74557	69105	1070738	赵云睿
143	8	16134	洛阳茶馆老板娘	33540	66286	1052058	赵云睿
144	35	15675	白帝城外务府总管	74389	65897	1169728	宫关
145	35	15730	瞿塘峡贾公	71259	64153	1169712	贾公
146	30	15926	昆仑浩气盟调度史	69244	27076		浩气盟调度使
147	30	16349	昆仑隐元会使者	56498	5013		隐元会使者
148	30	15927	昆仑恶人谷调度史	32896	71400		恶人谷调度使
149	22	15926	南屏山浩气盟调度史	23882	24709		浩气盟调度使
150	22	16349	南屏山隐元会使者	89873	72423		隐元会使者
151	22	15927	南屏山恶人谷调度史	31450	65336		恶人谷调度使
152	30	16132	昆仑浩气盟进攻首领	68505	27703		可人
153	30	16031	昆仑恶人谷战旗	33604	71489		恶人谷战旗
154	22	16133	南屏山恶人谷进攻首领	30878	64274		莫雨
155	22	16030	南屏山浩气盟战旗	22775	26784		浩气盟战旗
156	6	15363	扬州莫离裳	71148	46580		莫离裳
157	8	15363	洛阳莫离裳	27802	89302		莫离裳
158	15	15363	长安莫离裳	51949	91731		莫离裳
159	12	15363	隐元追缉令·枫华谷·莫离裳	7948	36858		莫离裳
160	108	15363	成都莫离裳	71729	66334		莫离裳
161	15	7008	长安省试主考官	48361	106700		姚崇
162	8	7009	洛阳省试主考官	29058	93644		宋璟
163	6	7010	扬州省试主考官	90059	69267		张九龄
164	108	5097	成都跨服战场报名区域	68939	60060	1074216	云湖天池战场接引人
165	104	12963	月玲珑	45144	119916	1062175	月玲珑
166	104	12964	火龙	54397	119347	1059510	火龙
167	15	869	长安贡献昭示牌	45446	92839	1061636	贡献昭示牌
168	8	869	洛阳贡献昭示牌	29541	80544	1053454	贡献昭示牌
169	6	869	扬州贡献昭示牌	68230	62932	1052941	贡献昭示牌
170	108	869	成都贡献昭示牌	70150	68193	1072653	贡献昭示牌
171	15	14211	长安战魂牌	45601	92301	1061838	战魂牌
172	8	14211	洛阳战魂牌	29402	80855	1053454	战魂牌
173	6	14211	扬州战魂牌	68555	62657	1052941	战魂牌
174	108	14211	成都战魂牌	70579	68183	1072653	战魂牌
175	101	7968	花祁山	107771	32552	1061424	花祈山
176	6	7025	扬州科举省试考官	43486	22689		梅翥
177	8	7026	洛阳科举省试考官	55970	27363		章仲
178	15	7027	长安科举省试考官	32094	50685		刘惟微
179	12	6610	枫华谷孟康	77189	62393		孟康
180	9	6612	洛道林云冲	62075	64919		沐云冲
181	10	5843	濯垢奇蛛	37481	82307		濯垢奇蛛
182	13	5968	猿飞鬼助	44256	82980		炎之鬼助
209	15	16539	长安苏慧蓉	47879	92707	1061696	苏慧蓉
210	108	16539	成都苏慧蓉	73802	69844	1070784	苏慧蓉
211	8	16539	洛阳苏慧蓉	30423	90190		苏慧蓉
212	6	16539	扬州苏慧蓉	70427	46549		苏慧蓉
212	8	6810	洛阳马莉颖	30133	90009	1060160	马莉颖
213	23	16540	龙门荒漠凌燕丘	40751	37813		凌燕丘
214	15	6129	黄字零零捌	46872	29602		黄字零零捌
222	15	6810	长安马莉颖	54706	93623	1061696	马莉颖
245	6	6810	扬州马莉颖	70768	47162	1052160	马莉颖
261	108	6810	成都马莉颖	75000	72345	1071424	马莉颖
269	15	6804	长安叶飘零	54530	93637	1061696	叶飘零
271	108	6804	成都叶飘零	74645	72509	1071680	叶飘零
272	8	6804	洛阳叶飘零	29984	90090	1060160	叶飘零
273	6	6804	扬州叶飘零	70719	47325	1052160	叶飘零
275	15	6803	长安燕小霞	53210	93698	1061696	燕小霞
283	15	6812	长安年华	54480	92772	1061696	年华
767	2	74	万花谷花圣	77568	51457	1103263	宇晴
